序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.1521,0.012,0.1796,0,0.0000,0,0.3437,0,0,0,0,0,0,0,0,0.3437,0,0.3437,0,0,0,0,0,0,0
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.0728,0.0262,0.3922,0,0.0000,0,0.4912,0,0,0,0,0,0,0,0,0.4912,0,0.4912,0,0,0,0,0,0,0
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.677,0,0.9725,0,0.0000,0,1.6495,0,0,0,0,0.0103,0,0,0.0103,1.6598,0.0365,1.6963,0,0,0,0.0365,0,0,0.0365
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,0,0,2.5194,0,0,0,2.5194,0,0,0,0,0.0194,0,0,0.0194,2.5388,0,2.5388,0,0,0,0,0,0,0
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.564,0.0674,0.2299,0,0,0,0.8613,0,0,0,0,0.0029,0,0,0.0029,0.8642,0,0.8642,0,0,0,0,0,0,0
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.2336,0,1.4276,0,0,0,1.6612,0,0,0,0,0.006,0,0,0.006,1.6672,0,1.6672,0,0,0,0,0,0,0
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,0.6938,0.1293,1.7724,0,0,0,2.5955,0.0013,0,0,0.0013,0.4579,0,0,0.4579,3.0547,0,3.0547,0,0,0,0,0,0,0
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,1.1576,0.2583,0.4945,0,0.0000,0,1.9104,0,0,0,0,0.0219,0,0,0.0219,1.9323,0,1.9323,0,0,0,0,0,0,0
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0.0006,0,0.0624,0,0.0000,0,0.063,0,0,0,0,0,0,0,0,0.063,0,0.063,0,0,0,0,0,0,0
