序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
79,湖州市,吴兴区,湖西及湖区,西苕溪及长兴平原,1,173.2,16.2487,5.8716,22.1203,2.87,113.08,147.08,263.03,1.44,65.6,53.09,120.13,0,2.7,3.44,3.44,2.14,0.63,0.49,3.26,0.85,1.13,0,0,0.57,0.0019,9.2515,9.2534,0.1521,0.012,0.1796,0,0.0000,0,0.3437,0,0,0,0,0,0,0,0,0.3437,0,0.088,0.0046,0.009,0.1016,0,0.0027,0,0,0.033,0,0.0019,0.0376,0,0,0.0197,0.0242,0.0088,0.0527,0,0.0049,0.041,0.0459,0,0.0743,0.0262,0.1005,0,0.0039,0.0015,0.0054,0,0.3437,0,0,0.3437,0.3437,0.3437,0,209.24750903149175,129.2499675708565,,,,,,,,
80,湖州市,吴兴区,湖西及湖区,东苕溪,1,360,10.8291,2.8069,13.636,6.25,54.22,70.5,130.97,0.07,18.03,14.62,32.72,0,0,7.47,7.47,4.69,1.35,1.04,7.08,1.871,0.52,0,0,1.17,0.0009,4.6686,4.6695,0.0728,0.0262,0.3922,0,0.0000,0,0.4912,0,0,0,0,0,0,0,0,0.4912,0,0.1913,0.0098,0.0186,0.2197,0,0.0052,0,0,0.066,0,0.0016,0.0728,0,0,0.0018,0.0525,0.0189,0.0732,0,0.0098,0.0456,0.0554,0,0.0495,0.0102,0.0597,0,0.0077,0.0027,0.0104,0,0.4912,0,0,0.4912,0.4912,0.4912,0,284.874228407653,125.91280684536198,,,,,,,,
81,湖州市,吴兴区,湖西及湖区,太湖区,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
82,湖州市,吴兴区,杭嘉湖平原,杭嘉湖平原,1,327.8,52.7978,15.0459,67.8437,15.56,355.47,370.52,741.55,1.95,152.21,136.99,291.15,0,6.4,19.84,19.84,12.04,2.35,4.41,18.8,5.16,0.41,0,0,3.51,0,6.8702,6.8702,0.677,0,0.9725,0,0.0000,0,1.6495,0,0,0,0,0.0103,0,0,0.0103,1.6598,0.0365,0.4918,0.017,0.0796,0.5884,0,0.0018,0,0,0.2113,0,0.002,0.2151,0,0,0.0091,0.1929,0.0735,0.2755,0,0.0319,0.1724,0.2043,0,0.2494,0.0695,0.3189,0,0.0437,0.0139,0.0576,0,1.6598,0,0.0365,1.6963,1.6598000000000002,1.6598,0,258.10539947259116,151.86406309023155,,,,,,,,
83,湖州市,南浔区,杭嘉湖平原,杭嘉湖平原,1,702,30.9,23.6,54.5,28.29,309.69,190.97,528.95,5.53,172.47,109.99,287.99,0,32.65,52.29,52.29,35.3,2.01,3.96,41.27,12.2304,0.83,0,0,6.18,0,30.44,30.44,0,0,2.5194,0,0,0,2.5194,0,0,0,0,0.0194,0,0,0.0194,2.5388,0,1.2049,0.0103,0.0524,1.2676,0,0.0037,0,0,0.3486,0,0.0127,0.365,0,0,0.037,0.2308,0.1288,0.3966,0,0.0175,0.1491,0.1666,0,0.1558,0.1013,0.2571,0,0.0731,0.0128,0.0859,0,2.5388,0,0,2.5388,2.5387999999999997,2.5388,0,350.6671986523031,132.45878801950315,,,,,,,,
84,湖州市,德清县,湖西及湖区,东苕溪,1,536.5,11.9231,7.1185,19.0416,8.579,120.1268,100.6942,229.4,3.51,88.9,22.26,114.67,0,17.73,12.13,12.08,10.12,0,0.28,10.4,1.57,2.02,0,0,2.07,0,7.6169,7.6169,0.564,0.0674,0.2299,0,0,0,0.8613,0,0,0,0,0.0029,0,0,0.0029,0.8642,0,0.406,0,0.0045,0.4105,0,0.0082,0,0,0.1058,0,0.002,0.116,0,0,0.0464,0.0735,0.0355,0.1554,0,0.0055,0.0672,0.0727,0,0.0631,0.031,0.0941,0,0.0147,0.0008,0.0155,0,0.8642,0,0,0.8642,0.8641999999999999,0.8642,0,345.82345792896785,122.3899524776749,,,,,,,,
85,湖州市,德清县,杭嘉湖平原,杭嘉湖平原,1,401.5,22.4653,13.7931,36.2584,17.8667,235.4333,132.84,386.14,3.61,148.48,58.84,210.93,0,12.34,23.94,23.83,19.35,0.4,0.74,20.49,4.4503,0.76,0,0,4.25,0.1611,17.0992,17.2603,0.2336,0,1.4276,0,0,0,1.6612,0,0,0,0,0.006,0,0,0.006,1.6672,0,0.7767,0.0026,0.0121,0.7914,0,0.0031,0,0,0.219,0.0005,0.0048,0.2274,0,0,0.0401,0.1879,0.1064,0.3344,0,0.008,0.1002,0.1082,0,0.1211,0.0595,0.1806,0,0.0241,0.0011,0.0252,0,1.6672,0,0,1.6672,1.6672000000000002,1.6672,0,309.03062738644303,120.3698931061719,,,,,,,,
86,湖州市,长兴县,湖西及湖区,西苕溪及长兴平原,1,1428,43.39,24.41,67.8,41.26,402.49,357.64,801.39,24.23,271.87,73.11,369.21,0,432,70.34,50.36,38.73,0.54,9.51,48.78,18.4807,6.17,0,0,3.87,0.1047,23.445,23.5497,0.6938,0.1293,1.7724,0,0,0,2.5955,0.0013,0,0,0.0013,0.4579,0,0,0.4579,3.0547,0,1.4409,0.0034,0.1465,1.5908,0,0.0247,0,0,0.2175,0.0003,0.0077,0.2502,0,0,0.2578,0.1895,0.1251,0.5724,0.0013,0.0146,0.2279,0.2425,0,0.2317,0.1121,0.3438,0,0.0217,0.0333,0.055,0,3.0547,0.0013,0,3.0547,3.0547000000000004,3.0547,0,313.1205662563497,163.19384038654715,,,,,,,,
87,湖州市,长兴县,湖西及湖区,太湖区,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
88,湖州市,安吉县,湖西及湖区,西苕溪及长兴平原,1,1815.4,32.32,22.9,55.22,27.0936,267.11,257.39,551.5936,1.05,246,3.95,251,0,15.8,46.31,31.82,23.02,4.88,1.11,29.01,7.71,1.62,0,0,2.51,0.0317,10.753,10.7847,1.1576,0.2583,0.4945,0,0.0000,0,1.9104,0,0,0,0,0.0219,0,0,0.0219,1.9323,0,0.8419,0.0286,0.0181,0.8886,0,0.0073,0,0,0.1734,0.0001,0.0033,0.1841,0,0,0.0035,0.2861,0.0321,0.3217,0,0.0138,0.1882,0.202,0,0.1808,0.112,0.2928,0,0.0318,0.0113,0.0431,0,1.9323,0,0,1.9323,1.9323,1.9323000000000001,0,351.45124101451245,147.51450619130227,,,,,,,,
