序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.088,0.0046,0.009,0.1016,0,0.0027,0,0,0.033,0,0.0019,0.0376,0,0,0.0197,0.0242,0.0088,0.0527,0,0.0049,0.041,0.0459,0,0.0743,0.0262,0.1005,0,0.0039,0.0015,0.0054,0,0.3437,0,0,0.3437,0,0
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.1913,0.0098,0.0186,0.2197,0,0.0052,0,0,0.066,0,0.0016,0.0728,0,0,0.0018,0.0525,0.0189,0.0732,0,0.0098,0.0456,0.0554,0,0.0495,0.0102,0.0597,0,0.0077,0.0027,0.0104,0,0.4912,0,0,0.4912,0,0
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.4918,0.017,0.0796,0.5884,0,0.0018,0,0,0.2113,0,0.002,0.2151,0,0,0.0091,0.1929,0.0735,0.2755,0,0.0319,0.1724,0.2043,0,0.2494,0.0695,0.3189,0,0.0437,0.0139,0.0576,0,1.6598,0,0.0365,1.6963,0,0
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,1.2049,0.0103,0.0524,1.2676,0,0.0037,0,0,0.3486,0,0.0127,0.365,0,0,0.037,0.2308,0.1288,0.3966,0,0.0175,0.1491,0.1666,0,0.1558,0.1013,0.2571,0,0.0731,0.0128,0.0859,0,2.5388,0,0,2.5388,0,0
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.406,0,0.0045,0.4105,0,0.0082,0,0,0.1058,0,0.002,0.116,0,0,0.0464,0.0735,0.0355,0.1554,0,0.0055,0.0672,0.0727,0,0.0631,0.031,0.0941,0,0.0147,0.0008,0.0155,0,0.8642,0,0,0.8642,0,0
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.7767,0.0026,0.0121,0.7914,0,0.0031,0,0,0.219,0.0005,0.0048,0.2274,0,0,0.0401,0.1879,0.1064,0.3344,0,0.008,0.1002,0.1082,0,0.1211,0.0595,0.1806,0,0.0241,0.0011,0.0252,0,1.6672,0,0,1.6672,0,0
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,1.4409,0.0034,0.1465,1.5908,0,0.0247,0,0,0.2175,0.0003,0.0077,0.2502,0,0,0.2578,0.1895,0.1251,0.5724,0.0013,0.0146,0.2279,0.2425,0,0.2317,0.1121,0.3438,0,0.0217,0.0333,0.055,0,3.0547,0.0013,0,3.0547,0,0
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,0.8419,0.0286,0.0181,0.8886,0,0.0073,0,0,0.1734,0.0001,0.0033,0.1841,0,0,0.0035,0.2861,0.0321,0.3217,0,0.0138,0.1882,0.202,0,0.1808,0.112,0.2928,0,0.0318,0.0113,0.0431,0,1.9323,0,0,1.9323,0,0
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0.0365,0.0032,0.003,0.0427,0,0.0002,0,0,0.0056,0,0.0001,0.0059,0,0,0,0.0005,0.001,0.0015,0,0.0002,0.0008,0.001,0,0.0093,0.0005,0.0098,0,0.0015,0.0006,0.0021,0,0.063,0,0,0.063,0,0
