序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,16.2487,5.8716,22.1203,2.87,113.08,147.08,263.03,1.44,65.6,53.09,120.13,0,2.7,3.44,3.44,2.14,0.63,0.49,3.26,0.85,1.13,0,0,0.57,0.0019,9.2515,9.2534
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,10.8291,2.8069,13.636,6.25,54.22,70.5,130.97,0.07,18.03,14.62,32.72,0,0,7.47,7.47,4.69,1.35,1.04,7.08,1.871,0.52,0,0,1.17,0.0009,4.6686,4.6695
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,52.7978,15.0459,67.8437,15.56,355.47,370.52,741.55,1.95,152.21,136.99,291.15,0,6.4,19.84,19.84,12.04,2.35,4.41,18.8,5.16,0.41,0,0,3.51,0,6.8702,6.8702
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,30.9,23.6,54.5,28.29,309.69,190.97,528.95,5.53,172.47,109.99,287.99,0,32.65,52.29,52.29,35.3,2.01,3.96,41.27,12.2304,0.83,0,0,6.18,0,30.44,30.44
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,11.9231,7.1185,19.0416,8.579,120.1268,100.6942,229.4,3.51,88.9,22.26,114.67,0,17.73,12.13,12.08,10.12,0,0.28,10.4,1.57,2.02,0,0,2.07,0,7.6169,7.6169
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,22.4653,13.7931,36.2584,17.8667,235.4333,132.84,386.14,3.61,148.48,58.84,210.93,0,12.34,23.94,23.83,19.35,0.4,0.74,20.49,4.4503,0.76,0,0,4.25,0.1611,17.0992,17.2603
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,43.39,24.41,67.8,41.26,402.49,357.64,801.39,24.23,271.87,73.11,369.21,0,432,70.34,50.36,38.73,0.54,9.51,48.78,18.4807,6.17,0,0,3.87,0.1047,23.445,23.5497
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,32.32,22.9,55.22,27.0936,267.11,257.39,551.5936,1.05,246,3.95,251,0,15.8,46.31,31.82,23.02,4.88,1.11,29.01,7.71,1.62,0,0,2.51,0.0317,10.753,10.7847
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,3.98,0.3,4.28,0.7764,7.13,6.83,14.7364,0,1.35,0.09,1.44,0,0,2.04,1.3735,0.76,0.36,0.107,1.227,0.4205,0.06,0,0,0.55,0,0.447,0.447
