序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
90,绍兴市,越城区,富春江坝址以下,萧绍平原,2,493,93.2,18.6,111.8,16.5767,495.5132,673.1667,1185.2566,5.2628,364.4168,1.9142,371.5938,2.4,4.8,32.27,29.68,18.95,7.58,2.45,28.98,7.1,3.15,1.61,0,3.1,0,8.7,8.7,1.3502,0.9693,0.8125,0,,0,3.132,0.0038,0,0,0.0038,0.0615,0,0,0.0615,3.1973,1.698,0.9524,0.1038,0.0187,1.0749,0.0008,0.0287,0.013,0,0.3872,0,0.0057,0.4346,0,0.0212,0.0495,0.6061,0.1207,0.7975,0,0.0723,0.1205,0.1928,0,0.4589,0.0837,0.5426,0.003,0.1328,0.0221,0.1549,0,3.1973,0.0038,1.698,4.8953,3.1973,3.1973000000000003,0,230.61320477394318,155.84032994550006,,,,,,,,
91,绍兴市,柯桥区,富春江坝址以下,浦阳江,2,19.7,0.6,0.3,0.9,0.3689,1.4981,2.8483,4.7153,0,1.1593,1.2639,2.4232,0,0,0.33,0.25,0.22,0,0.03,0.25,0.02,0,0,0,0.01,0,0.3,0.3,0.0138,0.0028,0.0068,0,,0,0.0234,0.0003,0,0,0.0003,0,0,0,0,0.0237,0,0.0101,0,0.0004,0.0105,0,0,0,0,0.0007,0,0.0002,0.0009,0,0,0,0.0017,0.0001,0.0018,0,0.0007,0.005,0.0057,0,0.0031,0.0013,0.0044,0.0003,0.0003,0.0001,0.0004,0,0.0237,0.0003,0,0.0237,0.023700000000000002,0.023700000000000002,0,415.5251141552512,127.85388127853884,,,,,,,,
92,绍兴市,柯桥区,富春江坝址以下,萧绍平原,2,758.3,78.3,14.8,93.1,30.8974,854.8334,819.3586,1705.0894,27.1454,510.8304,203.6515,741.6273,0,108.9,18.78,15.37,13.27,0,2.1,15.37,10.5,0,1.2,0,1.08,0.0069,10.4,10.4069,1.2136,0.9919,1.6692,0,,0,3.8747,0.001,0,0,0.001,0.0988,0,0,0.0988,3.9745,0,0.5662,0,0.019,0.5852,0.0003,0,0.0095,0,0.1686,0.0001,0.0068,0.185,0,0,0.4502,1.6247,0.1834,2.2583,0,0.0497,0.2599,0.3096,0,0.4505,0.0809,0.5314,0.0007,0.0908,0.0142,0.105,0,3.9745,0.001,0,3.9745,3.9745000000000004,3.9745,0,297.73089102328595,176.04590892262127,,,,,,,,
93,绍兴市,柯桥区,富春江坝址以下,曹娥江百官以上,2,288,13,4.3,17.3,8.5673,18.3823,11.2294,38.179,0,5.7757,2.9383,8.714,0,0,7.97,5.95,3.59,0,2.36,5.95,1.1,0.27,0,0,0.01,0,2.6,2.6,0.1428,0.0579,0.0856,0,,0,0.2863,0.008,0,0,0.008,0.04,0,0,0.04,0.3343,0,0.1469,0,0.0224,0.1693,0,0.0024,0,0,0.0006,0,0.0016,0.0046,0,0,0,0.016,0.002,0.018,0,0.0119,0.0354,0.0473,0,0.0681,0.0185,0.0866,0.008,0.0078,0.0007,0.0085,0,0.3343,0.008,0,0.3343,0.3343,0.3343,0,259.64172813487886,122.3319528512265,,,,,,,,
94,绍兴市,上虞区,富春江坝址以下,萧绍平原,2,135.9,11,4.4,15.4,6.8603,82.0118,122.9765,211.8486,3.2586,164.9128,5.4949,173.6663,0,4.5,11.85,7.95,6.69,0.78,0.48,7.95,3.5,0.02,0.02,0,0.2,0.05,5.5,5.55,0.1509,0.1807,0.1875,0,,0,0.5191,0.0004,0,0,0.0004,0.0099,0,0,0.0099,0.5294,0,0.1898,0.0088,0.0062,0.2048,0.0004,0.0003,0.0001,0,0.0271,0.0002,0.0035,0.0312,0,0,0.0377,0.0645,0.0461,0.1483,0,0.0142,0.0483,0.0625,0,0.0535,0.0206,0.0741,0,0.0077,0.0008,0.0085,0,0.5294,0.0004,0,0.5294,0.5293999999999999,0.5294,0,308.0946450809464,133.25031133250312,,,,,,,,
95,绍兴市,上虞区,富春江坝址以下,曹娥江百官以上,2,533.4,6.2,10.1,16.3,18.4768,137.3728,47.1869,203.0365,0,42.2903,8.0892,50.3795,0,0,14.04,10.38,8.91,1.07,0.4,10.38,5.7,0.05,0.04,0,0.5,0.49,13.8,14.29,0.2068,0.0379,0.2253,0.0395,,0,0.5095,0.0037,0,0,0.0037,0.0256,0,0,0.0256,0.5388,0,0.2996,0.0132,0.0053,0.3181,0.0036,0.0005,0.0004,0,0.0699,0.0015,0.0095,0.0818,0,0,0,0.0229,0.0301,0.053,0,0.0016,0.0138,0.0154,0,0.0291,0.0404,0.0695,0.0001,0.0009,0.0001,0.001,0,0.5388,0.0037,0,0.5388,0.5388000000000001,0.5388,0,200.61864781263807,109.86030109860302,,,,,,,,
96,绍兴市,上虞区,浙东沿海诸河,姚江,2,736.7,37.2,10.6,47.8,26.683,351.6458,342.4627,720.7915,9.2465,241.8907,5.8818,257.019,0,11.4,24.74,16.82,7.35,8.19,1.28,16.82,13.6,0.07,0.04,0,0.2,0.07,7.3,7.37,0.6815,0.4406,0.0678,0,,0,1.1899,0.002,0,0,0.002,0.0502,0,0,0.0502,1.2421,0,0.3416,0.0992,0.0166,0.4574,0.0006,0.0006,0.0005,0,0.0272,0.0003,0.0045,0.0331,0,0,0.0678,0.2379,0.0247,0.3304,0,0.0198,0.0735,0.0933,0,0.1982,0.0478,0.246,0.0014,0.0702,0.0117,0.0819,0,1.2421,0.002,0,1.2421,1.2421,1.2421,0,266.386802179997,153.78650814163868,,,,,,,,
97,绍兴市,诸暨市,富春江坝址以上,金华江上游,3,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
98,绍兴市,诸暨市,富春江坝址以下,富春江下游段,3,114.4,1.5,0.8,2.3,1.2798,2.7205,3.7436,7.7439,0,0,0,0,0,0,1.59,1.59,1.17,0,0.42,1.59,0.7,0,0,0,0,0,0,0,0.0143,0.0366,0.0041,0,,0,0.055,0,0,0,0,0,0,0,0,0.055,0,0.0391,0,0.0037,0.0428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0.0028,0,0.0064,0.003,0.0094,0,0,0,0,0,0.055,0,0,0.055,0.05499999999999999,0.055,0,168.03652968036528,102.73972602739727,,,,,,,,
99,绍兴市,诸暨市,富春江坝址以下,浦阳江,3,2185.1,75,44.2,119.2,52.3086,731.7854,754.782,1538.876,1.2529,314.8687,291.1318,607.2534,0,8.4,75.82,64.46,56.94,0,7.52,64.46,21.9,0.56,0.61,0,3.4,0.3,39.3,39.6,1.1295,1.9753,0.4837,0,,0,3.5885,0.0077,0,0,0.0077,0.1058,0,0,0.1058,3.702,0,1.6295,0,0.0587,1.6882,0.0015,0.0055,0.0065,0,0.5321,0.001,0.0258,0.5709,0,0,0.0309,0.2569,0.1443,0.4321,0.0003,0.0593,0.2181,0.2774,0,0.3583,0.1824,0.5407,0.0059,0.1606,0.0321,0.1927,0,3.702,0.0077,0,3.702,3.7020000000000004,3.7019999999999995,0,290.8858447488584,132.9572925060435,,,,,,,,
