序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,0.9524,0.1038,0.0187,1.0749,0.0008,0.0287,0.013,0,0.3872,0,0.0057,0.4346,0,0.0212,0.0495,0.6061,0.1207,0.7975,0,0.0723,0.1205,0.1928,0,0.4589,0.0837,0.5426,0.003,0.1328,0.0221,0.1549,0,3.1973,0.0038,1.698,4.8953,0,0
90,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0101,0,0.0004,0.0105,0,0,0,0,0.0007,0,0.0002,0.0009,0,0,0,0.0017,0.0001,0.0018,0,0.0007,0.005,0.0057,0,0.0031,0.0013,0.0044,0.0003,0.0003,0.0001,0.0004,0,0.0237,0.0003,0,0.0237,0,0
91,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,0.5662,0,0.019,0.5852,0.0003,0,0.0095,0,0.1686,0.0001,0.0068,0.185,0,0,0.4502,1.6247,0.1834,2.2583,0,0.0497,0.2599,0.3096,0,0.4505,0.0809,0.5314,0.0007,0.0908,0.0142,0.105,0,3.9745,0.001,0,3.9745,0,0
92,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1469,0,0.0224,0.1693,0,0.0024,0,0,0.0006,0,0.0016,0.0046,0,0,0,0.016,0.002,0.018,0,0.0119,0.0354,0.0473,0,0.0681,0.0185,0.0866,0.008,0.0078,0.0007,0.0085,0,0.3343,0.008,0,0.3343,0,0
93,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.1898,0.0088,0.0062,0.2048,0.0004,0.0003,0.0001,0,0.0271,0.0002,0.0035,0.0312,0,0,0.0377,0.0645,0.0461,0.1483,0,0.0142,0.0483,0.0625,0,0.0535,0.0206,0.0741,0,0.0077,0.0008,0.0085,0,0.5294,0.0004,0,0.5294,0,0
94,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2996,0.0132,0.0053,0.3181,0.0036,0.0005,0.0004,0,0.0699,0.0015,0.0095,0.0818,0,0,0,0.0229,0.0301,0.053,0,0.0016,0.0138,0.0154,0,0.0291,0.0404,0.0695,0.0001,0.0009,0.0001,0.001,0,0.5388,0.0037,0,0.5388,0,0
95,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,736.7,0.3416,0.0992,0.0166,0.4574,0.0006,0.0006,0.0005,0,0.0272,0.0003,0.0045,0.0331,0,0,0.0678,0.2379,0.0247,0.3304,0,0.0198,0.0735,0.0933,0,0.1982,0.0478,0.246,0.0014,0.0702,0.0117,0.0819,0,1.2421,0.002,0,1.2421,0,0
96,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.6699,0.0166,0.0339,0.7204,0.0005,0.0104,0.0033,0,0.0264,0.0004,0.0114,0.0519,0,0,0.0256,0.1693,0.041,0.2359,0.0001,0.0197,0.0689,0.0886,0,0.1487,0.0816,0.2303,0.0046,0.0616,0.0123,0.0739,0,1.401,0.0052,0,1.401,0,0
97,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.0391,0,0.0037,0.0428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,0.0028,0,0.0064,0.003,0.0094,0,0,0,0,0,0.055,0,0,0.055,0,0
101,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,1.6295,0,0.0587,1.6882,0.0015,0.0055,0.0065,0,0.5321,0.001,0.0258,0.5709,0,0,0.0309,0.2569,0.1443,0.4321,0.0003,0.0593,0.2181,0.2774,0,0.3583,0.1824,0.5407,0.0059,0.1606,0.0321,0.1927,0,3.702,0.0077,0,3.702,0,0
102,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,1.4273,0,0.0032,1.4305,0.0027,0.0112,0.0197,0,0.0272,0.0004,0.053,0.1115,0,0,0.0415,0.1117,0.1614,0.3146,0.0178,0.0329,0.1115,0.1444,0.0094,0.2386,0.1578,0.3964,0.0078,0.0771,0.0117,0.0888,0,2.4862,0.0377,0,2.4862,0,0
103,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
