序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,93.2,18.6,111.8,16.5767,495.5132,673.1667,1185.2566,5.2628,364.4168,1.9142,371.5938,2.4,4.8,32.27,29.68,18.95,7.58,2.45,28.98,7.1,3.15,1.61,0,3.1,0,8.7,8.7
90,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.6,0.3,0.9,0.3689,1.4981,2.8483,4.7153,0,1.1593,1.2639,2.4232,0,0,0.33,0.25,0.22,0,0.03,0.25,0.02,0,0,0,0.01,0,0.3,0.3
91,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,78.3,14.8,93.1,30.8974,854.8334,819.3586,1705.0894,27.1454,510.8304,203.6515,741.6273,0,108.9,18.78,15.37,13.27,0,2.1,15.37,10.5,0,1.2,0,1.08,0.0069,10.4,10.4069
92,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,13,4.3,17.3,8.5673,18.3823,11.2294,38.179,0,5.7757,2.9383,8.714,0,0,7.97,5.95,3.59,0,2.36,5.95,1.1,0.27,0,0,0.01,0,2.6,2.6
93,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,11,4.4,15.4,6.8603,82.0118,122.9765,211.8486,3.2586,164.9128,5.4949,173.6663,0,4.5,11.85,7.95,6.69,0.78,0.48,7.95,3.5,0.02,0.02,0,0.2,0.05,5.5,5.55
94,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,6.2,10.1,16.3,18.4768,137.3728,47.1869,203.0365,0,42.2903,8.0892,50.3795,0,0,14.04,10.38,8.91,1.07,0.4,10.38,5.7,0.05,0.04,0,0.5,0.49,13.8,14.29
95,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,736.7,37.2,10.6,47.8,26.683,351.6458,342.4627,720.7915,9.2465,241.8907,5.8818,257.019,0,11.4,24.74,16.82,7.35,8.19,1.28,16.82,13.6,0.07,0.04,0,0.2,0.07,7.3,7.37
96,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,25.7,15,40.7,23.5781,260.9937,232.8314,517.4032,1.5023,157.3444,73.361,232.2077,0,4.2,42.44,20.09,15.26,1.37,3.46,20.09,4.4,1.11,0.3,0,0.19,0.11,17.4,17.51
97,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,1.5,0.8,2.3,1.2798,2.7205,3.7436,7.7439,0,0,0,0,0,0,1.59,1.59,1.17,0,0.42,1.59,0.7,0,0,0,0,0,0,0
101,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,75,44.2,119.2,52.3086,731.7854,754.782,1538.876,1.2529,314.8687,291.1318,607.2534,0,8.4,75.82,64.46,56.94,0,7.52,64.46,21.9,0.56,0.61,0,3.4,0.3,39.3,39.6
102,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,40,28.8,68.8,41.8071,294.6371,321.9466,658.3908,3.2845,130.6151,121.5992,255.4988,0,11.95,67.29,59.84,55.39,0,1.51,56.9,15.1,1.275,2.49,0,0.23,0.12,80.7,80.82
103,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
