序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
131,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.7322,0.1777,0.0332,0,,0,0.9431,0,0,0,0,0,0,0,0,0.9431,0,0.9431,0,0,0,0,0,0,0
133,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,1.3578,0.3295,0.0616,0,,0,1.7489,0,0,0,0,0,0,0,0,1.7489,0,1.7489,0,0,0,0,0,0,0
134,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1517,0.0837,0.0174,0,,0,0.2528,0.0001,0,0,0.0001,0,0,0,0,0.2529,0,0.2529,0,0,0,0,0,0,0
135,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.9641,0.5424,0.0876,0,,0,1.5941,0.0003,0,0,0.0003,0,0,0,0,1.5944,0,1.5944,0,0,0,0,0,0,0
136,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.0006,0.0002,0,,0,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0.0008,0,0,0,0,0,0,0
137,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.134,0.0191,0.0226,0,,0,0.1757,0,0,0,0,0,0,0,0,0.1757,0,0.1757,0,0,0,0,0,0,0
138,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.5021,0.2262,0.0483,0,,0,0.7766,0,0,0,0,0,0,0,0,0.7766,0,0.7766,0,0,0,0,0,0,0
139,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0395,0,0,0,,0,0.0395,0,0,0,0,0,0,0,0,0.0395,0,0.0395,0,0,0,0,0,0,0
140,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.6019,0.215,0.1621,0,,0,0.979,0.0031,0,0,0.0031,0,0,0,0,0.9821,0,0.9821,0,0,0,0,0,0,0
141,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.0017,0,0,0,,0,0.0017,0,0,0,0,0,0,0,0,0.0017,0,0.0017,0,0,0,0,0,0,0
142,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,1.1578,0.6737,0.1015,0,,0,1.933,0,0,0,0,0,0,0,0,1.933,0,1.933,0,0,0,0,0,0,0
143,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.0403,0.0018,0.0015,0,,0,0.0436,0,0,0,0,0,0,0,0,0.0436,0,0.0436,0,0,0,0,0,0,0
145,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,0.9946,0.5355,0.3061,0,,0,1.8362,0.001,0,0,0.001,0,0,0,0,1.8372,0.0384,1.8756,0,0,0.0384,0,0,0,0.0384
146,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,0.0226,0.0111,0.001,0,,0,0.0347,0,0,0,0,0,0,0,0,0.0347,0,0.0347,0,0,0,0,0,0,0
