序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
132,衢州市,调入量,富春江坝址以上,衢江下游,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
133,衢州市,柯城区,富春江坝址以上,衢江上游,3,271.1,4.0924,10.2812,14.3736,3.12,73.04,135.97,212.13,0,63.54,0,63.54,0,23,6.874,6.874,5.28,0.53,0,5.81,1.1371,0.6,1.7,0,0.0167,0.0833,2.41,2.4933,0.7322,0.1777,0.0332,0,,0,0.9431,0,0,0,0,0,0,0,0,0.9431,0,0.2885,0.0024,0,0.2909,0,0.0024,0.005,0,0.3053,0.0002,0.0008,0.3137,0,0,0.0016,0.2301,0,0.2317,0,0.0015,0.0324,0.0339,0,0.0164,0.0343,0.0507,0,0.0222,0,0.0222,0,0.9431,0,0,0.9431,0.9431,0.9431,0,485.36344684366475,91.40236814742055,,,,,,,,
134,衢州市,柯城区,富春江坝址以上,衢江下游,3,335.9,37.0312,1.7952,38.8264,5.37,167.95,210.09,383.41,0,141.8,0,141.8,34.5,0,7.306,7.306,5.4,0.79,0,6.19,1.4663,0.6,1.8,0,0.0033,0.0291,3.19,3.2191,1.3578,0.3295,0.0616,0,,0,1.7489,0,0,0,0,0,0,0,0,1.7489,0,0.2945,0.0036,0,0.2981,0,0.0024,0.0053,0,0.0679,7e-05,0.00113,0.0768,0,0.4221,0,0.4243,0,0.8464,0,0.0134,0.2934,0.3068,0,0.1612,0.0061,0.1673,0,0.0535,0,0.0535,0,1.7489,0,0,1.7489,1.7489000000000001,1.7489,0,385.82792976940294,93.09452298976876,,,,,,,,
135,衢州市,衢江区,富春江坝址以上,衢江上游,3,135.3,0.31,4.9,5.21,4.5312,13.2592,15.2534,33.0438,0,11.94,0,11.94,0,0,8.71,6.13,4.11,1.19,0.55,5.85,2.329,0.18,0.32,0,0.049,0.1938,5.79,5.9838,0.1517,0.0837,0.0174,0,,0,0.2528,0.0001,0,0,0.0001,0,0,0,0,0.2529,0,0.1861,0.0088,0.0051,0.2,0,0.0005,0.0015,0,0.0051,0.0005,0.0006,0.0082,0,0,0,0.0238,0,0.0238,0.0001,0.0009,0.0005,0.0014,0,0.0013,0.0153,0.0166,0,0.0025,0.0004,0.0029,0,0.2529,0.0001,0,0.2529,0.25290000000000007,0.2529,0,459.5669465311533,87.78305842885096,,,,,,,,
136,衢州市,衢江区,富春江坝址以上,衢江下游,3,1611.2,17.06,15.23,32.29,16.6385,110.3729,109.6213,236.6327,0,99.25,0,99.25,0,0,36.89,28.01,21.625,3.67,2.35,27.645,10.6019,1.12,2.88,0,0.32,0.2823,42,42.2823,0.9641,0.5424,0.0876,0,,0,1.5941,0.0003,0,0,0.0003,0,0,0,0,1.5944,0,0.9265,0.0233,0.0236,0.9734,0,0.003,0.0092,0,0.0311,0.0006,0.0069,0.0508,0,0,0,0.2721,0,0.2721,0.0003,0.0113,0.1336,0.1449,0,0.0717,0.0466,0.1183,0,0.0304,0.0045,0.0349,0,1.5944,0.0003,0,1.5944,1.5944,1.5944,0,396.6660778236362,91.92383453709783,,,,,,,,
137,衢州市,衢江区,富春江坝址以上,新安江,3,1.5,0,0.1,0.1,0.0566,0,0,0.0566,0,0.13,0,0.13,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0,0,0.0006,0.0002,0,,0,0.0008,0,0,0,0,0,0,0,0,0.0008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0003,0,0.0003,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0,0.0008,0,0,0.0008,0.0007999999999999999,0.0008,0,,82.1917808219178,,,,,,,,
138,衢州市,龙游县,富春江坝址以上,衢江下游,3,1141,18.824,17.376,36.2,13.07,130.41,144.54,288.02,0,107.68,0,107.68,0,45.3,47,36.35,22.4666,4.43,3.41,30.3066,12.2855,0.1,6.3,0,0.853,0.4183,100.27,100.6883,1.1578,0.6737,0.1015,0,,0,1.933,0,0,0,0,0,0,0,0,1.933,0,1.0516,0.0613,0.0472,1.1601,0,0.0003,0.025,0,0.0768,0.0012,0.0366,0.1399,0,0,0.0192,0.3356,0,0.3548,0,0.0304,0.0627,0.0931,0,0.0893,0.0573,0.1466,0,0.0371,0.0014,0.0385,0,1.933,0,0,1.933,1.9329999999999998,1.933,0,319.4697529822028,92.55405030399353,,,,,,,,
139,衢州市,龙游县,富春江坝址以上,新安江,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
140,衢州市,江山市,富春江坝址以上,衢江上游,3,1756.9,27.4862,17.8213,45.3075,18.6,162.74,171.17,352.51,0,131.16,0,131.16,0,26.1,45.97,32.8459,26.85,3.38,1.92,32.15,13.1666,2.03,2.08,0,1.15,0.53,34.49,35.02,0.9946,0.5355,0.3061,0,,0,1.8362,0.001,0,0,0.001,0,0,0,0,1.8372,0.0384,1.2484,0.0264,0.0141,1.2889,0,0.0057,0.0059,0,0.049,0.002,0.0193,0.0819,0,0,0.0107,0.1592,0,0.1699,0.0005,0.0271,0.0484,0.0755,0.0005,0.1288,0.0598,0.1886,0,0.03,0.0024,0.0324,0,1.8372,0.001,0.0384,1.8756,1.8371999999999997,1.8372,0,233.54185308233878,95.62206960441134,,,,,,,,
141,衢州市,江山市,富春江坝址以上,衢江下游,3,47.9,1.0114,1.5386,2.55,2.12,2.22,1.9,6.24,0,5.42,0,5.42,0,0,5.67,2.5471,0,1.56,0.9871,2.5471,0.8981,0.2,0.2,0,0,0.05,6.97,7.02,0.0226,0.0111,0.001,0,,0,0.0347,0,0,0,0,0,0,0,0,0.0347,0,0,0.0083,0.0054,0.0137,0,0.0007,0.0009,0,0,0.0002,0.0028,0.0046,0,0,0,0.0071,0,0.0071,0,0.0007,0.0001,0.0008,0,0.0037,0.0046,0.0083,0,0.0002,0,0.0002,0,0.0347,0,0,0.0347,0.034699999999999995,0.0347,0,127.31572403368719,81.91043627991289,,,,,,,,
142,衢州市,江山市,信江,信江,3,214.2,0.7168,1.0257,1.7425,1.73,2.87,2.4,7,0,0.16,0,0.16,0,0,0.5,0.292,0.2,0.046,0.046,0.292,1.476,0.17,0.12,0,0.23,0.08,10.74,10.82,0.0403,0.0018,0.0015,0,,0,0.0436,0,0,0,0,0,0,0,0,0.0436,0,0.0115,0.00025,0.00025,0.012,0,0.0004,0.0004,0,0.0096,0.0003,0.0041,0.0148,0,0,0,0.0002,0,0.0002,0,0.0045,0.0003,0.0048,0,0.0027,0.0033,0.006,0,0.0051,0.0007,0.0058,0,0.0436,0,0,0.0436,0.0436,0.0436,0,481.5924657534246,106.84317158612694,,,,,,,,
143,衢州市,常山县,富春江坝址以上,衢江上游,3,1025.7,11.85,12.1,23.95,6.21,82.02,86.12,174.35,0,61.81,0,61.81,0,47.3,20.48,16.07,11.97,2.8,0.06,14.83,5.09,0,2.49,0,0.12,0.18,20.65,20.83,0.5021,0.2262,0.0483,0,,0,0.7766,0,0,0,0,0,0,0,0,0.7766,0,0.4228,0.0125,0.0004,0.4357,0,0,0.007,0,0.0059,0.0004,0.009,0.0223,0,0,0.0262,0.1214,0,0.1476,0,0.0109,0.0289,0.0398,0,0.0677,0.0484,0.1161,0,0.0143,0.0008,0.0151,0,0.7766,0,0,0.7766,0.7766,0.7766,0,281.60221952488297,111.40043020491339,,,,,,,,
144,衢州市,常山县,信江,信江,3,71.3,1.07,1.08,2.15,2.09,3.39,7.76,13.24,0,2.55,0,2.55,0,0,3.72,2.91,2.51,0.05,0.13,2.69,0.92,0,0.51,0,0.06,0.04,1.4,1.44,0.134,0.0191,0.0226,0,,0,0.1757,0,0,0,0,0,0,0,0,0.1757,0,0.1478,0.0008,0.0013,0.1499,0,0,0.0014,0,0.0023,0.0001,0.0005,0.0043,0,0,0,0.0061,0,0.0061,0,0,0.0045,0.0045,0,0.0054,0.0045,0.0099,0,0.0009,0.0001,0.001,0,0.1757,0,0,0.1757,0.1757,0.1757,0,276.5330943541159,116.69203450025365,,,,,,,,
145,衢州市,开化县,富春江坝址以上,衢江上游,3,1934.4,13.14,10.82,23.96,9.0485,60.8768,90.54,160.4653,0,38.36,0,38.36,0,0.6,32.53,16.5313,12.9786,0,2.0743,15.0529,5.6667,0,4.9712,0,0.125,0.154,6.4,6.554,0.6019,0.215,0.1621,0,,0,0.979,0.0031,0,0,0.0031,0,0,0,0,0.9821,0,0.705,0,0.0161,0.7211,0,0,0.0168,0,0.0122,0.0006,0.0032,0.0328,0,0,0.0009,0.0531,0,0.054,0.0024,0.0101,0.0356,0.0457,0.0007,0.0754,0.0349,0.1103,0,0.0174,0.0008,0.0182,0,0.9821,0.0031,0,0.9821,0.9821,0.9821,0,288.7762974083109,90.39576633833845,,,,,,,,
