序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
105,金华市,婺城区,富春江坝址以上,衢江下游,3,332.6,4.63,5.54,10.17,6.07,50.19,40.36,96.62,2.56,13.63,2.95,19.14,0,1.5,16.45,15.511,12.74,0.85,1.3,14.89,3.47,0.64,1.11,0.051,0.57,0.48,12.4,12.88,0.5314,0.0689,0.0096,0,,0,0.6099,0.0046,0,0,0.0046,0,0.0009,0,0.0009,0.6154,0,0.4055,0.0039,0.0129,0.4223,0,0.0024,0.0095,0.0002,0.0239,0.0011,0.0062,0.0433,0.0022,0,0.0094,0.0328,0.0225,0.0647,0.0003,0.0039,0.019,0.0229,0.0021,0.0187,0.0197,0.0384,0,0.0238,0,0.0238,0,0.6154,0.0046,0,0.6154,0.6154000000000001,0.6154000000000001,0,386.9936980384035,97.42347064932495,,,,,,,,
106,金华市,婺城区,富春江坝址以上,金华江下游,3,1059.4,70.59,16.3,86.89,12.47,187.66,422.79,622.92,1.27,144.94,26.69,172.9,0,20.625,28.52,26.725,22.65,1.21,2.86,26.72,2.86,1.6,2.75,0.114,1.41,0.96,24.9,25.86,1.6453,0.2642,0.0209,0,,0,1.9304,0.0144,0,0,0.0144,0,0,0,0,1.9448,0,0.7585,0.0072,0.0242,0.7899,0,0.0077,0.0302,0.0007,0.0761,0.0034,0.0196,0.1377,0.007,0,0.0065,0.2751,0.0692,0.3508,0.0032,0.0357,0.1762,0.2119,0.0042,0.3154,0.0634,0.3788,0,0.0757,0,0.0757,0,1.9448,0.0144,0,1.9448,1.9448,1.9447999999999999,0,234.0352450092857,106.56357677115723,,,,,,,,
107,金华市,金东区,富春江坝址以上,金华江下游,3,658,31.39,20.24,51.63,13.65,133.63,147.97,295.25,0,74.35,31.85,106.2,0,0,28.19,22.8917,16.43,2.25,3.06,21.74,1.84,0,2.61,0,0.936,0.6426,27.9,28.5426,0.742,0.1516,0.313,0,,0,1.2066,0.0062,0,0,0.0062,0,0,0,0,1.2128,0,0.551,0.0149,0.04,0.6059,0,0,0.017,0,0.0482,0.0017,0.013,0.0799,0.005,0,0,0.1493,0.042,0.1913,0.0005,0.0073,0.0902,0.0975,0.0007,0.1245,0.0667,0.1912,0,0.047,0,0.047,0,1.2128,0.0062,0,1.2128,1.2127999999999999,1.2127999999999999,0,234.7837850811924,90.28642590286425,,,,,,,,
108,金华市,兰溪市,富春江坝址以上,衢江下游,3,330.1,7.09,6.01,13.1,9.22,59.13,51.99,120.34,0,29.56,9.45,39.01,0,0,22.29,20,13.67,1.92,3.22,18.81,2.9,0,1.23,0,2.81,0.25,11.12,11.37,0.406,0.1913,0.1609,0,0,0,0.7582,0.0007,0,0,0.0007,0,0,0,0,0.7589,0,0.4148,0.008,0.0096,0.4324,0,0,0.0157,0,0.1397,0.001,0.0072,0.1636,0,0,0,0.049,0.0123,0.0613,0,0.007,0.008,0.015,0.0003,0.0428,0.0303,0.0731,0.0004,0.0107,0.0028,0.0135,0,0.7589,0.0007,0,0.7589,0.7589,0.7589,0,264.69849488958016,150.89006906297726,,,,,,,,
109,金华市,兰溪市,富春江坝址以上,金华江下游,3,126.1,3.19,2.75,5.94,5.9,33.88,41.44,81.22,0,39.3,8.05,47.35,0,264,6.83,6.34,3.69,0.81,1.2,5.7,1.28,0,0.8,0,0.29,0.11,5.91,6.02,0.1207,0.022,0.3644,0,0,0,0.5071,0.0035,0,0,0.0035,0,0,0,0,0.5106,0,0.1213,0.0053,0.0053,0.1319,0,0,0.0085,0,0.0126,0.0004,0.004,0.0255,0.002,0,0.2541,0.0412,0.011,0.3063,0.0015,0.0019,0.0068,0.0087,0,0.0195,0.0139,0.0334,0,0.004,0.0008,0.0048,0,0.5106,0.0035,0,0.5106,0.5106,0.5105999999999999,0,276.5491475930777,146.45080946450813,,,,,,,,
110,金华市,兰溪市,富春江坝址以上,兰江及富春江上游段,3,851.3,21.85,16.83,38.68,10.9,137.68,95.24,243.82,0,93.1,32.77,125.87,0,0,31.4,28.78,16.9,3.43,3.56,23.89,3.89,0,0.6,0,1.27,0.26,14.03,14.29,0.7008,0.0985,0.2942,0,0,0,1.0935,0.0106,0,0,0.0106,0,0,0,0,1.1041,0,0.5105,0.0078,0.012,0.5303,0,0,0.0084,0,0.0665,0.001,0.009,0.0849,0.008,0,0,0.1707,0.0426,0.2133,0.0026,0.0031,0.0213,0.0244,0,0.1269,0.0899,0.2168,0,0.0273,0.0071,0.0344,0,1.1041,0.0106,0,1.1041,1.1041,1.1040999999999999,0,223.94282310899345,157.90458981434003,,,,,,,,
111,金华市,兰溪市,富春江坝址以下,浦阳江,3,4.5,0.02,0.07,0.09,0.04,0.01,2.59,2.64,0,0.24,0.14,0.38,0,0,0.16,0.16,0.08,0.02,0.06,0.16,0.02,0,0.47,0,0.01,0.06,0.74,0.8,0.0032,0.0013,0.0089,0,0,0,0.0134,0,0,0,0,0,0,0,0,0.0134,0,0.003,0.0001,0.0002,0.0033,0,0,0.0075,0,0.0003,0.0002,0.0005,0.0085,0,0,0,0.0005,0.0002,0.0007,0,0.0002,0.0001,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0134,0,0,0.0134,0.0134,0.0134,0,684.9315068493152,156.55577299412911,,,,,,,,
112,金华市,东阳市,富春江坝址以上,金华江上游,3,1528.8,74.07,32.51,106.58,16.58,318.27,369.56,704.41,0.55,147.21,100.36,248.12,0,3.1,44,29.81,23.46,1.99,2.65,28.1,8.11,2.11,0,0,2.67,0.16,5.93,6.09,2.1236,0.1171,0.0166,0,0,0,2.2573,0,0,0,0,0,0,0,0,2.2573,0,0.9023,0.0195,0.0206,0.9424,0,0.0108,0,0,0.1425,0.0004,0.0042,0.1579,0,0,0.0105,0.2667,0.1201,0.3973,0,0.0461,0.0852,0.1313,0,0.3584,0.1325,0.4909,0,0.0812,0.0563,0.1375,0,2.2573,0,0,2.2573,2.2573000000000003,2.2573,0,211.16640867302496,159.10805105278465,,,,,,,,
113,金华市,东阳市,富春江坝址以上,金华江下游,3,30,0,0.82,0.82,0.33,1.23,3.52,5.08,0,0.4,0.27,0.67,0,0,0.88,0.6,0.46,0.04,0.05,0.55,0.16,0.04,0,0,0.05,0,0.14,0.14,0.0211,0,0.0076,0,,0,0.0287,0,0,0,0,0,0,0,0,0.0287,0,0.0181,0.0004,0.0004,0.0189,0,0.0002,0,0,0.0028,0,0.0001,0.0031,0,0,0,0.0008,0.0004,0.0012,0,0.0005,0.0009,0.0014,0,0,0.0029,0.0029,0,0,0.0012,0.0012,0,0.0287,0,0,0.0287,0.028699999999999996,0.0287,0,,136.986301369863,,,,,,,,
114,金华市,东阳市,富春江坝址以下,浦阳江,3,18.6,0,0.47,0.47,0.22,1.45,2.35,4.02,0,0.56,0.38,0.94,0,0,0.59,0.4,0.31,0.03,0.04,0.38,0.11,0.02,0,0,0.03,0,0.14,0.14,0.0198,0,0,0,,0,0.0198,0,0,0,0,0,0,0,0,0.0198,0,0.012,0.0003,0.0003,0.0126,0,0.0001,0,0,0.0017,0,0.0001,0.0019,0,0,0,0.0012,0.0005,0.0017,0,0.0003,0.0006,0.0009,0,0,0.0019,0.0019,0,0,0.0008,0.0008,0,0.0198,0,0,0.0198,0.019799999999999998,0.0198,0,,157.3885164675022,,,,,,,,
115,金华市,东阳市,富春江坝址以下,曹娥江百官以上,3,166.5,0,0.9,0.9,1.62,7.78,7.92,17.32,0,0.46,0.31,0.77,0,0,3.66,2.48,1.93,0.16,0.22,2.31,0.67,0.23,0,0,0.29,0,0.7,0.7,0.074,0.0278,0.0015,0,0,0,0.1033,0,0,0,0,0,0,0,0,0.1033,0,0.075,0.0016,0.0017,0.0783,0,0.0012,0,0,0.0155,0,0.0005,0.0172,0,0,0,0.0009,0.0004,0.0013,0,0.0006,0.001,0.0016,0,0,0.0034,0.0034,0,0,0.0015,0.0015,0,0.1033,0,0,0.1033,0.1033,0.1033,0,,149.1628614916286,,,,,,,,
