序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
104,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.4055,0.0039,0.0129,0.4223,0,0.0024,0.0095,0.0002,0.0239,0.0011,0.0062,0.0433,0.0022,0,0.0094,0.0328,0.0225,0.0647,0.0003,0.0039,0.019,0.0229,0.0021,0.0187,0.0197,0.0384,0,0.0238,0,0.0238,0,0.6154,0.0046,0,0.6154,0,0
105,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,0.7585,0.0072,0.0242,0.7899,0,0.0077,0.0302,0.0007,0.0761,0.0034,0.0196,0.1377,0.007,0,0.0065,0.2751,0.0692,0.3508,0.0032,0.0357,0.1762,0.2119,0.0042,0.3154,0.0634,0.3788,0,0.0757,0,0.0757,0,1.9448,0.0144,0,1.9448,0,0
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.551,0.0149,0.04,0.6059,0,0,0.017,0,0.0482,0.0017,0.013,0.0799,0.005,0,0,0.1493,0.042,0.1913,0.0005,0.0073,0.0902,0.0975,0.0007,0.1245,0.0667,0.1912,0,0.047,0,0.047,0,1.2128,0.0062,0,1.2128,0,0
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,0.5374,0.0109,0.0099,0.5582,0,0.004,0.0031,0,0.0294,0.0008,0.0095,0.0468,0.0063,0,0.0069,0.1657,0.0414,0.214,0.0003,0.0063,0.0504,0.0567,0.0022,0.133,0.0583,0.1913,0,0.0217,0.0083,0.03,0,1.097,0.0088,0,1.097,0,0
108,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.225,0.0057,0.0013,0.232,0,0.003,0.0018,0,0.004,0.0006,0.0058,0.0152,0.0017,0,0,0.0017,0.0004,0.0021,0,0.0008,0.0089,0.0097,0,0.0103,0.0165,0.0268,0,0.0035,0.0051,0.0086,0,0.2944,0.0017,0,0.2944,0,0
109,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.0302,0.0077,0.0008,0.0387,0,0.0003,0.0218,0,0.0094,0.0001,0.0027,0.0343,0,0,0,0.0132,0.0053,0.0185,0,0.0014,0.0041,0.0055,0,0.0155,0.0077,0.0232,0,0.0032,0.0043,0.0075,0,0.1277,0,0,0.1277,0,0
110,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.3156,0.0102,0.0042,0.33,0,0.0008,0.018,0,0.0122,0,0.0063,0.0373,0,0,0.0277,0.1527,0.0722,0.2526,0,0.0155,0.0413,0.0568,0,0.1367,0.0653,0.202,0,0.0174,0.0049,0.0223,0,0.901,0,0,0.901,0,0
111,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.0303,0.0065,0.0174,0.0542,0,0.0014,0,0,0.0022,0,0.0011,0.0047,0,0,0,0.0052,0.0078,0.013,0,0.0209,0.0214,0.0423,0,0.033,0.0074,0.0404,0,0.003,0,0.003,0,0.1576,0,0,0.1576,0,0
112,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.0078,0.0017,0.0045,0.014,0,0.0008,0,0,0.0013,0,0.0006,0.0027,0,0,0,0.0055,0.0083,0.0138,0,0.0061,0.0062,0.0123,0,0.0096,0.0105,0.0201,0,0.0018,0,0.0018,0,0.0647,0,0,0.0647,0,0
113,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.0049,0.0011,0.0028,0.0088,0,0.0007,0,0,0.0011,0,0.0005,0.0023,0,0,0,0.001,0.0016,0.0026,0,0.0033,0.0034,0.0067,0,0.0052,0.0093,0.0145,0,0.0014,0,0.0014,0,0.0363,0,0,0.0363,0,0
114,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.004,0.0009,0.0023,0.0072,0,0.0009,0,0,0.0013,0,0.0006,0.0028,0,0,0,0.0016,0.0024,0.004,0,0.0003,0.0003,0.0006,0,0.0004,0.0044,0.0048,0.0001,0.0018,0,0.0018,0,0.0212,0.0001,0,0.0212,0,0
115,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.0158,0.0034,0.009,0.0282,0,0.0008,0,0,0.0013,0,0.0006,0.0027,0,0,0,0.0003,0.0005,0.0008,0.0002,0.0003,0.0003,0.0006,0,0.0005,0.0052,0.0057,0,0.0017,0,0.0017,0,0.0397,0.0002,0,0.0397,0,0
116,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.4148,0.008,0.0096,0.4324,0,0,0.0157,0,0.1397,0.001,0.0072,0.1636,0,0,0,0.049,0.0123,0.0613,0,0.007,0.008,0.015,0.0003,0.0428,0.0303,0.0731,0.0004,0.0107,0.0028,0.0135,0,0.7589,0.0007,0,0.7589,0,0
117,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.1213,0.0053,0.0053,0.1319,0,0,0.0085,0,0.0126,0.0004,0.004,0.0255,0.002,0,0.2541,0.0412,0.011,0.3063,0.0015,0.0019,0.0068,0.0087,0,0.0195,0.0139,0.0334,0,0.004,0.0008,0.0048,0,0.5106,0.0035,0,0.5106,0,0
118,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.5105,0.0078,0.012,0.5303,0,0,0.0084,0,0.0665,0.001,0.009,0.0849,0.008,0,0,0.1707,0.0426,0.2133,0.0026,0.0031,0.0213,0.0244,0,0.1269,0.0899,0.2168,0,0.0273,0.0071,0.0344,0,1.1041,0.0106,0,1.1041,0,0
119,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.003,0.0001,0.0002,0.0033,0,0,0.0075,0,0.0003,0.0002,0.0005,0.0085,0,0,0,0.0005,0.0002,0.0007,0,0.0002,0.0001,0.0003,0,0.0001,0.0003,0.0004,0,0.0001,0.0001,0.0002,0,0.0134,0,0,0.0134,0,0
120,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.1189,0.0121,0.0048,0.1358,0,0.0047,0.0042,0,0.0268,0,0.0021,0.0378,0,0,0,0.1456,0.1374,0.283,0,0.0228,0.1995,0.2223,0,0.461,0.1021,0.5631,0,0.0367,0.005,0.0417,0,1.2837,0,0,1.2837,0,0
121,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.2309,0.0179,0.0076,0.2564,0,0.0066,0.006,0,0.0378,0,0.003,0.0534,0,0,0.0115,0.1407,0.1328,0.285,0,0.0075,0.0662,0.0737,0,0.1531,0.0339,0.187,0,0.0517,0.007,0.0587,0,0.9142,0,0,0.9142,0,0
