序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.7964,0.6325,0.0842,0,0.0000,0,1.5131,0.0002,0,0,0.0002,0.0212,0,0,0.0212,1.5345,0,1.5345,0,,,,,,0
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0509,0.009,0.0046,0,0.0000,0,0.0645,0,0,0,0,0,0,0,0,0.0645,0,0.0645,0,,,,,,0
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.1445,0.255,0.0091,0,0,0,0.4086,0,0,0,0,0,0,0,0,0.4086,0,0.4086,0,,,,,,0
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.198,0.3054,0.0038,0,0,0,0.5072,0,0,0,0,0.0175,0,0,0.0175,0.5247,0,0.5247,0,,,,,,0
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.0908,0.0292,0.0003,0,0,0,0.1203,0,0,0,0,0,0,0,0,0.1203,0,0.1203,0,,,,,,0
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1464,0.1213,0.0412,0,0.0000,0,0.3089,0,0,0,0,0,0,0,0,0.3089,0,0.3089,0,,,,,,0
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.3377,0.1815,0.1107,0,0.0000,0,0.6299,0,0,0,0,0.0083,0,0,0.0083,0.6382,0,0.6382,0,,,,,,0
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0394,0.0159,0.0051,0,0.0000,0,0.0604,0,0,0,0,0,0,0,0,0.0604,0,0.0604,0,,,,,,0
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.01,0.0063,0.0031,0,0.0000,0,0.0194,0,0,0,0,0,0,0,0,0.0194,0,0.0194,0,,,,,,0
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.2213,0.1631,0.0181,,,,0.4025,0.0002,0,,0.0002,,,,0,0.4027,0,0.4027,0,,,,,,0
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0006,0.0002,0,,,,0.0008,,0,,0,,,,0,0.0008,0,0.0008,0,,,,,,0
186,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,0.1847,0.1428,0.011,,,,0.3385,,0,,0,0.0137,,,0.0137,0.3522,0,0.3522,0,,,,,,0
187,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331124,松阳县,丽水市,1406,0.2332,0.3199,0.033,0,0,0,0.5861,0.0002,0,0,0.0002,0.0087,0,0,0.0087,0.595,0,0.595,0,,,,,,0
188,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331125,云和县,丽水市,819.7,0.3645,0.0303,0.0005,,,,0.3953,,0,,0,0.0105,,,0.0105,0.4058,0,0.4058,0,,,,,,0
189,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331125,云和县,丽水市,164.3,0.0461,0.0038,,,,,0.0499,,0,,0,,,,0,0.0499,0,0.0499,0,,,,,,0
190,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331126,庆元县,丽水市,64,0.0089,0.0466,0,0,0.0000,0,0.0555,0,0,0,0,0,0,0,0,0.0555,0,0.0555,0,,,,,,0
191,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,0.0447,0.0837,0,0,0.0000,0,0.1284,0,0,0,0,0,0,0,0,0.1284,0,0.1284,0,,,,,,0
192,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,0.021,0.0476,0,0,0.0000,0,0.0686,0,0,0,0,0,0,0,0,0.0686,0,0.0686,0,,,,,,0
193,东南诸河,闽江,闽江上游,闽江上游,G050100,331126,庆元县,丽水市,1040,0.0667,0.1901,0.0043,0,0.0000,0,0.2611,0.0029,0,0,0.0029,0.0142,0,0,0.0142,0.2782,0,0.2782,0,,,,,,0
194,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331127,景宁畲族自治县,丽水市,1682.6,0.1469,0.2068,0,0,0,0,0.3537,0,0,0,0,0.0098,0,0,0.0098,0.3635,0,0.3635,0,,,,,,0
195,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331127,景宁畲族自治县,丽水市,266.4,0.0078,0.0225,0,0,0,0,0.0303,0,0,0,0,0,0,0,0,0.0303,0,0.0303,0,,,,,,0
196,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331181,龙泉市,丽水市,316.1,0.0388,0.0306,0.0049,0,0.0000,0,0.0743,0,0,0,0,0,0,0,0,0.0743,0,0.0743,0,,,,,,0
197,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331181,龙泉市,丽水市,2438.8,0.3404,0.2584,0.0454,0,0.0000,0,0.6442,0.0001,0,0,0.0001,0.0134,0,0,0.0134,0.6577,0,0.6577,0,,,,,,0
198,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331181,龙泉市,丽水市,216.3,0.0475,0.0388,0.0065,0,0.0000,0,0.0928,0,0,0,0,0,0,0,0,0.0928,0,0.0928,0,,,,,,0
,东南诸河,闽江,闽江上游,闽江上游,G050100,331181,龙泉市,丽水市,87.8,0.0452,0.0299,0.0056,0,0.0000,0,0.0807,0,0,0,0,0,0,0,0,0.0807,0,0.0807,0,,,,,,0
,,,,,,,,丽水市,1392,2.0091,0.3085,0.0279,0,0,0,2.3455000000000004,0.0078,0,0,0.0078,0.0046,0.0007,0,0.0053,2.3586,0,0.5249,,,,,,,
