序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
173,丽水市,莲都区,瓯江温溪以上,大溪,6,0.0,1374.8,44.1317,11.9223,56.054,22.51,162.2,294.8,479.51,0.73,124.01,0,124.74,0,2.55,19.37,16.64,14.57,2.04,0,16.61,3.87,0,4.12,0,0.42,0.2,27.95,28.15,0.7964,0.6325,0.0842,0,,0,1.5131,0.0002,0,0,0.0002,0.0212,0,0,0.0212,1.5345,0,0.5833,0.0274,0,0.6107,0,0,0.0235,0,0.0178,0.0007,0.0112,0.0532,0,0,0.0077,0.1952,0,0.2029,0.0002,0.0499,0.2288,0.2787,0,0.2806,0.0547,0.3353,0,0.0411,0.0126,0.0537,0,1.5345,0.0002,0,1.5345,0,0,0
174,丽水市,莲都区,瓯江温溪以上,小溪及瓯江青田段,6,0.0,127.2,0.0183,0.8277,0.846,1.17,2.49,0.01,3.67,1.09,1.65,0,2.74,0,7,1.06,0.94,0.85,0.08,0,0.93,0.22,0,0.2,0,0.02,0.04,1.04,1.08,0.0509,0.009,0.0046,0,,0,0.0645,0,0,0,0,0,0,0,0,0.0645,0,0.03,0.0012,0,0.0312,0,0,0.0009,0,0.0009,0.0001,0.0004,0.0023,0,0,0.0233,0.0031,0,0.0264,0,0,0,0,0,0.0001,0.0034,0.0035,0,0,0.0011,0.0011,0,0.0645,0,0,0.0645,0,0,0
175,丽水市,青田县,瓯江温溪以上,大溪,6,0.0,1138.1,7.0005,12.2292,19.2297,4.7539,41.6493,65.25,111.6532,0.3917,32.7003,0,33.092,0,1.2,19.3,6.21,4.21,1.2,0,5.41,2.7681,0,0.54,0,0.01,0.26,11.42,11.68,0.1445,0.255,0.0091,0,,0,0.4086,0,0,0,0,0,0,0,0,0.4086,0,0.2156,0.0252,0,0.2408,0,0,0.003,0,0.0005,0.0009,0.0056,0.01,0,0,0.0025,0.0687,0,0.0712,0,0.0058,0.0222,0.028,0,0.0269,0.0317,0.0586,0,0,0,0,0,0.4086,0,0,0.4086,0,0,0
176,丽水市,青田县,瓯江温溪以上,小溪及瓯江青田段,6,0.0,1314.6,14.8041,11.2662,26.0703,5.7369,54.1316,73.136,133.0045,0,37.4124,0,37.4124,0,0,20.87,6.78,4.63,1.33,0,5.96,2.4441,0,0.44,0,0.02,0.21,11.19,11.4,0.198,0.3054,0.0038,0,,0,0.5072,0,0,0,0,0.0175,0,0,0.0175,0.5247,0,0.2542,0.0248,0,0.279,0,0,0.0025,0,0.001,0.0007,0.0046,0.0088,0,0,0,0.0705,0,0.0705,0,0.009,0.0514,0.0604,0,0.0584,0.0305,0.0889,0,0.0171,0,0.0171,0,0.5247,0,0,0.5247,0,0,0
177,丽水市,青田县,瓯江温溪以下,楠溪江,6,0.0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,丽水市,青田县,瓯江温溪以下,瓯江下游干流,6,0.0,22.6,6,0,6,1.1238,10.0491,23.5594,34.7323,0,17.5856,0,17.5856,0,0,0.84,0.63,0.47,0.14,0,0.61,0.1178,0,0.28,0,0,0.03,0.47,0.5,0.0908,0.0292,0.0003,0,,0,0.1203,0,0,0,0,0,0,0,0,0.1203,0,0.025,0.0024,0,0.0274,0,0,0.0015,0,0,0.0001,0.0002,0.0018,0,0,0,0.037,0,0.037,0,0.0039,0.0233,0.0272,0,0.0269,0,0.0269,0,0,0,0,0,0.1203,0,0,0.1203,0,0,0
179,丽水市,青田县,瓯江温溪以下,飞云江,6,0.0,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,丽水市,缙云县,富春江坝址以上,金华江下游,6,0.0,298.7,8.16,5.4596,13.6196,3.44,47.21,21.91,72.56,0,40.71,0,40.71,0,0,8.09,4.39,3.26,1.094,0,4.354,1.18,0.07,0.278,0,0.12,0.03,5.36,5.39,0.1464,0.1213,0.0412,0,,0,0.3089,0,0,0,0,0,0,0,0,0.3089,0,0.1525,0.016,0,0.1685,0,0.0003,0.0019,0,0.0051,0.0001,0.0022,0.0096,0,0,0,0.0379,0,0.0379,0,0.0026,0.0222,0.0248,0,0.0385,0.0235,0.062,0,0.0056,0.0005,0.0061,0,0.3089,0,0,0.3089,0,0,0
181,丽水市,缙云县,瓯江温溪以上,大溪,6,0.0,981.9,15.78,7.5237,23.3037,8.35,89.93,110.2,208.48,0.03,78.69,0,78.72,0,1.2,15.5,9.73,7.23,2.42,0,9.65,2.98,0.08,0.307,0,0.2,0.03,7.33,7.36,0.3377,0.1815,0.1107,0,,0,0.6299,0,0,0,0,0.0083,0,0,0.0083,0.6382,0,0.3619,0.0374,0,0.3993,0,0.0003,0.002,0,0.009,0.0001,0.0028,0.0142,0,0,0.0021,0.0749,0,0.077,0,0.0051,0.0261,0.0312,0,0.0746,0.0329,0.1075,0,0.0082,0.0008,0.009,0,0.6382,0,0,0.6382,0,0,0
182,丽水市,缙云县,瓯江温溪以下,永安溪,6,0.0,130.9,0,2.8103,2.8103,1.27,8.74,5.9,15.91,0,1.43,0,1.43,0,0,1.9,0.89,0.83,0,0,0.83,0.5,0,0,0,0,0.03,2.59,2.62,0.0394,0.0159,0.0051,0,,0,0.0604,0,0,0,0,0,0,0,0,0.0604,0,0.0447,0,0,0.0447,0,0,0,0,0,0.0001,0.0012,0.0013,0,0,0,0.0013,0,0.0013,0,0,0,0,0,0,0.0122,0.0122,0,0,0.0009,0.0009,0,0.0604,0,0,0.0604,0,0,0
