序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.5833,0.0274,0,0.6107,0,0,0.0235,0,0.0178,0.0007,0.0112,0.0532,0,0,0.0077,0.1952,0,0.2029,0.0002,0.0499,0.2288,0.2787,0,0.2806,0.0547,0.3353,0,0.0411,0.0126,0.0537,0,1.5345,0.0002,,1.5345,0,0
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.03,0.0012,0,0.0312,0,0,0.0009,0,0.0009,0.0001,0.0004,0.0023,0,0,0.0233,0.0031,0,0.0264,0,0,0,0,0,0.0001,0.0034,0.0035,0,0,0.0011,0.0011,0,0.0645,0,,0.0645,0,0
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.2156,0.0252,0,0.2408,0,0,0.003,0,0.0005,0.0009,0.0056,0.01,0,0,0.0025,0.0687,0,0.0712,0,0.0058,0.0222,0.028,0,0.0269,0.0317,0.0586,0,0,0,0,0,0.4086,0,,0.4086,0,0
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.2542,0.0248,0,0.279,0,0,0.0025,0,0.001,0.0007,0.0046,0.0088,0,,,0.0705,0,0.0705,0,0.009,0.0514,0.0604,0,0.0584,0.0305,0.0889,0,0.0171,0,0.0171,0,0.5247,0,,0.5247,0,0
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.025,0.0024,0,0.0274,0,0,0.0015,0,0,0.0001,0.0002,0.0018,0,,,0.037,0,0.037,0,0.0039,0.0233,0.0272,0,0.0269,0,0.0269,0,0,0,0,0,0.1203,0,,0.1203,0,0
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1525,0.016,0,0.1685,0,0.0003,0.0019,0,0.0051,0.0001,0.0022,0.0096,0,,,0.0379,0,0.0379,0,0.0026,0.0222,0.0248,0,0.0385,0.0235,0.062,0,0.0056,0.0005,0.0061,0,0.3089,0,,0.3089,0,0
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.3619,0.0374,0,0.3993,0,0.0003,0.002,0,0.009,0.0001,0.0028,0.0142,0,0,0.0021,0.0749,0,0.077,0,0.0051,0.0261,0.0312,0,0.0746,0.0329,0.1075,0,0.0082,0.0008,0.009,0,0.6382,0,,0.6382,0,0
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0447,0,0,0.0447,0,0,0,0,0,0.0001,0.0012,0.0013,0,,,0.0013,0,0.0013,0,0,0,0,0,0,0.0122,0.0122,0,0,0.0009,0.0009,0,0.0604,0,,0.0604,0,0
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.0147,0,0,0.0147,0,0,0,0,0,0,0.0003,0.0003,0,,,0.0001,0,0.0001,0,0,0,0,0,0,0.0035,0.0035,0,0,0.0008,0.0008,0,0.0194,0,,0.0194,0,0
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.3002,0.0211,0,0.3213,,0.0001,0.0008,,0.0093,0.0006,0.0009,0.0117,,,,0.0057,0.0099,0.0156,,0.0048,0.0217,0.0265,0.0002,0.0114,0.0124,0.0238,,0.0024,0.0014,0.0038,,0.4027,0.0002,,0.4027,0,0
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0006,0.0001,0,0.0007,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,,0,0.0001,0.0001,,0,0,0,,0.0008,0,,0.0008,0,0
