序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
152,台州市,椒江区,瓯江温溪以下,灵江及椒江左岸,4,0.0,100.9,10.52,5.37,15.89,3.36,58.89,85.66,147.91,12.89,19.33,18.77,50.99,136,0,8,3.893,2.9729,0.3475,0,3.3204,0.78,0.56,0.99,0,0.012,0.1004,1.889,1.9894,0.2436,0,0.0897,0,,0,0.3333,0.0003,0,0,0.0003,0,0,0,0,0.3336,0.0322,0.1159,0.0099,0,0.1258,0,0.0059,0.0104,0,0.0012,0.0003,0.0007,0.0185,0,0.075,0,0.0135,0.0078,0.0963,0,0.0053,0.0063,0.0116,0,0.0533,0.0217,0.075,0.0003,0.0039,0.0025,0.0064,0,0.3336,0.0003,0.0322,0.3658,0,0,0
153,台州市,椒江区,瓯江温溪以下,温黄平原,4,0.0,174.1,56.28,13.63,69.91,11.06,225.46,385.39,621.91,0.99,191.23,7.44,199.66,0,2.7,13.42,7.2659,5.981,0.6991,0,6.6801,2.41,0.11,0.34,0,0.1154,0.0096,0.9445,0.9541,0.8452,0,0.2948,0,,0,1.14,0.0011,0,0,0.0011,0.0377,0.0093,0,0.047,1.1881,0.4086,0.2375,0.0203,0,0.2578,0,0.0012,0.0036,0,0.0115,0.0001,0.0003,0.0167,0,0,0.0141,0.2913,0.0768,0.3822,0,0.0427,0.0988,0.1415,0,0.26,0.0506,0.3106,0.0011,0.0454,0.0339,0.0793,0,1.1881,0.0011,0.4086,1.5967,0,0,0
154,台州市,黄岩区,瓯江温溪以下,永安溪,4,0.0,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,台州市,黄岩区,瓯江温溪以下,温黄平原,4,0.0,933.5,45.5,24.63,70.13,22.46,288.31,300.73,611.5,4.3,143.11,115.76,263.17,0,35,24.06,12.8237,9.2755,1.645,0,10.9205,3.38,0.345,3.825,0,0.19,0.1202,5.561,5.6812,1.0186,0,0.2545,0,,0,1.2731,0.0023,0,0,0.0023,0.061,0.0041,0,0.0651,1.3405,0.393,0.4529,0.0611,0,0.514,0,0.003,0.034,0,0.019,0.0004,0.0021,0.0585,0,0,0.0065,0.1352,0.0752,0.2169,0,0.0168,0.1329,0.1497,0,0.2169,0.0868,0.3037,0.0023,0.0599,0.0378,0.0977,0,1.3405,0.0023,0.393,1.7335,0,0,0
156,台州市,黄岩区,瓯江温溪以下,楠溪江,4,0.0,50.2,0,1.07,1.07,0.58,0,0,0.58,0,0,0,0,0,0,0.59,0.5306,0.3174,0.1387,0,0.4561,0.37,0.03,0,0,0,0,0,0,0.0148,0,0,0,,0,0.0148,0,0,0,0,0,0.0049,0,0.0049,0.0197,0,0.0111,0.0025,0,0.0136,0,0.0003,0,0,0,0,0,0.0003,0,0,0,0,0,0,0,0,0,0,0,0,0.0041,0.0041,0,0.0017,0,0.0017,0,0.0197,0,0,0.0197,0,0,0
157,台州市,路桥区,瓯江温溪以下,温黄平原,4,0.0,273,42.8,21.2,64,15.7,292.98,448.32,757,0.71,132.92,104.27,237.9,0,3.9,18.115,13.2518,12.4613,0.3967,0,12.858,3.66,0.55,0.46,0,0.375,0.0205,3.531,3.5515,0.7017,0,0.5579,0,,0,1.2596,0.0073,0,0,0.0073,0.0156,0.0035,0,0.0191,1.286,0.3294,0.5189,0.0131,0,0.532,0,0.0082,0.0069,0,0.0675,0.0001,0.0013,0.084,0,0,0.0252,0.0699,0.0558,0.1509,0,0.0208,0.1111,0.1319,0,0.2284,0.0861,0.3145,0.0073,0.0443,0.0284,0.0727,0,1.286,0.0073,0.3294,1.6154,0,0,0
158,台州市,三门县,浙东沿海诸河,象山港及三门湾,4,0.0,1069.6,21.1,16.8,37.9,40.57,154.22,137.84,332.63,58.67,67.72,8.75,135.14,0.46,0,32.47,15.7995,8.9989,2.9318,0,11.9307,5.13,0.03,0.21,0,0.029,0.28,20.4517,20.7317,0.5179,0,0.327,0,,0,0.8449,0.0005,0,0,0.0005,0.0216,0.0146,0.0196,0.0558,0.9012,0.1193,0.368,0.0901,0,0.4581,0,0.0005,0.0024,0,0.0029,0.001,0.0075,0.0143,0,0.0552,0,0.0622,0.0492,0.1666,0,0.0068,0.0765,0.0833,0,0.0859,0.0669,0.1528,0.0005,0.0209,0.0052,0.0261,0,0.9012,0.0005,0.1193,1.0205,0,0,0
159,台州市,三门县,瓯江温溪以下,灵江及椒江左岸,4,0.0,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,台州市,天台县,富春江坝址以下,曹娥江百官以上,4,0.0,114.3,0,0.53,0.53,0.63,0.07,0.01,0.71,0,0,0.11,0.11,0,0,5,0.7453,0.3578,0.1124,0,0.4702,0.42,0.0194,0.2971,0,0,0.037,1.1848,1.2218,0.0065,0.0042,0.0029,0,,0,0.0136,0.0001,0,0,0.0001,0,0,0,0,0.0137,0,0.0078,0.0018,0,0.0096,0,0.0001,0.0017,0,0,0.0002,0.0004,0.0024,0,0,0,0,0.0002,0.0002,0,0,0,0,0,0,0.0015,0.0015,0.0001,0,0,0,0,0.0137,0.0001,0,0.0137,0,0,0
161,台州市,天台县,浙东沿海诸河,象山港及三门湾,4,0.0,224.7,0.15,1.81,1.96,1.67,6.3,2.12,10.09,0,0.62,0.78,1.4,0,0,8,1.7306,0.8449,0.2655,0,1.1104,0.71,0.0194,0.2971,0,0,0.1482,1.8512,1.9994,0.0315,0.0103,0.0064,0,,0,0.0482,0.0001,0,0,0.0001,0,0,0,0,0.0483,0,0.026,0.0062,0,0.0322,0,0.0002,0.0034,0,0,0.0006,0.0008,0.005,0,0,0,0.0011,0.0015,0.0026,0,0,0.0006,0.0006,0,0.0009,0.007,0.0079,0.0001,0,0,0,0,0.0483,0.0001,0,0.0483,0,0,0
