序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
28,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0013,0.0077,0,0,,0,0.009,0,0,0,0,0,0,0,0,0.009,0,0.009,0,,,,,,0
29,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,1.0747,0.2061,0.434,0,,0,1.7148,0.0048,0,0,0.0048,0,0,0,0,1.7196,0.468,2.1876,0,,,0.468,,,0.468
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.6159,0.05,0.0901,0,,0,0.756,0,0,0,0,0,0,0,0,0.756,0.323,1.079,0,,,0.323,,,0.323
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,1.2126,0.03,0.9616,0,,0,2.2042,0,0,0,0,0.1556,0,0,0.1556,2.3598,0.366,2.7258,14.8,,0.2752,,,0.0908,0.366
32,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.5089,0.0017,0.3957,0,,0,0.9063,0,0,0,0,0,0,0,0,0.9063,0,0.9063,0,,,,,,0
33,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,0.8525,0,1.1123,0.1416,,0,2.1064,0,0,0,0,0.2388,0,0,0.2388,2.3452,0.283,2.6282,0,,,,0.283,,0.283
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,1.2948,0.082,0.3625,0.6403,,0,2.3796,0.0003,0,0,0.0003,0,0.0002,0,0.0002,2.3801,1.5606,3.9407,0,,,,1.4793,0.0813,1.5606
35,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.2538,0.0235,0.1034,0,,0,0.3807,0,0,0,0,0,0,0,0,0.3807,0.0414,0.4221,0,,,,,0.0414,0.0414
36,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,0.9621,0.156,0.2306,0,,0,1.3487,0.0012,0,0,0.0012,0,0,0,0,1.3499,0.325,1.6749,0,0.255,0.07,,,,0.325
37,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.1599,0.0423,0.0989,0,,0,0.3011,0,0,0,0,0,0,0,0,0.3011,0,0.3011,0,,,,,,0
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,1.1482,0.1982,0.2121,0,,0,1.5585,0,0,0,0,0.0073,0.0001,0.0005,0.0079,1.5664,0.051,1.6174,12.7514,0.045,,,,0.006,0.051
39,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0
40,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,1.6551,0.059,0.084,0,,0,1.7981,0.0011,0,0,0.0011,0,0,0,0,1.7992,0.169,1.9682,15.5165,0.093,,,,0.076,0.169
41,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.0248,0,0.0091,0,,0,0.0339,0,0,0,0,0,0,0,0,0.0339,0,0.0339,0,,,,,,0
42,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,1.924,0.15,0.6241,0.35,,0,3.0481,0,0,0,0,0.0166,0.0016,0,0.0182,3.0663,0.459,3.5253,0,0.089,,,0.37,,0.459
43,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.0643,0,0.0181,0,,0,0.0824,0,0,0,0,0,0,0,0,0.0824,0,0.0824,0,,,,,,0
44,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,1.4458,0.1176,0.82,0.6554,,0,3.0388,0,0,0,0,0.0817,0,0,0.0817,3.1205,1.955,5.0755,0,,,,1.955,,1.955
