序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
28,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0075,0.0002,0,0.0077,0,0.0001,0,0,0,0,0,0.0001,0,,,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.009,0,,0.009,0,0
29,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,0.5476,0.0146,0,0.5622,0,0.0066,0.0044,0,0.0183,0.0002,0.0012,0.0307,0,0,0,0.1971,0.0729,0.27,0.0048,0.0276,0.2002,0.2278,0,0.5042,0.0626,0.5668,0,0.0601,0.002,0.0621,0,1.7196,0.0048,0.468,2.1876,0,0
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.1691,0.0019,0,0.171,0,0.0045,0.0063,0,0.0067,0.0017,0.0009,0.0201,0,,,0.0983,0.0212,0.1195,0,0.0257,0.1103,0.136,0,0.2338,0.0381,0.2719,0,0.0235,0.014,0.0375,0,0.756,0,0.323,1.079,0,0
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,0.1328,0.0206,0,0.1534,0,0.0013,0.0047,0,0.0019,0.0001,0.0012,0.0092,0,0.0828,0.2218,1.0441,0.0395,1.3882,0,0.0311,0.3032,0.3343,0,0.336,0.064,0.4,0,0.0586,0.0161,0.0747,0,2.3598,0,0.366,2.7258,0,0
32,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.0881,0.0139,0,0.102,0,0.0008,0.0032,0,0.0008,0.0001,0.0003,0.0052,0,0,0.105,0.3719,0.037,0.5139,0,0.0133,0.0768,0.0901,0,0.0931,0.0523,0.1454,0,0.023,0.0267,0.0497,0,0.9063,0,,0.9063,0,0
33,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,0.1127,0.0392,0,0.1519,0,0.0005,0.0033,0,0.0038,0.0003,0.0009,0.0088,0,0,0.1188,1.3588,0.0562,1.5338,0,0.0133,0.2307,0.244,0,0.3033,0.0264,0.3297,0,0.05,0.027,0.077,0,2.3452,0,0.283,2.6282,0,0
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,0.487,0.0037,0,0.4907,0,0.0051,0.0071,0,0.0131,0.0002,0.0007,0.0262,0,0,0.0224,0.2468,0.1465,0.4157,0.0003,0.0446,0.4652,0.5098,0,0.7254,0.1237,0.8491,0,0.0838,0.0048,0.0886,0,2.3801,0.0003,1.5606,3.9407,0,0
35,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.0881,0.0016,0,0.0897,0,0.0025,0.0061,0,0.0082,0.0001,0.0006,0.0175,0,,,0.0406,0.029,0.0696,0,0.0034,0.0399,0.0433,0,0.1115,0.0372,0.1487,0,0.0103,0.0016,0.0119,0,0.3807,0,0.0414,0.4221,0,0
36,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,0.5546,0.0134,0,0.568,0,0.0427,0.0109,0,0.0076,0.0003,0.0058,0.0673,0,,,0.1662,0.0602,0.2264,0.0008,0.0267,0.1388,0.1655,0.0004,0.198,0.1067,0.3047,0,0.009,0.009,0.018,0,1.3499,0.0012,0.325,1.6749,0,0
37,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.1378,0.0043,0,0.1421,0,0.0183,0.0059,0,0,0.0001,0.0039,0.0282,0,,,0.0118,0.0239,0.0357,0,0.002,0.0272,0.0292,0,0.0335,0.0264,0.0599,0,0.004,0.002,0.006,0,0.3011,0,,0.3011,0,0
38,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,0.5686,0.0157,0,0.5843,0,0.01,0.022,0,0.1421,0.0005,0.0112,0.1858,0,0.0342,0.0077,0.1326,0.0529,0.2274,0,0.0151,0.1915,0.2066,0,0.2188,0.1225,0.3413,0,0.019,0.002,0.021,0,1.5664,0,0.051,1.6174,0,0
39,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
40,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,0.7514,0.0046,0,0.756,0,0.0059,0.0135,0,0.105,0.0014,0.0092,0.135,0,0.071,0.0048,0.122,0.0563,0.2541,0.0004,0.017,0.1652,0.1822,0.0007,0.2867,0.1347,0.4214,0,0.04,0.0105,0.0505,0,1.7992,0.0011,0.169,1.9682,0,0
41,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.0102,0.0016,0,0.0118,0,0.0049,0.0024,0,0,0.0005,0.0003,0.0081,0,,,0,0,0,0,0.0013,0.0013,0.0026,0,0.0019,0.0063,0.0082,0,0.0021,0.0011,0.0032,0,0.0339,0,,0.0339,0,0
42,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,1.1318,0.1022,0,1.234,0,0.0305,0.0101,0,0.1736,0.0006,0.0103,0.2251,0,0,0.0316,0.4694,0.0875,0.5885,0,0.0231,0.3277,0.3508,0,0.5289,0.1034,0.6323,0,0.0244,0.0112,0.0356,0,3.0663,0,0.459,3.5253,0,0
43,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.0488,0.0145,0,0.0633,0,0.0019,0.0022,0,0,0.0003,0.0003,0.0047,0,,,0,0,0,0,0.0009,0.0016,0.0025,0,0.0017,0.0067,0.0084,0,0.0024,0.0011,0.0035,0,0.0824,0,,0.0824,0,0
44,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,0.4376,0.3386,0,0.7762,0,0.0135,0.0527,0,0.153,0.0004,0.012,0.2316,0,0,0.0785,0.5217,0.3224,0.9226,0,0.0561,0.1948,0.2509,0,0.7085,0.1671,0.8756,0,0.0463,0.0173,0.0636,0,3.1205,0,1.955,5.0755,0,0
