序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
1,杭州市,上城区,杭嘉湖平原,杭嘉湖平原,1,0.0,123.3,137.1,0,137.1,0,671.04,1889.49,2560.53,0,479.84,55.37,535.21,0,0,2.79,2.79,2.52,0,0,2.52,0,0,0,0,0,0,0,0,0,0,0.1013,1.5479,钱塘江,0,1.6492,0.0002,0.0002,0.0002,0.0002,0,0,0,0,1.6494,8.0213,0.1013,0,0,0.1013,0,0,0,0,0,0,0,0,0,0,0,0.0319,0,0.0319,0.0002,0.1099,0.559,0.6689,0,0.7684,0,0.7684,0,0.0789,0,0.0789,0,1.6494,0.0002,8.0213,9.6707,0,0,0
2,杭州市,拱墅区,杭嘉湖平原,杭嘉湖平原,1,0.0,119,117.7,0,117.7,0,193.37,1809.95,2003.32,7.62,101.59,14.78,123.99,0,241.5,0.08,0.08,0.04,0,0,0.04,0,0,0,0,0,0,0,0,0,0,0.0882,1.2985,钱塘江,0,1.3867,0,0,0,0,0,0,0,0,1.3867,0,0.0016,0,0,0.0016,0,0,0,0,0,0,0,0,0,0,0.0562,0,0.0565,0.1127,0,0.1263,0.3725,0.4988,0,0.6788,0,0.6788,0,0.0948,0,0.0948,0,1.3867,0,0,1.3867,0,0,0
3,杭州市,西湖区,杭嘉湖平原,杭嘉湖平原,1,0.0,115.9,95.39,0.83,96.22,3.34,107.08,1295.98,1406.4,0,72.33,1.81,74.14,0,0,0.64,0.64,0.39,0.12,0,0.51,0.04,0,0,0,0.1,0,0,0,0,0,0.0272,1.0332,钱塘江,0,1.0604,0,0,0,0,0.2031,0.0077,0,0.2108,1.2712,0,0.0194,0.0018,0,0.0212,0,0,0,0,0.0276,0,0,0.0276,0,0,0,0.0362,0,0.0362,0,0.0414,0.5083,0.5497,0,0.5408,0.0043,0.5451,0,0.0914,0,0.0914,0,1.2712,0,0,1.2712,0,0,0
4,杭州市,西湖区,富春江坝址以下,富春江下游段,1,0.0,147.1,20.73,2.15,22.88,1.53,46.85,567.29,615.67,0,38.92,1.39,40.31,0,0,2.56,2.56,1.55,0.48,0,2.03,0.16,2.29,0.65,0,0.39,0,0,0,0,0.181,0.3596,0,,0,0.5406,0,0,0,0,0,0,0,0,0.5406,2.3753,0.077,0.004,0,0.081,0,0.0229,0.0024,0,0.1102,0,0,0.1355,0,0,0,0.0186,0,0.0186,0,0.0572,0.0669,0.1241,0,0.1203,0.0115,0.1318,0,0.0496,0,0.0496,0,0.5406,0,2.3753,2.9159,0,0,0
5,杭州市,滨江区,富春江坝址以下,萧绍平原,2,0.0,73,53,0,53,0.54,848.99,1335.27,2184.8,0,756.38,74.11,830.49,0,0,0.22,0.22,0.01,0.04,0,0.05,0.1,0,0.84,0,0.08,0,0,0,0,0.0143,0.7912,0,,0,0.8055,0,0,0,0,0,0,0,0,0.8055,1.4829,0.0005,0.0015,0,0.002,0,0,0.0031,0,0.0075,0,0,0.0106,0,0,0,0.0982,0,0.0982,0,0.0978,0.2395,0.3373,0,0.3071,0,0.3071,0,0.0503,0,0.0503,0,0.8055,0,1.4829,2.2884,0,0,0
6,杭州市,萧山区,富春江坝址以下,富春江下游段,2,0.0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,0.34,0.3,0.04,0,0.34,0,0,0,0,0.08,0,0,0,0,0,0.0245,0,,0,0.0245,0,0,0,0,0,0,0,0,0.0245,0,0.0165,0.001,0,0.0175,0,0,0,0,0.0053,0,0,0.0053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0.0017,0,0.0245,0,0,0.0245,0,0,0
7,杭州市,萧山区,富春江坝址以下,浦阳江,2,0.0,363.4,23.45,14.37,37.82,13.52,251.18,57.68,322.38,2.29,191.25,14.94,208.48,0,144.6,14.05,14.05,12.51,1.54,0,14.05,2.5,0.91,3.48,0,3.06,0.1,31.4,31.5,0,0.4549,1.4498,0,,0,1.9047,0,0,0,0,0.0357,0,0,0.0357,1.9404,0.1345,0.6635,0.039,0,0.7025,0,0.004,0.0198,0,0.2143,0.0003,0.012,0.2504,0,0,0.0413,0.4831,0.0714,0.5958,0,0.0338,0.0746,0.1084,0,0.1366,0.082,0.2186,0,0.0507,0,0.0647,0,1.9404,0,0.1345,2.0749,0,0,0
8,杭州市,萧山区,富春江坝址以下,萧绍平原,2,0.0,363.6,147.67,25.51,173.18,45.76,549.56,1146.25,1741.57,20.8,359.32,119.8,499.92,0,14.2,13.71,13.71,12.21,1.5,0,13.71,4.75,0.91,3.48,0,3.06,0.15,31.48,31.63,0,1.0615,2.0641,0,,0,3.1256,0,0,0,0,0.0535,0,0,0.0535,3.1791,8.8964,0.6753,0.037,0,0.7123,0,0.004,0.0203,0,0.2144,0.0004,0.0123,0.2514,0,0,0.0376,0.4953,0.0806,0.6135,0,0.1777,0.3732,0.5509,0,0.8411,0.1439,0.985,0,0.0513,0,0.066,0,3.1791,0,8.8964,12.0755,0,0,0
9,杭州市,余杭区,湖西及湖区,西苕溪及长兴平原,1,0.0,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,杭州市,余杭区,湖西及湖区,东苕溪,1,0.0,555.3,52.35,13.3,65.65,10.83,87.53,585.73,684.09,0.26,53.85,12.85,66.96,0,80,7.75,7.75,6.96,0.79,0,7.75,2.44,0,6.87,0,0.62,0.02,23.05,23.07,0.1079,0.1272,0.6926,0.4722,钱塘江,0,1.3999,0,0,0,0,0,0,0,0,1.3999,0,0.4117,0.0195,0,0.4312,0,0,0.0344,0,0.0413,0.0001,0.0168,0.0926,0,0,0.0017,0.0593,0,0.061,0,0.0296,0.3608,0.3904,0,0.288,0.0705,0.3585,0,0.0216,0.0446,0.0662,0,1.3999,0,0,1.3999,0,0,0
