序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
1,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,137.1,0,137.1,0,671.04,1889.49,2560.53,0,479.84,55.37,535.21,0,0,2.79,2.79,2.52,0,0,2.52,0,0,0,0,0,0,0,0
2,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,117.7,0,117.7,0,193.37,1809.95,2003.32,7.62,101.59,14.78,123.99,0,241.5,0.08,0.08,0.04,0,0,0.04,0,0,0,0,0,0,0,0
3,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,95.39,0.83,96.22,3.34,107.08,1295.98,1406.4,0,72.33,1.81,74.14,0,,0.64,0.64,0.39,0.12,0,0.51,0.04,0,0,0,0.1,0,0,0
4,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,20.73,2.15,22.88,1.53,46.85,567.29,615.67,0,38.92,1.39,40.31,0,,2.56,2.56,1.55,0.48,0,2.03,0.16,2.29,0.65,0,0.39,0,0,0
5,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,53,0,53,0.54,848.99,1335.27,2184.8,0,756.38,74.11,830.49,0,,0.22,0.22,0.01,0.04,0,0.05,0.1,0,0.84,0,0.08,0,0,0
6,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0,0,0,0,0,0,0,0,0,0,,0.34,0.34,0.3,0.04,0,0.34,0,0,0,0,0.08,0,0,0
7,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,23.45,14.37,37.82,13.52,251.18,57.68,322.38,2.29,191.25,14.94,208.48,0,144.6,14.05,14.05,12.51,1.54,0,14.05,2.5,0.91,3.48,0,3.06,0.1,31.4,31.5
8,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,147.67,25.51,173.18,45.76,549.56,1146.25,1741.57,20.8,359.32,119.8,499.92,0,14.2,13.71,13.71,12.21,1.5,0,13.71,4.75,0.91,3.48,0,3.06,0.15,31.48,31.63
9,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,52.35,13.3,65.65,10.83,87.53,585.73,684.09,0.26,53.85,12.85,66.96,0,80,7.75,7.75,6.96,0.79,0,7.75,2.44,0,6.87,0,0.62,0.02,23.05,23.07
