序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
45,温州市,鹿城区,瓯江温溪以下,瓯江下游干流,5,0.0,289.9,108.3164,10.8436,119.16,2.4015,313.6495,991.6541,1307.7051,1,65.2506,152.64,218.8906,0,3.6,4.17,3.4827,2.8923,0.5904,0,3.4827,1.9016,0,0.351,0,0,0.1103,7.6793,7.7896,1.3263,0.306,0.2263,0,,0,1.8586,0,0,0,0,0,0,0,0,1.8586,0.947,0.1603,0.019,0,0.1793,0,0,0.0018,0,0,0.0003,0.0028,0.0049,0,0,0.0007,0.1146,0.1218,0.2371,0,0.1305,0.3097,0.4402,0,0.6528,0.0512,0.704,0,0.2931,0,0.2931,0,1.8586,0,0.947,2.8056,0,0,0
46,温州市,龙湾区,瓯江温溪以下,瓯江下游干流,5,0.0,332.8,73.8161,0.0739,73.89,3.2564,510.0089,355.3099,868.5752,11.1,205.22,242.0146,458.3346,34.2,2,4.81,4.46,2.9929,0.2771,0,3.27,0.7475,0,0.1395,0,0,0,4.4949,4.4949,0.9689,0.2873,0.1846,0,,0,1.4408,0,0,0,0,0,0,0,0.0002,1.441,0.4883,0.1307,0.009,0,0.1397,0,0,0.0006,0,0,0,0.0019,0.0025,0,0,0.012,0.112,0.2422,0.3662,0,0.075,0.2309,0.3059,0,0.4301,0.0003,0.4304,0,0.1963,0,0.1963,0,1.441,0,0.4883,1.9293,0,0,0
47,温州市,瓯海区,瓯江温溪以下,瓯江下游干流,5,0.0,461.4,82.7686,15.5314,98.3,7.272,325.639,471.9615,804.8725,0,117.455,108.458,225.913,0,0,8.9,7.56,6.0725,1.3079,0,7.3804,2.1965,0.06,1.5075,0,0,0.2421,3.3732,3.6153,1.3397,0.1245,0.2125,0,,0,1.6767,0.0005,0,0,0.0005,0,0,0,0,1.6772,1.1742,0.24,0.0416,0,0.2816,0,0.0004,0.0075,0,0.0014,0.0007,0.0014,0.0114,0,0,0,0.1175,0.1598,0.2773,0,0.0926,0.2254,0.318,0,0.4645,0.0679,0.5324,0.0005,0.2565,0,0.2565,0,1.6772,0.0005,1.1742,2.8514,0,0,0
48,温州市,瓯海区,瓯江温溪以下,飞云江,5,0.0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,温州市,洞头区,瓯江温溪以下,瓯江下游干流,5,0.0,231,8.7533,6.7667,15.52,7.7431,53.916,75.4965,137.1556,0,22.24,9.6484,31.8884,0,0,1.96,0.86,0.3773,0.4827,0,0.86,0,0,0.063,0,0,0,0.9328,0.9328,0.0379,0.1263,0.023,0,,0,0.1872,0,0,0,0,0,0,0,0,0.1872,0,0.0226,0.02,0,0.0426,0,0,0.0004,0,0,0,0.0003,0.0007,0,0,0,0.0125,0.0116,0.0241,0,0.0239,0.0245,0.0484,0,0.0354,0.0216,0.057,0,0.0144,0,0.0144,0,0.1872,0,0,0.1872,0,0,0
50,温州市,永嘉县,瓯江温溪以下,永安溪,5,0.0,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,温州市,永嘉县,瓯江温溪以下,温黄平原,5,0.0,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,温州市,永嘉县,瓯江温溪以下,楠溪江,5,0.0,2272.3,29.9705,26.1578,56.1283,13.9955,170.9131,216.5288,401.4374,3.82,67.6709,77.3729,148.8638,0,1,30,23.0177,14.2004,5.0645,0,19.2649,9.5051,0,6.231,0,0.0252,1.1,12.17,13.27,0.6336,0.4817,0.109,0,,0,1.2243,0.0099,0,0,0.0099,0.005,0,0,0.005,1.2392,0,0.5733,0.0983,0,0.6716,0.008,0,0.0234,0,0.0036,0.0037,0.0045,0.0352,0,0,0.0043,0.0996,0.1263,0.2302,0.0003,0.0152,0.0463,0.0615,0,0.1319,0.1,0.2319,0.0016,0.0088,0,0.0088,0,1.2392,0.0099,0,1.2392,0,0,0
53,温州市,永嘉县,瓯江温溪以下,瓯江下游干流,5,0.0,395,20.7215,10.5502,31.2717,5.2794,58.0817,51.8817,115.2428,0,11.267,2.2468,13.5138,0,0,7.3,5.2364,2.2,0.2771,0,2.4771,1,0,0,0,0,0.7097,11.4541,12.1638,0.1141,0.1089,0.1054,0,,0,0.3284,0.0009,0,0,0.0009,0,0,0,0,0.3293,0,0.09,0.006,0,0.096,0.0001,0,0,0,0,0.0015,0.0048,0.0063,0,0,0,0.0099,0.0134,0.0233,0,0.0024,0.0556,0.058,0,0.0979,0.037,0.1349,0.0008,0.0108,0,0.0108,0,0.3293,0.0009,0,0.3293,0,0,0
54,温州市,平阳县,瓯江温溪以下,飞云江,5,0.0,209.7,16.0925,9.59,25.6825,6.9258,98.222,61.6026,166.7504,0,35.2399,30.7517,65.9916,0,0,8.45,6.81,3.6763,1.6059,0,5.2822,3,0.04,0.141,0,0,0.189,15.13,15.319,0.1446,0.2292,0.0936,0,,0,0.4674,0.001,0,0,0.001,0,0,0,0,0.4684,0,0.1401,0.0277,0,0.1678,0,0.0002,0.0004,0,0,0.0005,0.0044,0.0055,0,0,0,0.034,0.053,0.087,0,0.0205,0.0571,0.0776,0,0.0722,0.0402,0.1124,0.001,0.0181,0,0.0181,0,0.4684,0.001,0,0.4684,0,0,0
