序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
45,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,108.3164,10.8436,119.16,2.4015,313.6495,991.6541,1307.7051,1,65.2506,152.64,218.8906,0,3.6,4.17,3.4827,2.8923,0.5904,,3.4827,1.9016,0,0.351,,,0.1103,7.6793,7.7896
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,73.8161,0.0739,73.89,3.2564,510.0089,355.3099,868.5752,11.1,205.22,242.0146,458.3346,34.2,2,4.81,4.46,2.9929,0.2771,,3.27,0.7475,0,0.1395,,,0,4.4949,4.4949
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,82.7686,15.5314,98.3,7.272,325.639,471.9615,804.8725,0,117.455,108.458,225.913,,,8.9,7.56,6.0725,1.3079,,7.3804,2.1965,0.06,1.5075,,0.0039,0.2421,3.3732,3.6153
48,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
49,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,8.7533,6.7667,15.52,7.7431,53.916,75.4965,137.1556,,22.24,9.6484,31.8884,,,1.96,0.86,0.3773,0.4827,,0.86,,,0.063,,,0,0.9328,0.9328
50,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
51,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
52,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,29.9705,26.1578,56.1283,13.9955,170.9131,216.5288,401.4374,3.82,67.6709,77.3729,148.8638,0,1,30,23.0177,14.2004,5.0645,,19.2649,9.5051,0,6.231,,0.0252,1.1,12.17,13.27
53,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,20.7215,10.5502,31.2717,5.2794,58.0817,51.8817,115.2428,,11.267,2.2468,13.5138,,,7.3,5.2364,2.2,0.2771,,2.4771,1,0,0,,,0.7097,11.4541,12.1638
54,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,16.0925,9.59,25.6825,6.9258,98.222,61.6026,166.7504,,35.2399,30.7517,65.9916,,,8.45,6.81,3.6763,1.6059,,5.2822,3,0.04,0.141,,,0.189,15.13,15.319
55,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,39.1838,21.7737,60.9575,16.5102,217.7378,245.4802,479.7282,5.08,82.6448,100.0065,187.7313,0,1.2,20,18.76,14.6177,3.3388,,17.9565,9.585,0.23,1.935,,0.2483,0.8901,17.2323,18.1224
56,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.3,55.4582,18.6427,74.1009,28.7272,148.6868,213.4089,390.8229,,35.0153,48.0238,83.0391,0,0,22.9,20.22,14.0855,4.0747,,18.1602,11.0619,2.16,2.438,,0.0763,0.8816,18.597,19.4786
57,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,4.0152,6.6039,10.6191,2.4361,14.2395,20.0612,36.7368,,2.5218,3.7227,6.2445,,,2.64,1.89,1.4,0.3081,,1.7081,0,0.45,0.31,,,0.1417,4.9915,5.1332
58,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,,0.25,0.25,,,,0,,,,0,,,2.68,1.73,0.11,,,0.11,0,0,0.2645,,,0,0,0
59,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,13.3828,15.3972,28.78,10.7244,32.6038,83.2189,126.5471,,3.6371,10.7229,14.36,,,19,17,6.4135,0.9865,,7.4,5.0872,0,1.6,,,0.1901,2.3261,2.5162
60,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,,,0,,,,0,,,,0,,,0,,,,,0,,,,,,0,0,0
61,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,6.1797,6.7972,12.9769,5.7662,25.6347,38.4231,69.824,,1.93,5.7,7.63,,,10,8.2394,3.7501,0.2486,,3.9987,4.6163,0,1.307,,,0.1612,8.317,8.4782
62,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.25,0.25,0.5,,,,0,,,,0,,,1.24,0.2867,0.25,0.0068,,0.2568,0,0,0,,,,2.408,2.408
63,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330329,泰顺县,温州市,868.1,6.3176,6.9855,13.3031,5.5345,26.6609,41.965,74.1604,,2.07,6.3031,8.3731,,,15.44,12.6071,5.7531,0.51,,6.2631,2,0,1.3,,,0.141,6.9226,7.0636
64,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330381,瑞安市,温州市,1340.9,103.904,48.896,152.8,29.02,542.7805,626.0719,1197.8724,8.7,228.6094,213.58,450.8894,0,4.4,36.7,31.9032,23.5004,3.6796,,27.18,10.7616,3.825,3.765,,0.2326,0.9771,18.119,19.0961
65,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330381,瑞安市,温州市,9.1,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
66,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330382,乐清市,温州市,30.9,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
67,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330382,乐清市,温州市,1354.1,97.8622,48.8578,146.72,22.7938,685.0651,794.0936,1501.9525,91.92,325.05,214.2469,631.2169,315,2.4,28.69,26.61,21.0168,3.6328,,24.6496,14.4535,6,3.513,,0.0052,1.4547,17.3505,18.8052
68,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330383,龙港市,温州市,184,46.0012,0.9388,46.94,9.6319,165.415,195.0936,370.1405,39.3,50.81,62.6226,152.7326,203,1.9,7.97,7.47,5.4553,1.1347,,6.59,4,,0.0675,,,0.0322,2.4629,2.4951
