序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
78,湖州市,吴兴区,湖西及湖区,西苕溪及长兴平原,1,0.0,173.2,16.3699,5.7489,22.1188,3.24,119.47,153.81,276.52,1.01,70,56.24,127.25,0,2.7,2.23,2.23,1.74,0.39,0,2.13,0.86,0.78,0,0,0.57,0.0024,9.3331,9.3355,0.158,0.0115,0.1773,0,,0,0.3468,0,0,0,0,0,0,0,0,0.3468,0,0.0818,0.0068,0,0.0886,0,0.0018,0,0,0.0404,0,0.0024,0.0446,0,0,0.0226,0.0234,0.0085,0.0545,0,0.0073,0.0408,0.0481,0,0.0761,0.0263,0.1024,0,0.0062,0.0024,0.0086,0,0.3468,0,0,0.3468,0,0,0
79,湖州市,吴兴区,湖西及湖区,东苕溪,1,0.0,360,10.9098,2.7483,13.6581,7.05,57.28,73.72,138.05,0.15,19.24,15.49,34.88,0,0,4.83,4.83,3.86,0.79,0,4.65,1.88,0.36,0,0,1.17,0.0011,4.7098,4.7109,0.0756,0.0252,0.383,0,,0,0.4838,0,0,0,0,0,0,0,0,0.4838,0,0.1772,0.0142,0,0.1914,0,0.0035,0,0,0.0759,0,0.002,0.0814,0,0,0.0047,0.0507,0.0183,0.0737,0,0.0145,0.0454,0.0599,0,0.0507,0.0102,0.0609,0,0.0122,0.0043,0.0165,0,0.4838,0,0,0.4838,0,0,0
80,湖州市,吴兴区,湖西及湖区,太湖区,1,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,湖州市,吴兴区,杭嘉湖平原,杭嘉湖平原,1,0.0,327.8,53.1915,14.7316,67.9231,17.56,375.57,387.47,780.6,1.38,162.42,145.13,308.93,0,6.4,12.85,12.85,9.23,3.11,0,12.34,5.19,0.28,0.64,0,3.51,0,6.9308,6.9308,0.703,0,0.9524,0,,0,1.6554,0,0,0,0,0.0161,0,0,0.0161,1.6715,0.0365,0.449,0.0606,0,0.5096,0,0.0013,0.0058,0,0.247,0,0.0025,0.2566,0,0,0.0127,0.1864,0.0712,0.2703,0,0.0474,0.1715,0.2189,0,0.2552,0.0697,0.3249,0,0.0692,0.022,0.0912,0,1.6715,0,0.0365,1.708,0,0,0
82,湖州市,南浔区,杭嘉湖平原,杭嘉湖平原,1,0.0,702,31.07,23.53,54.6,31.2391,324.8504,203.1471,559.2366,5.7671,178.8328,116.9844,301.5843,0,32.65,20.33,20.26,18.4313,1.8287,0,20.26,12.34,0.28,0.55,0,6.18,0,44.305,44.305,0,0,2.3772,0,,0,2.3772,0,0,0,0,0.0216,0,0,0.0216,2.3988,0,0.7525,0.0347,0,0.7872,0,0.0014,0.0105,0,0.6113,0,0.0251,0.6483,0,0,0.0392,0.2243,0.1281,0.3916,0,0.0256,0.1492,0.1748,0,0.1586,0.1054,0.264,0,0.1131,0.0198,0.1329,0,2.3988,0,0,2.3988,0,0,0
83,湖州市,德清县,湖西及湖区,东苕溪,1,0.0,536.5,12.0436,7.0343,19.0779,9.051,128.591,107.662,245.304,3.52,96.922,22.192,122.634,0,17.73,8.82,8.82,8.45,0.29,0,8.74,1.57,0.4,1.62,0,2.07,0,7.8359,7.8359,0.5963,0.0453,0.2025,0,,0,0.8441,0,0,0,0,0.0033,0,0,0.0033,0.8474,0,0.3678,0.0052,0,0.373,0,0.0016,0.0146,0,0.1255,0,0.0024,0.1441,0,0,0.0378,0.0666,0.0322,0.1366,0,0.008,0.0717,0.0797,0,0.0632,0.0313,0.0945,0,0.0187,0.0008,0.0195,0,0.8474,0,0,0.8474,0,0,0
84,湖州市,德清县,杭嘉湖平原,杭嘉湖平原,1,0.0,401.5,22.6922,13.6299,36.3221,18.849,252.023,142.031,412.903,7.56,160.198,57.822,225.58,0,12.34,17.39,17.39,16.16,0.79,0,16.95,4.45,0.15,0.61,0,4.25,0.1547,17.591,17.7457,0.2469,0,1.3791,0,,0,1.626,0,0,0,0,0.0069,0,0,0.0069,1.6329,0,0.7051,0.0139,0,0.719,0,0.0006,0.0055,0,0.2642,0.0005,0.006,0.2768,0,0,0.0391,0.1702,0.0963,0.3056,0,0.0118,0.1069,0.1187,0,0.1211,0.06,0.1811,0,0.0305,0.0012,0.0317,0,1.6329,0,0,1.6329,0,0,0
85,湖州市,长兴县,湖西及湖区,西苕溪及长兴平原,1,0.0,1428,43.72,24.28,68,44.0236,436.2134,373.1285,853.3655,24.7564,296.8435,79.9249,401.5248,0,445.5,35.54,35.54,28.0503,3.8797,0,31.93,18.48,1.88,4.29,0,3.87,0.0766,32.9225,32.9991,0.7196,0.1341,1.9364,0,,0,2.7901,0.0008,0,0,0.0008,0.2256,0,0,0.2256,3.0165,0,1.1774,0.0465,0,1.2239,0,0.0094,0.0515,0,0.3195,0.0002,0.0116,0.3922,0,0,0.4086,0.1844,0.1218,0.7148,0.0008,0.0186,0.2388,0.2574,0,0.2428,0.1174,0.3602,0,0.0378,0.0302,0.068,0,3.0165,0.0008,0,3.0165,0,0,0
86,湖州市,长兴县,湖西及湖区,太湖区,1,0.0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,湖州市,安吉县,湖西及湖区,西苕溪及长兴平原,1,0.0,1815.4,35.05,22.28,57.33,29.2,265.39,272.63,567.22,1.2197,242.3474,5.3653,248.9324,0,21.8,22.91,22.79,20.56,2.23,0,22.79,7.72,0.5,1.12,0,2.51,0.0349,12.2459,12.2808,1.1323,0.2659,0.5262,0,,0,1.9244,0,0,0,0,0.0298,0,0,0.0298,1.9542,0,0.8506,0.0157,0,0.8663,0,0.0022,0.0078,0,0.184,0,0.0044,0.1984,0,0,0.0058,0.2883,0.0323,0.3264,0,0.0194,0.199,0.2184,0,0.1869,0.1096,0.2965,0,0.0354,0.0128,0.0482,0,1.9542,0,0,1.9542,0,0,0
