序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,1.1658,0.5875,0.4172,,,,2.1705,0.0011,0,,0.0011,0.1417,,,0.1417,2.3133,1.5779,3.8912,0,,1.5779,,,,1.5779
90,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,0.0856,0.5231,0.2336,,,,0.8423,0.0001,0,,0.0001,,,,0,0.8424,0,0.8424,0,,,,,,0
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0127,0.0025,0.0064,,,,0.0216,0.0005,0,,0.0005,,,,0,0.0221,0,0.0221,0,,,,,,0
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,1.2306,0.9269,1.6117,,,,3.7692,0.0015,0,,0.0015,0.1157,,,0.1157,3.8864,0,3.8864,0,,,,,,0
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1564,0.0736,0.1019,,,,0.3319,0.0085,0,,0.0085,0.0568,,,0.0568,0.3972,0,0.3972,0,,,,,,0
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.183,0.1657,0.1708,,,,0.5195,0.0004,0,,0.0004,0.0127,,,0.0127,0.5326,0,0.5326,0,,,,,,0
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2478,0.0327,0.2051,,,,0.4856,0.004,0,,0.004,0.0382,,,0.0382,0.5278,0,0.5278,0,,,,,,0
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,0.6025,0.4351,0.1381,,,,1.1757,0.0022,0,,0.0022,0.07,,,0.07,1.2479,0,1.2479,0,,,,,,0
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.7432,0.3328,0.2949,,,,1.3709,0.0061,0,,0.0061,0.0462,,,0.0462,1.4232,0,1.4232,0,,,,,,0
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.0097,0.0281,0.0065,,,,0.0443,0,0,,0,,,,0,0.0443,0,0.0443,0,,,,,,0
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,1.2182,1.8247,0.5248,,,,3.5677,0.0076,0,,0.0076,0.1311,,,0.1311,3.7064,0,3.7064,0,,,,,,0
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,0.7278,1.3511,0.2117,,,,2.2906,0.0225,0,,0.0225,0.1146,,,0.1146,2.4277,0,2.4277,0,,,,,,0
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0
