序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
132,衢州市,市本级,富春江坝址以上,衢江下游,3,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,衢州市,柯城区,富春江坝址以上,衢江上游,3,0.0,271.1,4.2,10.1,14.3,3.2761,87.3085,139.173,229.7576,1.02,77.35,0,78.37,0,23,6.874,5.1665,3.734,0.7565,0,4.4905,1.1374,0.6,3.2174,0,0.0171,0.102,2.3778,2.4798,0.7815,0.1897,0.0354,0,,0,1.0066,0,0,0,0,0,0,0,0,1.0066,0,0.2121,0.0066,0,0.2187,0,0.0024,0.0095,0,0.4269,0.0002,0.0008,0.4398,0,0,0.0022,0.2435,0,0.2457,0,0.0017,0.0275,0.0292,0,0.0163,0.0347,0.051,0,0.0222,0,0.0222,0,1.0066,0,0,1.0066,0,0,0
134,衢州市,柯城区,富春江坝址以上,衢江下游,3,0.0,335.9,38,1.8,39.8,5.6387,200.7594,215.0391,421.4372,2.54,172.37,0,174.91,34.5,0,7.306,5.1135,3.6353,0.8091,0,4.4444,1.4667,0.6,3.4066,0,0.0039,0.0357,3.1473,3.183,1.1107,0.2696,0.0504,0,,0,1.4307,0,0,0,0,0.1104,0,0,0.1104,1.5411,0,0.2169,0.0072,0,0.2241,0,0.0024,0.01,0,0.0004,0.0001,0.0012,0.0141,0,0.3693,0,0.4489,0,0.8182,0,0.0155,0.2491,0.2646,0,0.1604,0.0061,0.1665,0,0.0536,0,0.0536,0,1.5411,0,0,1.5411,0,0,0
135,衢州市,衢江区,富春江坝址以上,衢江上游,3,0.0,135.3,0.3,4.8,5.1,4.591,13.905,17.0839,35.5799,0,12.26,0,12.26,0,0,8.71,4.8655,4.0116,0.2749,0,4.2865,2.3296,0.18,3.3706,0,0.0575,0.2567,2.4449,2.7016,0.163,0.09,0.0187,0,,0,0.2717,0.0001,0,0,0.0001,0,0,0,0,0.2718,0,0.1965,0.002,0,0.1985,0,0.0005,0.0141,0,0.0054,0.0007,0.0008,0.0215,0,0,0,0.031,0,0.031,0.0001,0.0005,0.0006,0.0011,0,0.0013,0.0155,0.0168,0,0.0025,0.0004,0.0029,0,0.2718,0.0001,0,0.2718,0,0,0
136,衢州市,衢江区,富春江坝址以上,衢江下游,3,0.0,1611.2,17.3,14.8,32.1,16.8176,115.7489,122.7764,255.3429,0,101.91,0,101.91,0,0,36.89,28.6645,21.9766,3.2769,0,25.2535,10.6048,1.12,5.3354,0,0.33,0.374,25.9887,26.3627,1.0047,0.5652,0.0913,0,,0,1.6612,0.0002,0,0,0.0002,0.0386,0,0,0.0386,1.7,0,0.9411,0.0249,0,0.966,0,0.003,0.015,0,0.0327,0.0008,0.0095,0.061,0,0,0,0.3545,0,0.3545,0.0002,0.0067,0.1566,0.1633,0,0.0729,0.0472,0.1201,0,0.0306,0.0045,0.0351,0,1.7,0.0002,0,1.7,0,0,0
137,衢州市,衢江区,富春江坝址以上,新安江,3,0.0,1.5,0,0.1,0.1,0.0979,0,0,0.0979,0,0.13,0,0.13,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0,0,0.0007,0.0002,0,,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,0,0.0004,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0,0.0009,0,0,0.0009,0,0,0
138,衢州市,常山县,信江,信江,3,0.0,71.3,1.1,1.1,2.2,2.052,3.5958,15.3375,20.9853,0,2.73,0,2.73,0,0,3.72,3.3681,2.8807,0.2223,0,3.103,0.9202,0,1.7225,0,0.052,0,1.2074,1.2074,0.1449,0.0209,0.0248,0,,0,0.1906,0,0,0,0,0,0,0,0,0.1906,0,0.1494,0.0018,0,0.1512,0,0,0.0048,0,0.0047,0,0.0004,0.0099,0,0,0,0.0138,0,0.0138,0,0,0.0049,0.0049,0,0.0053,0.0044,0.0097,0,0.001,0.0001,0.0011,0,0.1906,0,0,0.1906,0,0,0
139,衢州市,常山县,富春江坝址以上,衢江上游,3,0.0,1025.7,12.3,11.8,24.1,7.1292,86.9998,85.4864,179.6154,1.88,64.33,0,66.21,0,49.1,20.48,15.0519,10.669,3.198,0,13.867,5.0914,0,8.41,0,0.128,0.3072,17.8089,18.1161,0.5235,0.2351,0.0502,0,,0,0.8088,0,0,0,0,0.0379,0,0,0.0379,0.8467,0,0.453,0.0253,0,0.4783,0,0,0.0236,0,0.012,0.0007,0.0058,0.0421,0,0,0.0333,0.119,0,0.1523,0,0.01,0.0316,0.0416,0,0.0676,0.0483,0.1159,0,0.0156,0.0009,0.0165,0,0.8467,0,0,0.8467,0,0,0
140,衢州市,开化县,饶河,饶河,3,0.0,272,0.1,1.7,1.8,3.9293,2.1989,2.7789,8.9071,0,0.08,0,0.08,0,0,3.0016,3.0016,1.7168,0.5387,0,2.2555,0.2964,0,0.1545,0,0.0147,0,0.492,0.492,0.0447,0,0,0,,0,0.0447,0,0,0,0,0,0,0,0,0.0447,0,0.0311,0.0034,0,0.0345,0,0,0.0004,0,0.0013,0,0.0002,0.0019,0,0,0,0.0005,0,0.0005,0,0.0004,0.0003,0.0007,0,0.0004,0.0056,0.006,0,0.0011,0,0.0011,0,0.0447,0,0,0.0447,0,0,0
141,衢州市,开化县,富春江坝址以上,衢江上游,3,0.0,1934.4,12.9,9.9,22.8,10.5883,67.2671,94.3922,172.2476,0.2062,44.3538,0,44.56,0,0.6,30.7199,21.5199,12.3392,3.8313,0,16.1705,5.6682,0,1.29,0,0.1302,0.0826,10.3314,10.414,0.6738,0.2841,0.1815,0,,0,1.1394,0.0032,0,0,0.0032,0.0123,0,0,0.0123,1.1549,0,0.8501,0.0299,0,0.88,0,0,0.0044,0,0.0129,0.0002,0.0035,0.021,0,0,0.0009,0.055,0,0.0559,0.0026,0.0088,0.061,0.0698,0.0006,0.074,0.0355,0.1095,0,0.0177,0.001,0.0187,0,1.1549,0.0032,0,1.1549,0,0,0
