序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,菜田,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,0.2121,0.0066,0,0.2187,0,0.0024,0.0095,0,0.4269,0.0002,0.0008,0.4398,0,0,0.0022,0.2435,0,0.2457,0,0.0017,0.0275,0.0292,0,0.0163,0.0347,0.051,0,0.0222,0,0.0222,0,1.0066,0,,1.0066,0,0
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,0.2169,0.0072,0,0.2241,0,0.0024,0.01,0,0.0004,0.0001,0.0012,0.0141,0,0.3693,0,0.4489,0,0.8182,0,0.0155,0.2491,0.2646,0,0.1604,0.0061,0.1665,0,0.0536,0,0.0536,0,1.5411,0,,1.5411,0,0
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.1965,0.002,0,0.1985,0,0.0005,0.0141,0,0.0054,0.0007,0.0008,0.0215,0,,,0.031,0,0.031,0.0001,0.0005,0.0006,0.0011,0,0.0013,0.0155,0.0168,0,0.0025,0.0004,0.0029,0,0.2718,0.0001,,0.2718,0,0
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,0.9411,0.0249,0,0.966,0,0.003,0.015,0,0.0327,0.0008,0.0095,0.061,0,,,0.3545,0,0.3545,0.0002,0.0067,0.1566,0.1633,0,0.0729,0.0472,0.1201,0,0.0306,0.0045,0.0351,0,1.7,0.0002,,1.7,0,0
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0004,0,0.0004,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0,0.0009,0,,0.0009,0,0
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,0.1494,0.0018,0,0.1512,0,0,0.0048,0,0.0047,0,0.0004,0.0099,0,,,0.0138,0,0.0138,0,0,0.0049,0.0049,0,0.0053,0.0044,0.0097,0,0.001,0.0001,0.0011,0,0.1906,0,,0.1906,0,0
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,0.453,0.0253,0,0.4783,0,0,0.0236,0,0.012,0.0007,0.0058,0.0421,0,0,0.0333,0.119,0,0.1523,0,0.01,0.0316,0.0416,0,0.0676,0.0483,0.1159,0,0.0156,0.0009,0.0165,0,0.8467,0,,0.8467,0,0
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.0311,0.0034,0,0.0345,0,0,0.0004,0,0.0013,0,0.0002,0.0019,0,,,0.0005,0,0.0005,0,0.0004,0.0003,0.0007,0,0.0004,0.0056,0.006,0,0.0011,0,0.0011,0,0.0447,0,,0.0447,0,0
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,0.8501,0.0299,0,0.88,0,0,0.0044,0,0.0129,0.0002,0.0035,0.021,0,0,0.0009,0.055,0,0.0559,0.0026,0.0088,0.061,0.0698,0.0006,0.074,0.0355,0.1095,0,0.0177,0.001,0.0187,0,1.1549,0.0032,,1.1549,0,0
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0.001,0.0003,0,0.0013,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.0003,0.0003,0,0,0,0,0,0.0016,0,,0.0016,0,0
