序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,4.2,10.1,14.3,3.2761,87.3085,139.173,229.7576,1.02,77.35,,78.37,0,23,6.874,5.1665,3.734,0.7565,0,4.4905,1.1374,0.6,3.2174,0,0.0171,0.102,2.3778,2.4798
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,38,1.8,39.8,5.6387,200.7594,215.0391,421.4372,2.54,172.37,,174.91,34.5,0,7.306,5.1135,3.6353,0.8091,0,4.4444,1.4667,0.6,3.4066,0,0.0039,0.0357,3.1473,3.183
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.3,4.8,5.1,4.591,13.905,17.0839,35.5799,,12.26,,12.26,0,0,8.71,4.8655,4.0116,0.2749,0,4.2865,2.3296,0.18,3.3706,0,0.0575,0.2567,2.4449,2.7016
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,17.3,14.8,32.1,16.8176,115.7489,122.7764,255.3429,,101.91,,101.91,0,0,36.89,28.6645,21.9766,3.2769,0,25.2535,10.6048,1.12,5.3354,0,0.33,0.374,25.9887,26.3627
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.1,0.1,0.0979,0,0,0.0979,,0.13,,0.13,0,0,0,0,0,0,0,0,0.0081,0,0,0,0,0,0,0
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,1.1,1.1,2.2,2.052,3.5958,15.3375,20.9853,,2.73,,2.73,0,0,3.72,3.3681,2.8807,0.2223,0,3.103,0.9202,0,1.7225,0,0.052,0,1.2074,1.2074
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,12.3,11.8,24.1,7.1292,86.9998,85.4864,179.6154,1.88,64.33,,66.21,0,49.1,20.48,15.0519,10.669,3.198,0,13.867,5.0914,0,8.41,0,0.128,0.3072,17.8089,18.1161
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.1,1.7,1.8,3.9293,2.1989,2.7789,8.9071,,0.08,,0.08,0,0,3.0016,3.0016,1.7168,0.5387,0,2.2555,0.2964,0,0.1545,0,0.0147,0,0.492,0.492
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,12.9,9.9,22.8,10.5883,67.2671,94.3922,172.2476,0.2062,44.3538,,44.56,0,0.6,30.7199,21.5199,12.3392,3.8313,0,16.1705,5.6682,0,1.29,0,0.1302,0.0826,10.3314,10.414
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0,0.1,0.1,0.1939,0,0,0.1939,,0,,0,0,0,0.0985,0.0985,0.0253,0.0487,0,0.074,0.0185,0,0,0,0,0,0,0
143,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,19.6,17.1,36.7,13.6738,131.0851,153.9019,298.6608,6.32,98.72,,105.04,0,45.3,47,32.5919,26.5107,2.9847,0,29.4954,12.2888,0.1,5.1165,0,0.8956,0.6456,117.0186,117.6642
144,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.7,1,1.7,3.5521,2.8273,8.2326,14.612,,0.15,,0.15,0,0,1.8908,1.8908,1.3256,0.4971,0,1.8227,1.4764,0.75,1.3028,0,0.2146,0,13.4683,13.4683
146,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,28.1,17.5,45.6,19.6175,160.3184,182.1965,362.1324,2.17,121.89,,124.06,0,26.1,44.5792,37.9297,32.4881,4.0773,0,36.5654,13.1701,1.502,3.7638,0,1.1654,0.3028,63.6899,63.9927
147,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,1,1.5,2.5,2.0189,2.187,0.3338,4.5397,,5.13,,5.13,0,0,5.67,0.4895,0.3608,0.1112,0,0.472,0.8983,0.148,0.3619,0,0,0.0869,12.8709,12.9578
