序号,市,县（市、区）,水资源分区,nan,水资源利用分区,nan,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计,总用水量（核算）,总供水量（核算）,总供水-总用水
105,金华市,婺城区,富春江坝址以上,衢江下游,3,0.0,332.6,4.71,5.23,9.94,6.28,53,41.45,100.73,0.67,16.66,2.83,20.16,0,1.5,9.74,9.74,7.87,0.89,0,8.76,3.47,1.83,1.35,0,0.57,0.5,10.59,11.09,0.4546,0.0589,0.0082,0,,0,0.5217,0.0025,0,0,0.0025,0,0.0007,0,0.0007,0.5249,0,0.313,0.005,0,0.318,0,0.009,0.0093,0,0.0239,0.0011,0.0053,0.0486,0.0011,0,0.0103,0.027,0.0185,0.0558,0.0001,0.0017,0.0176,0.0193,0.0013,0.0244,0.0258,0.0502,0,0.033,0,0.033,0,0.5249,0.0025,0,0.5249,0,0,0
106,金华市,婺城区,富春江坝址以上,金华江下游,3,0.0,1059.4,71.88,15.38,87.26,12.91,198.15,434.25,645.31,1.88,154.64,25.61,182.13,0,20.625,16.96,16.96,13.99,1.27,0,15.26,2.86,4.57,3.34,0,1.41,1.01,21.27,22.28,1.5545,0.2496,0.0197,0,,0,1.8238,0.0053,0,0,0.0053,0.0046,0,0,0.0046,1.8337,0,0.5873,0.0076,0,0.5949,0,0.0289,0.0296,0,0.0761,0.0035,0.0166,0.1547,0.0034,0,0.0229,0.2261,0.0569,0.3059,0.0007,0.0157,0.1631,0.1788,0.0012,0.4112,0.0831,0.4943,0,0.1051,0,0.1051,0,1.8337,0.0053,0,1.8337,0,0,0
107,金华市,金东区,富春江坝址以上,金华江下游,3,0.0,658,31.74,19.96,51.7,14.36,134.06,151.85,300.27,0,70.36,34.59,104.95,0,0,8.28,8.28,6.69,0.83,0,7.52,2.06,0.06,2.22,0,0.94,0.67,23.96,24.63,0.5735,0.116,0.259,0,,0,0.9485,0.0047,0,0,0.0047,0,0,0,0,0.9532,0,0.2807,0.0072,0,0.2879,0,0.0004,0.0162,0,0.0571,0.0018,0.0111,0.0866,0.004,0,0,0.12,0.0337,0.1537,0,0.0044,0.0843,0.0887,0.0007,0.1626,0.0871,0.2497,0,0.0866,0,0.0866,0,0.9532,0.0047,0,0.9532,0,0,0
108,金华市,武义县,富春江坝址以上,金华江下游,3,0.0,929.4,27.5062,13.1454,40.6516,13.9764,141.373,105.6507,261.0001,0.6737,126.45,17.4656,144.5893,0,2.4,15.48,15.48,11.79,1.81,0,13.6,6.06,1.27,1.91,0,0.57,0.16,15.85,16.01,1.0803,0.0067,0.002,0,,0,1.089,0.0012,0,0,0.0012,0,0,0,0,1.0902,0,0.5352,0.0182,0,0.5534,0,0.0082,0.0144,0,0.0294,0.0005,0.0073,0.0598,0,0,0.0073,0.174,0.0017,0.183,0.0003,0.004,0.0566,0.0606,0.0009,0.1415,0.062,0.2035,0,0.0216,0.0083,0.0299,0,1.0902,0.0012,0,1.0902,0,0,0
109,金华市,武义县,瓯江温溪以上,大溪,3,0.0,638.6,2.2753,3.9731,6.2484,2.9762,16.2892,40.2599,59.5253,0,0.06,1.97,2.03,0,0,5.99,5.99,4.82,0.86,0,5.68,1.4,0.86,1.3,0,0.08,0.15,9.506,9.656,0.0848,0.1229,0.0954,0,,0,0.3031,0,0,0,0,0,0,0,0,0.3031,0,0.221,0.009,0,0.23,0,0.0062,0.0084,0,0.004,0.0004,0.0045,0.0235,0,0,0,0.0018,0.0001,0.0019,0,0.0005,0.01,0.0105,0,0.011,0.0176,0.0286,0,0.0035,0.0051,0.0086,0,0.3031,0,0,0.3031,0,0,0
110,金华市,浦江县,富春江坝址以下,富春江下游段,3,0.0,400.6,2.455,1.385,3.84,1.09,10.04,19.1,30.23,0,4.71,4.11,8.82,0,0,1.49,1.49,0.95,0.35,0,1.3,1.03,0.13,2.68,0,0.05,0.0939,4.3038,4.3977,0.0843,0.0175,0.0075,0,,0,0.1093,0,0,0,0,0,0,0,0,0.1093,0,0.0268,0.0033,0,0.0301,0,0.0003,0.0201,0,0.0075,0.0002,0.0011,0.0292,0,0,0,0.0113,0.0045,0.0158,0,0.0006,0.004,0.0046,0,0.0133,0.0068,0.0201,0,0.0041,0.0054,0.0095,0,0.1093,0,0,0.1093,0,0,0
111,金华市,浦江县,富春江坝址以下,浦阳江,3,0.0,517.4,26.714,15.746,42.46,10.67,113.01,120.85,244.53,1.1,48.38,47.3,96.78,0,5.49,11.42,11.42,8.5,1.85,0,10.35,6.14,0.1,3.89,0,0.1,0,6.4,6.4,0.7341,0.0659,0.0359,0,,0,0.8359,0,0,0,0,0,0,0,0,0.8359,0,0.2679,0.0199,0,0.2878,0,0.001,0.0168,0,0.0116,0,0.003,0.0324,0,0,0.0288,0.1266,0.0598,0.2152,0,0.0061,0.0441,0.0502,0,0.1473,0.0748,0.2221,0,0.022,0.0062,0.0282,0,0.8359,0,0,0.8359,0,0,0
112,金华市,磐安县,富春江坝址以上,金华江上游,3,0.0,418.5,6.4856,1.6535,8.1391,6.6174,20.0549,46.1282,72.8005,0,9.3823,5.8665,15.2488,0,0.6,7.1097,7.1097,3.0502,3.2843,0,6.3345,1.7534,0.012,0.3734,0,0.0449,0.0055,1.1149,1.1204,0.2331,0,0,0,,0,0.2331,0,0,0,0,0.0011,0,0,0.0011,0.2342,0,0.0899,0.0346,0,0.1245,0,0.0001,0.0022,0,0.0022,0,0.0007,0.0052,0,0,0.0011,0.0062,0.0082,0.0155,0,0.0031,0.0351,0.0382,0,0.0385,0.0095,0.048,0,0.0028,0,0.0028,0,0.2342,0,0,0.2342,0,0,0
113,金华市,磐安县,富春江坝址以下,曹娥江百官以上,3,0.0,207.4,1.8937,2.3468,4.2405,1.7016,21.2765,6.1111,29.0892,0,9.9538,6.2237,16.1775,0,0,1.8282,1.8282,0.7916,0.8447,0,1.6363,0.4535,0.0071,0.2207,0,0.0266,0.0055,0.6483,0.6538,0.0923,0,0,0,,0,0.0923,0,0,0,0,0,0,0,0,0.0923,0,0.0236,0.0088,0,0.0324,0,0,0.0013,0,0.0013,0,0.0004,0.003,0,0,0,0.0066,0.0099,0.0165,0,0.0009,0.0139,0.0148,0,0.0114,0.0126,0.024,0,0.0016,0,0.0016,0,0.0923,0,0,0.0923,0,0,0
114,金华市,磐安县,瓯江温溪以上,大溪,3,0.0,224,1.0296,2.0645,3.0941,1.0759,4.0232,4.9902,10.0893,0,1.8821,1.1768,3.0589,0,0,1.1559,1.1559,0.4875,0.5341,0,1.0216,0.2821,0.0058,0.1803,0,0.0217,0.0025,0.5397,0.5422,0.0495,0,0,0,,0,0.0495,0,0,0,0,0,0,0,0,0.0495,0,0.0143,0.0054,0,0.0197,0,0,0.001,0,0.0011,0,0.0003,0.0024,0,0,0,0.0012,0.0019,0.0031,0,0.0005,0.0053,0.0058,0,0.0062,0.011,0.0172,0,0.0013,0,0.0013,0,0.0495,0,0,0.0495,0,0,0
