序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
105,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,4.71,5.23,9.94,6.28,53,41.45,100.73,0.67,16.66,2.83,20.16,0,1.5,9.74,9.74,7.87,0.89,0,8.76,3.47,1.83,1.35,0,0.57,0.5,10.59,11.09
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,71.88,15.38,87.26,12.91,198.15,434.25,645.31,1.88,154.64,25.61,182.13,0,20.625,16.96,16.96,13.99,1.27,0,15.26,2.86,4.57,3.34,0,1.41,1.01,21.27,22.28
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,31.74,19.96,51.7,14.36,134.06,151.85,300.27,0,70.36,34.59,104.95,0,0,8.28,8.28,6.69,0.83,0,7.52,2.06,0.06,2.22,0,0.94,0.67,23.96,24.63
108,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,27.5062,13.1454,40.6516,13.9764,141.373,105.6507,261.0001,0.6737,126.45,17.4656,144.5893,0,2.4,15.48,15.48,11.79,1.81,0,13.6,6.06,1.27,1.91,0,0.57,0.16,15.85,16.01
109,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,2.2753,3.9731,6.2484,2.9762,16.2892,40.2599,59.5253,0,0.06,1.97,2.03,0,0,5.99,5.99,4.82,0.86,0,5.68,1.4,0.86,1.3,0,0.08,0.15,9.506,9.656
110,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,2.455,1.385,3.84,1.09,10.04,19.1,30.23,,4.71,4.11,8.82,,0,1.49,1.49,0.95,0.35,0,1.3,1.03,0.13,2.68,0,0.05,0.0939,4.3038,4.3977
111,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,26.714,15.746,42.46,10.67,113.01,120.85,244.53,1.1,48.38,47.3,96.78,0,5.49,11.42,11.42,8.5,1.85,0,10.35,6.14,0.1,3.89,0,0.1,0,6.4,6.4
112,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,6.4856,1.6535,8.1391,6.6174,20.0549,46.1282,72.8005,0,9.3823,5.8665,15.2488,0,0.6,7.1097,7.1097,3.0502,3.2843,0,6.3345,1.7534,0.012,0.3734,0,0.0449,0.0055,1.1149,1.1204
113,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,1.8937,2.3468,4.2405,1.7016,21.2765,6.1111,29.0892,,9.9538,6.2237,16.1775,,,1.8282,1.8282,0.7916,0.8447,0,1.6363,0.4535,0.0071,0.2207,0,0.0266,0.0055,0.6483,0.6538
114,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,1.0296,2.0645,3.0941,1.0759,4.0232,4.9902,10.0893,,1.8821,1.1768,3.0589,,,1.1559,1.1559,0.4875,0.5341,0,1.0216,0.2821,0.0058,0.1803,0,0.0217,0.0025,0.5397,0.5422
