序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
173,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,45.18,11.68,56.86,21.0533,167.7774,325.9509,514.7816,0.7,126.7407,0,127.4407,0,2.5,18.76,17.58,14.54,2.07,0,16.61,4.26,0,4.12,0,0.42,0.14,39.69,39.83
174,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.02,0.92,0.94,1.0902,2.58,0.01,3.6802,1.04,1.7593,0,2.7993,0,7,1.03,0.98,0.85,0.08,0,0.93,0.24,0,0.2,0,0.02,0.03,1.48,1.51
175,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,7.21,12,19.21,4.6609,45.038,70.2498,119.9487,0.39,35.2715,0,35.6615,0,1.2,11.19,10.55,4.57,1.3,0,5.87,2.8,0,0.54,0,0.01,0.18,10.88,11.06
176,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,15.25,11.06,26.31,5.621,58.5375,78.7398,142.8983,0,40.3174,0,40.3174,0,0,12.89,11.51,5.03,1.44,0,6.47,2.48,0,0.44,0,0.02,0.15,10.66,10.81
177,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,6.18,0,6.18,1.1002,10.8695,25.3699,37.3396,0,18.9511,0,18.9511,0,0,1.83,1.07,0.51,0.15,0,0.66,0.12,0,0.28,0,0,0.02,0.45,0.47
179,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,8.3986,5.3277,13.7263,3.294,47.504,24.69,75.488,0,39.723,0,39.723,0,0,7.9294,6.4866,3.26,1.094,0,4.354,1.21,0.07,0.278,0,0.12,0.0411,5.7041,5.7452
181,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,16.2414,7.342,23.5834,7.997,90.491,124.181,222.669,0.0417,76.7813,0,76.823,0,1.2,15.1924,14.3769,7.23,2.42,0,9.65,3.05,0.08,0.307,0,0.2,0.0411,7.8006,7.8417
182,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0,2.7424,2.7424,1.216,8.794,6.649,16.659,0,1.395,0,1.395,0,0,1.8623,1.315,0.83,0,0,0.83,0.51,0,0,0,0,0.0411,2.7563,2.7974
183,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0,0.7479,0.7479,0.546,1.036,3.336,4.918,0,0.078,0,0.078,0,0,0.6959,0.5615,0.28,0,0,0.28,0.15,0,0,0,0,0,0.9684,0.9684
184,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,1.6216,4.4942,6.1158,10.277,32.0096,37.4518,79.7384,0,5.94,0,5.94,0,0,12.83,10.32,8.92,0.31,0,9.23,4.42,0.0321,0.283,0,0.18,0.12,3.89,4.01
185,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0,0.0285,0.0285,0.15,0,0,0.15,0,0,0,0,0,0,0.22,0.03,0.02,0.01,0,0.03,0.01,0,0,0,0,0,0,0
186,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,9.4952,3.6605,13.1557,4.0288,42.3195,54.8326,101.1809,0,55.66,0,55.66,0,0,5.15,4.32,3.97,0.02,0,3.99,1.99,0.0684,0.5615,0,0.21,0.04,2.39,2.43
