序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.2419,0,0.0863,0,0,0,0.3282,0.0003,0,0,0.0003,0,0,0,0,0.3285,0.0306,0.3591,6.3367,0,0,0,0,0.0306,0.0306
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.839,0,0.2955,0,0,0,1.1345,0.0011,0,0,0.0011,0.036,0.007,0,0.043,1.1786,0.3889,1.5675,0,0,0,0,0,0.3889,0.3889
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,1.0402,0,0.249,0,0,0,1.2892,0.0022,0,0,0.0022,0.0495,0,0,0.0495,1.3409,0.2681,1.609,0,0,0,0,0,0.2681,0.2681
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0166,0,0,0,0,0,0.0166,0,0,0,0,0.0005,0,0,0.0005,0.0171,0,0.0171,0,0,0,0,0,0,0
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.6955,0,0.553,0,0,0,1.2485,0.0064,0,0,0.0064,0.0186,0.0015,0,0.0201,1.275,0.3536,1.6286,0,0,0,0,0,0.3536,0.3536
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.5014,0,0.3167,0,0,0,0.8181,0.0005,0,0,0.0005,0.0212,0.0128,0.0249,0.0589,0.8775,0.1129,0.9904,44.6322,0,0,0,0,0.1129,0.1129
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.006,0.0038,0.0026,0,0,0,0.0124,0.0001,0,0,0.0001,0,0,0,0,0.0125,0,0.0125,0,0,0,0,0,0,0
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0282,0.0092,0.0057,0,0,0,0.0431,0.0001,0,0,0.0001,0,0,0,0,0.0432,0,0.0432,0,0,0,0,0,0,0
