序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
152,台州市,椒江区,瓯江温溪以下,灵江及椒江左岸,4,100.9,10.87,5.4,16.27,4.11,59.2,88.54,151.85,13.03,19.55,18.98,51.56,0,136,8,3.893,2.9729,0.3475,0,3.3204,0.87,0.56,0.99,0,0.012,0.1004,1.889,1.9894,0.2419,0,0.0863,0,,0,0.3282,0.0003,0,0,0.0003,0,0,0,0,0.3285,0.0306,0.1143,0.0098,0,0.1241,0,0.0062,0.0106,0,0.0018,0.0003,0.0008,0.0197,0,0,0.0709,0.0133,0.0077,0.0919,0,0.0047,0.0067,0.0114,0,0.0521,0.023,0.0751,0.0003,0.0038,0.0025,0.0063,0,0.3285,0.0003,0.0306,0.3591
153,台州市,椒江区,瓯江温溪以下,温黄平原,4,174.1,58.12,13.71,71.83,13.51,226.64,398.34,638.49,1,193.38,7.52,201.9,0,2.7,13.42,7.2659,5.981,0.6991,0,6.6801,2.67,0.11,0.34,0,0.1154,0.0096,0.9445,0.9541,0.839,0,0.2955,0,,0,1.1345,0.0011,0,0,0.0011,0.036,0.007,0,0.043,1.1786,0.3889,0.2342,0.02,0,0.2542,0,0.0012,0.0037,0,0.0137,0.0001,0.0003,0.019,0,0,0.0141,0.2871,0.0755,0.3767,0,0.0381,0.1047,0.1428,0,0.2541,0.0536,0.3077,0.0011,0.0448,0.0334,0.0782,0,1.1786,0.0011,0.3889,1.5675
154,台州市,黄岩区,瓯江温溪以下,永安溪,4,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,台州市,黄岩区,瓯江温溪以下,温黄平原,4,933.5,46.07,23.99,70.06,23.23,283.83,330.04,637.1,4.23,140.91,113.97,259.11,0,35,24.06,12.8237,9.285,1.655,0,10.94,3.66,0.31,3.785,0,0.1995,0.1453,7.196,7.3413,1.0402,0,0.249,0,,0,1.2892,0.0022,0,0,0.0022,0.0495,0,0,0.0495,1.3409,0.2681,0.4459,0.0554,0,0.5013,0,0.0022,0.03,0,0.02,0.0006,0.0026,0.0554,0,0,0.0093,0.1321,0.0667,0.2081,0,0.0202,0.1275,0.1477,0,0.2319,0.0967,0.3286,0.0022,0.0631,0.0367,0.0998,0,1.3409,0.0022,0.2681,1.609
156,台州市,黄岩区,瓯江温溪以下,楠溪江,4,50.2,0,1.04,1.04,0.6,0,0,0.6,0,0,0,0,0,0,0.59,0.5306,0.3124,0.1376,0,0.45,0.4,0.02,0,0,0,0,0,0,0.0166,0,0,0,,0,0.0166,0,0,0,0,0.0005,0,0,0.0005,0.0171,0,0.0092,0.0033,0,0.0125,0,0.0003,0,0,0,0,0,0.0003,0,0,0.0021,0,0,0,0,0,0,0,0,0,0.0037,0.0037,0,0.0006,0,0.0006,0,0.0171,0,0,0.0171
157,台州市,路桥区,瓯江温溪以下,温黄平原,4,273,43.26,20.54,63.8,15.88,289.81,477.62,783.31,0.71,133.21,104.5,238.42,0,5.1,13.4258,13.27,12.5506,0.3346,0,12.8852,3.91,0.55,0.46,0,0.375,0.0319,3.0634,3.0953,0.6955,0,0.553,0,,0,1.2485,0.0064,0,0,0.0064,0.0186,0.0015,0,0.0201,1.275,0.3536,0.5125,0.0129,0,0.5254,0,0.008,0.006,0,0.0675,0.0001,0.0011,0.0827,0,0,0.0244,0.0692,0.0552,0.1488,0,0.0257,0.1053,0.131,0,0.231,0.0848,0.3158,0.0064,0.0434,0.0279,0.0713,0,1.275,0.0064,0.3536,1.6286
158,台州市,三门县,浙东沿海诸河,象山港及三门湾,4,1069.6,22.1,16.6,38.7,41.92,165.29,143.44,350.65,62.53,72.17,9.32,144.02,0,0.463,32.47,15.7995,9.0059,2.9341,0,11.94,5.09,0.03,0.21,0,0.031,0.28,21.7684,22.0484,0.5014,0,0.3167,0,,0,0.8181,0.0005,0,0,0.0005,0.0212,0.0128,0.0249,0.0589,0.8775,0.1129,0.3498,0.0857,0,0.4355,0,0.0005,0.0024,0,0.0031,0.0011,0.0079,0.015,0,0,0.0622,0.0528,0.0417,0.1567,0,0.008,0.0739,0.0819,0,0.0908,0.0669,0.1577,0.0005,0.0239,0.0068,0.0307,0,0.8775,0.0005,0.1129,0.9904
159,台州市,三门县,瓯江温溪以下,灵江及椒江左岸,4,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,台州市,天台县,富春江坝址以下,曹娥江百官以上,4,114.3,0,0.52,0.52,0.58,0.07,0.01,0.66,0,0,0.11,0.11,0,0,5,0.7453,0.3578,0.1124,0,0.4702,0.41,0.0195,0.0195,0,0,0.0329,0.8874,0.9203,0.006,0.0038,0.0026,0,,0,0.0124,0.0001,0,0,0.0001,0,0,0,0,0.0125,0,0.0077,0.0018,0,0.0095,0,0.0001,0.0001,0,0,0.0002,0.0003,0.0007,0,0,0.0021,0,0.0002,0.0002,0,0,0,0,0,0,0.0021,0.0021,0.0001,0,0,0,0,0.0125,0.0001,0,0.0125
161,台州市,天台县,浙东沿海诸河,象山港及三门湾,4,224.7,0.2,1.76,1.96,1.54,6.36,2.31,10.21,0,0.64,0.8,1.44,0,0,8,1.7306,0.8449,0.2655,0,1.1104,0.7,0.0195,0.0195,0,0,0.1317,1.3865,1.5182,0.0282,0.0092,0.0057,0,,0,0.0431,0.0001,0,0,0.0001,0,0,0,0,0.0432,0,0.0244,0.0058,0,0.0302,0,0.0001,0.0001,0,0,0.0005,0.0006,0.0013,0,0,0.0021,0.0012,0.0017,0.0029,0,0,0.0007,0.0007,0,0.0009,0.0072,0.0081,0.0001,0,0,0,0,0.0432,0.0001,0,0.0432
