序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
152,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,10.87,5.4,16.27,4.11,59.2,88.54,151.85,13.03,19.55,18.98,51.56,0,136,8,3.893,2.9729,0.3475,0,3.3204,0.87,0.56,0.99,0,0.012,0.1004,1.889,1.9894
153,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,58.12,13.71,71.83,13.51,226.64,398.34,638.49,1,193.38,7.52,201.9,0,2.7,13.42,7.2659,5.981,0.6991,0,6.6801,2.67,0.11,0.34,0,0.1154,0.0096,0.9445,0.9541
154,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,46.07,23.99,70.06,23.23,283.83,330.04,637.1,4.23,140.91,113.97,259.11,0,35,24.06,12.8237,9.285,1.655,0,10.94,3.66,0.31,3.785,0,0.1995,0.1453,7.196,7.3413
156,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0,1.04,1.04,0.6,0,0,0.6,0,0,0,0,0,0,0.59,0.5306,0.3124,0.1376,0,0.45,0.4,0.02,0,0,0,0,0,0
157,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,43.26,20.54,63.8,15.88,289.81,477.62,783.31,0.71,133.21,104.5,238.42,0,5.1,13.4258,13.27,12.5506,0.3346,0,12.8852,3.91,0.55,0.46,0,0.375,0.0319,3.0634,3.0953
158,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,22.1,16.6,38.7,41.92,165.29,143.44,350.65,62.53,72.17,9.32,144.02,0,0.463,32.47,15.7995,9.0059,2.9341,0,11.94,5.09,0.03,0.21,0,0.031,0.28,21.7684,22.0484
159,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0,0.52,0.52,0.58,0.07,0.01,0.66,0,0,0.11,0.11,0,0,5,0.7453,0.3578,0.1124,0,0.4702,0.41,0.0195,0.0195,0,0,0.0329,0.8874,0.9203
161,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.2,1.76,1.96,1.54,6.36,2.31,10.21,0,0.64,0.8,1.44,0,0,8,1.7306,0.8449,0.2655,0,1.1104,0.7,0.0195,0.0195,0,0,0.1317,1.3865,1.5182
