序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
69,嘉兴市,南湖区,杭嘉湖平原,杭嘉湖平原,1,439,77.25,10.51,87.76,14.99,455.96,531.19,1002.14,0.42,297,98.08,395.5,0,7,24.19,22.32,17.66,1.33,0,18.99,10.29,0,2.8,0,0.44,0,162.76,162.76,0,0,1.5272,0.308,,0,1.8352,0,0,0,0,0.1311,0,0,0.1311,1.9663,0,0.7824,0.0134,0,0.7958,0,0,0.0239,0,0.0218,0,0.0032,0.0489,0,0,0.0332,0.2405,0,0.2737,0,0.0342,0.2149,0.2491,0,0.3637,0.042,0.4057,0,0.1931,0,0.1931,0,1.9663,0,0,1.9663
70,嘉兴市,秀洲区,杭嘉湖平原,杭嘉湖平原,1,548,49.26,21.9,71.16,19.48,465.33,419.24,904.05,7.05,346.12,64.86,418.03,0,20.3,31.25,27.92,21.66,1.87,0,23.53,15.41,0,0.85,0,3.81,0.17,111.19,111.36,0,0,2.1252,0.3182,,0,2.4434,0,0,0,0,0.1297,0,0,0.1298,2.5732,0,1.1029,0.0188,0,1.1217,0,0,0.0049,0,0.0965,0.0004,0.0039,0.1057,0,0,0.1004,0.6093,0,0.7097,0,0.0181,0.1835,0.2016,0,0.2872,0.1189,0.4061,0,0.0284,0,0.0284,0,2.5732,0,0,2.5732
71,嘉兴市,嘉善县,杭嘉湖平原,杭嘉湖平原,1,507,49.98,16.46,66.44,23.72,516.31,368.19,908.22,3.43,413.41,62.61,479.45,0,11.1,29.76,28.97,28.47,0,0,28.47,14.53,0,0.68,0,3.26,0,52.29,52.29,0,0,2.491,0.0136,,0,2.5046,0,0,0,0,0,0,0,0,2.5046,0,1.285,0,0,1.285,0,0,0.0052,0,0.1311,0,0.0017,0.138,0,0,0.0399,0.3708,0,0.4107,0,0.0494,0.1875,0.2369,0,0.2885,0.0928,0.3813,0,0.0445,0.0082,0.0527,0,2.5046,0,0,2.5046
72,嘉兴市,海盐县,杭嘉湖平原,杭嘉湖平原,1,530.8,31.58,15.51,47.09,20.13,384.75,263.51,668.39,110.59,218.15,31.86,360.6,0,109.45,33.64,31.67,20.17,3.37,0,23.54,14.44,0.1,3.87,0,2.36,0,898.73,898.73,0,0,2.0042,0.1705,,0,2.1747,0,0,0,0,0,0,0,0,2.1747,0,1.106,0.0218,0,1.1278,0,0,0.0327,0,0.0662,0,0.0106,0.11,0,0,0.1375,0.447,0,0.5845,0,0.0219,0.0873,0.1092,0,0.1557,0.0587,0.2144,0,0.0288,0,0.0288,0,2.1747,0,0,2.1747
73,嘉兴市,海盐县,富春江坝址以下,钱塘江河口水域,1,54.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,嘉兴市,海宁市,杭嘉湖平原,杭嘉湖平原,1,730.4,79,31.68,110.68,20.78,754.81,542.72,1318.31,5.61,533.6,138.82,678.03,0,134,34.06,30.38,22.84,3.35,0,26.19,12.7,0,8.34,0,2.5,0,551.03,551.03,0,0,2.9799,0.2678,,0,3.2477,0,0,0,0,0.0172,0,0,0.0172,3.2649,0,1.1462,0.0303,0,1.1765,0,0,0.0635,0,0.1143,0,0.0098,0.1876,0,0,0.0897,0.9223,0,1.012,0,0.0324,0.2246,0.257,0,0.4124,0.1584,0.5708,0,0.061,0,0.061,0,3.2649,0,0,3.2649
75,嘉兴市,海宁市,富春江坝址以下,钱塘江河口水域,1,132.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,嘉兴市,平湖市,杭嘉湖平原,杭嘉湖平原,1,554,47.84,21.38,69.22,16.24,594.86,397.65,1008.75,25.45,502.54,28.03,556.02,0,542,36.51,34.69,25.73,1.87,0,27.6,19.26,0,0.25,0,1.35,0,79.86,79.86,0,0,2.9043,0.2968,,0,3.2011,0,0,0,0,0.0106,0,0,0.0106,3.2117,0,1.259,0.0169,0,1.2759,0,0,0.0015,0,0.0486,0,0.0028,0.0529,0,0,0.1519,1.1766,0,1.3285,0,0.0186,0.1155,0.1341,0,0.2817,0.0971,0.3788,0,0.0415,0,0.0415,0,3.2117,0,0,3.2117
77,嘉兴市,桐乡市,杭嘉湖平原,杭嘉湖平原,1,727,73.57,32.48,106.05,25.82,604.82,621.95,1252.59,8.26,461.92,55.33,525.51,0,59.75,38,36.07,26.64,4.75,0,31.39,13.64,0.57,6.5,0,2.13,0,276.44,276.44,0,0,2.9687,0.2037,,0,3.1724,0,0,0,0,0,0,0,0,3.1724,0,1.2679,0.0337,0,1.3016,0,0.005,0.0536,0,0.1156,0,0.0131,0.1873,0,0,0.0931,0.6205,0,0.7136,0,0.0438,0.2532,0.297,0,0.4215,0.1761,0.5976,0,0.0753,0,0.0753,0,3.1724,0,0,3.1724
,嘉兴,嘉兴西片供水区,嘉兴市区,,,987,126.50999999999999,32.41,158.92000000000002,34.47,921.29,950.4300000000001,1906.19,7.47,643.12,162.94,813.53,0,27.3,55.44,50.24,39.32,3.2,0,42.519999999999996,25.7,0,3.65,0,4.25,0.17,273.95,274.12,0,0,3.6524,0.6262,,0,4.2786,0,0,0,0,0.26080000000000003,0,0,0.2609,4.5395,0,1.8853,0.0322,0,1.9175,0,0,0.0288,0,0.1183,0.0004,0.0071,0.15460000000000002,0,0,0.1336,0.8497999999999999,0,0.9834,0,0.0523,0.3984,0.4507,0,0.6509,0.16090000000000002,0.8118000000000001,0,0.2215,0,0.2215,0,4.5395,0,0,4.5395
