序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
28,宁波市,海曙区,浙东沿海诸河,姚江,2,47,0,0.28,0.28,0.128,0,0,0.128,0,0,0,0,0,0,0.87,0.3,0.1667,0.0156,0,0.1823,0.096,0.015,0,0,0,0,0,0,0.0013,0.0079,0,0,,0,0.0092,0,0,0,0,0,0,0,0,0.0092,0,0.0077,0.0002,0,0.0079,0,0.0001,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0092,0,0,0.0092
29,宁波市,海曙区,浙东沿海诸河,奉化江及甬江干流,2,547.7,94.7,11.52,106.22,17.402,422.07,1207.3,1646.772,0,338.94,0,338.94,0,10.1,19.15,14.77,12.1099,1.3616,0,13.4715,7.113,0.939,0.9165,0,0.278,0.0692,3.4986,3.5678,0.666,0.2112,0.2484,0.6327,,0,1.7583,0.0048,0,0,0.0048,0,0,0,0,1.7631,0.51,0.5571,0.0165,0,0.5736,0,0.0068,0.0046,0,0.0185,0.0002,0.0013,0.0314,0,0,0,0.1979,0.0676,0.2656,0.0048,0.0336,0.229,0.2626,0,0.5052,0.0582,0.5634,0,0.0644,0.0021,0.0665,0,1.7631,0.0048,0.51,2.2731
30,宁波市,江北区,浙东沿海诸河,奉化江及甬江干流,2,207.6,43.9,7.4,51.3,8.97,298.41,602.79,910.17,0,211.8,39.11,250.91,0,0,5.99,5.99,5.82,0.17,0,5.99,2.19,0.636,0.996,0,0.033,0.4427,2.1149,2.5576,0.209,0.0387,0.1259,0.4427,,0,0.8163,0,0,0,0,0,0,0,0,0.8163,0.34,0.1734,0.0011,0,0.1745,0,0.0043,0.006,0,0.0023,0.0016,0.0011,0.0153,0,0,0,0.0917,0.0147,0.1064,0,0.0382,0.1551,0.1933,0,0.243,0.0365,0.2795,0,0.0303,0.017,0.0473,0,0.8163,0,0.34,1.1563
31,宁波市,北仑区,浙东沿海诸河,奉化江及甬江干流,2,399.9,55.1,10.6,65.7,5.47,936.94,967.52,1909.93,36.15,770.8,27.81,834.76,0,590,6.026,5.938,4.134,1.507,0,5.641,0.361,0.206,0.52,0,0.0126,0.0342,2.6123,2.6465,1.2868,0.0528,1.0408,0,,0,2.3804,0,0,0,0,0.099,0,0,0.099,2.4794,0.3968,0.1434,0.0117,0,0.1551,0,0.0013,0.0034,0,0.0008,0.0001,0.001,0.0066,0,0,0.3837,1.0711,0.0517,1.5065,0,0.0202,0.3072,0.3274,0,0.3544,0.0675,0.4219,0,0.0482,0.0137,0.0619,0,2.4794,0,0.3968,2.8762
32,宁波市,北仑区,浙东沿海诸河,象山港及三门湾,2,199.1,15.3,8.4,23.7,3.64,295.64,519.96,819.24,12.39,304.28,13.08,329.75,0,75,4.244,4.182,2.713,1.116,0,3.829,0.512,0.289,0.785,0,0.0084,0.0277,1.7415,1.7692,0.5583,0.0017,0.3226,0,,0,0.8826,0,0,0,0,0.004,0,0,0.004,0.8866,0.0541,0.0944,0.0082,0,0.1026,0,0.0019,0.0051,0,0.0005,0.0001,0.0007,0.0083,0,0,0.0377,0.403,0.0421,0.4828,0,0.0133,0.0878,0.1011,0,0.0967,0.0527,0.1494,0,0.0201,0.0223,0.0424,0,0.8866,0,0.0541,0.9407
33,宁波市,镇海区,浙东沿海诸河,奉化江及甬江干流,2,245.7,48.2,4,52.2,7.49,973.19,439.36,1420.04,20.62,890.87,0,911.49,0,268.2,5.55,5.55,2.62,2.62,0,5.24,2.16,0.066,0.5835,0,0.044,0.0961,3.905,4.0011,0.9867,0,0.5337,0.3827,,0,1.9031,0.0001,0,0,0.0001,0.4455,0,0,0.4455,2.3487,0.3,0.1134,0.0416,0,0.155,0,0.0004,0.0035,0,0.0025,0.0003,0.0016,0.0083,0,0,0.1045,1.4264,0.0884,1.6193,0.0001,0.0212,0.2044,0.2256,0,0.2587,0.0203,0.279,0,0.0355,0.026,0.0615,0,2.3487,0.0001,0.3,2.6487
34,宁波市,鄞州区,浙东沿海诸河,奉化江及甬江干流,2,560.3,119.8,19.1,138.9,20.81,688.39,1802.9,2512.1,1.81,571.81,0,573.62,0,3,14.62,14.62,14.0326,0.14,0,14.1726,6.904,0.45,0.99,0,0.207,0.0471,1.01,1.0571,1.7031,0.1126,0.6305,0,,0,2.4462,0.0004,0,0,0.0004,0,0.0003,0,0.0003,2.4469,1.7566,0.5613,0.0015,0,0.5628,0,0.0036,0.0054,0,0.0145,0.0002,0.0006,0.0243,0,0,0.018,0.2097,0.144,0.3717,0.0002,0.0582,0.4664,0.5246,0.0002,0.7424,0.1036,0.846,0,0.1112,0.0063,0.1175,0,2.4469,0.0004,1.7566,4.2035
35,宁波市,鄞州区,浙东沿海诸河,象山港及三门湾,2,253.7,22.2,7.9,30.1,10.41,101.78,179.06,291.25,0,73.41,0,73.41,0,0,4.42,4.42,4.081,0.09,0,4.171,2.18,0.225,0.847,0,0.159,0.0307,0.6374,0.6681,0.2821,0.0046,0.1564,0,,0,0.4431,0,0,0,0,0,0,0,0,0.4431,0.0434,0.1261,0.0007,0,0.1268,0,0.0018,0.0047,0,0.0092,0.0001,0.0004,0.0162,0,0,0,0.0358,0.0284,0.0642,0,0.005,0.0259,0.0309,0,0.1412,0.0481,0.1893,0,0.0136,0.0021,0.0157,0,0.4431,0,0.0434,0.4865
36,宁波市,奉化区,浙东沿海诸河,奉化江及甬江干流,2,999.6,31.2,16.6,47.8,20.25,433.14,276.83,730.22,0,417,0,417,0,0,14.74,14.74,12.7,1.0829,0,13.7829,4.35,6.615,4.388,0,0.108,0.075,10.565,10.64,0.8174,0.15,0.41,0,,0,1.3774,0.0002,0,0,0.0002,0,0,0,0,1.3776,0.314,0.569,0.019,0,0.588,0,0.0463,0.0176,0,0.0072,0.0003,0.0056,0.077,0,0,0,0.1436,0.0871,0.2307,0.0002,0.025,0.1328,0.1578,0,0.2073,0.0973,0.3046,0,0.0095,0.01,0.0195,0,1.3776,0.0002,0.314,1.6916
37,宁波市,奉化区,浙东沿海诸河,象山港及三门湾,2,268.4,5.6,5.5,11.1,16.58,144.39,69.21,230.18,0,104.27,0,104.27,0,0,3.85,3.85,3.27,0.46,0,3.73,2.335,2.835,2.362,0,0,0.0329,7.0436,7.0765,0.1076,0.03,0.178,0,,0,0.3156,0.0001,0,0,0.0001,0,0,0,0,0.3157,0.016,0.1416,0.006,0,0.1476,0,0.0198,0.0094,0,0,0.0001,0.0038,0.0331,0,0,0,0.0184,0.0185,0.0369,0.0001,0.006,0.0177,0.0237,0,0.035,0.0332,0.0682,0,0.0042,0.002,0.0062,0,0.3157,0.0001,0.016,0.3317
