序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
28,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0,0.28,0.28,0.128,0,0,0.128,0,0,0,0,0,0,0.87,0.3,0.1667,0.0156,,0.1823,0.096,0.015,0,0,0,0,0,0
29,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,94.7,11.52,106.22,17.402,422.07,1207.3,1646.772,0,338.94,0,338.94,0,10.1,19.15,14.77,12.1099,1.3616,,13.4715,7.113,0.939,0.9165,0,0.278,0.0692,3.4986,3.5678
30,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,43.9,7.4,51.3,8.97,298.41,602.79,910.17,0,211.8,39.11,250.91,0,0,5.99,5.99,5.82,0.17,,5.99,2.19,0.636,0.996,0,0.033,0.4427,2.1149,2.5576
31,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,55.1,10.6,65.7,5.47,936.94,967.52,1909.93,36.15,770.8,27.81,834.76,0,590,6.026,5.938,4.134,1.507,,5.641,0.361,0.206,0.52,0,0.0126,0.0342,2.6123,2.6465
32,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,15.3,8.4,23.7,3.64,295.64,519.96,819.24,12.39,304.28,13.08,329.75,0,75,4.244,4.182,2.713,1.116,,3.829,0.512,0.289,0.785,0,0.0084,0.0277,1.7415,1.7692
33,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,48.2,4,52.2,7.49,973.19,439.36,1420.04,20.62,890.87,0,911.49,0,268.2,5.55,5.55,2.62,2.62,,5.24,2.16,0.066,0.5835,0,0.044,0.0961,3.905,4.0011
34,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,119.8,19.1,138.9,20.81,688.39,1802.9,2512.1,1.81,571.81,0,573.62,0,3,14.62,14.62,14.0326,0.14,,14.1726,6.904,0.45,0.99,0,0.207,0.0471,1.01,1.0571
35,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,22.2,7.9,30.1,10.41,101.78,179.06,291.25,0,73.41,0,73.41,0,0,4.42,4.42,4.081,0.09,,4.171,2.18,0.225,0.847,0,0.159,0.0307,0.6374,0.6681
36,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,31.2,16.6,47.8,20.25,433.14,276.83,730.22,0,417,0,417,0,0,14.74,14.74,12.7,1.0829,,13.7829,4.35,6.615,4.388,0,0.108,0.075,10.565,10.64
37,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,5.6,5.5,11.1,16.58,144.39,69.21,230.18,0,104.27,0,104.27,0,0,3.85,3.85,3.27,0.46,,3.73,2.335,2.835,2.362,0,0,0.0329,7.0436,7.0765
