序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
45,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,1.297,0.3073,0.2373,,,,1.8416,0,0,,0,0.0065,,,0.0065,1.8481,1.1423,2.9904,0,0.3904,,0.7519,,,1.1423
46,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,1.0714,0.2001,0.1671,,,,1.4386,0,0,,0,0.008,,,0.008,1.4466,0.6092,2.0558,0.0242,0.3167,,0.2925,,,0.6092
47,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,1.3631,0.1067,0.2164,,,,1.6862,0,0,,0,0.0063,,,0.0063,1.6925,1.3978,3.0903,0,0.3774,,1.0204,,,1.3978
48,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
49,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0329,0.1233,0.0317,,,,0.1879,0,0,,0,0.0016,,,0.0016,0.1895,0,0.1895,0,,,,,,0
50,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
51,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,,,,,,,0,0,0,,0,,,,0,0,0,0,0,,,,,,0
52,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5846,0.4822,0.11,,,,1.1768,0.0098,0,,0.0098,0.0095,,,0.0095,1.1961,0,1.1961,0,,,,,,0
53,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1282,0.128,0.119,,,,0.3752,0.0011,0,,0.0011,,,,0,0.3763,0,0.3763,0,,,,,,0
54,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.1505,0.2186,0.0913,,,,0.4604,0.0015,0,,0.0015,,,,0,0.4619,0,0.4619,0,,,,,,0
55,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.5589,0.4208,0.365,,,,1.3447,0.001,0,,0.001,0.0304,,,0.0304,1.3761,0,1.3761,0,,,,,,0
