序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
45,温州市,鹿城区,瓯江温溪以下,瓯江下游干流,5,289.9,110.2489,10.6911,120.94,2.2375,344.9359,1053.9056,1401.079,2,61.6,183.0082,246.6082,0,3.6,4.0359,3.64,2.8425,0.5802,0,3.4227,1.5229,0,0.351,0,0.15,0.1271,15.917,16.0441,1.297,0.3073,0.2373,0,,0,1.8416,0,0,0,0,0.0065,0,0,0.0065,1.8481,1.1423,0.1556,0.0184,0,0.174,0,0.0005,0.0021,0,0.009,0.0003,0.0059,0.0173,0,0,0.0017,0,0.2031,0.2048,0,0.1284,0.275,0.4034,0,0.6493,0.052,0.7013,0,0.3473,0,0.3473,0,1.8481,0,1.1423,2.9904
46,温州市,龙湾区,瓯江温溪以下,瓯江下游干流,5,332.8,74.7651,0.0449,74.81,3.0979,525.8384,393.495,922.4313,12,278.8,181.5998,472.3998,0,36.2,4.7599,4.13,2.9929,0.2771,0,3.27,1.1249,0,0.1395,0,0.025,0.0034,5.3634,5.3668,1.0714,0.2001,0.1671,0,,0,1.4386,0,0,0,0,0.008,0,0,0.008,1.4466,0.6092,0.1327,0.0091,0,0.1418,0,0.0005,0.0006,0,0.0011,0,0.002,0.0037,0,0,0.009,0,0.3469,0.3559,0,0.0627,0.2365,0.2992,0,0.4306,0.0002,0.4308,0,0.2152,0,0.2152,0,1.4466,0,0.6092,2.0558
47,温州市,瓯海区,瓯江温溪以下,瓯江下游干流,5,461.4,85.0459,15.1141,100.16,7.2684,340.132,526.0888,873.4892,0,156.5,82.4966,238.9966,0,0,8.5583,7.86,6.0804,1.3096,0,7.39,1.63,0.06,1.5075,0,0.441,0.2085,4.2758,4.4843,1.3631,0.1067,0.2164,0,,0,1.6862,0,0,0,0,0.0063,0,0,0.0063,1.6925,1.3978,0.2402,0.0416,0,0.2818,0,0.0005,0.008,0,0.0225,0.0006,0.0015,0.0331,0,0,0,0,0.2684,0.2684,0,0.0842,0.227,0.3112,0,0.4625,0.0685,0.531,0,0.267,0,0.267,0,1.6925,0,1.3978,3.0903
48,温州市,瓯海区,瓯江温溪以下,飞云江,5,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,温州市,洞头区,瓯江温溪以下,瓯江下游干流,5,231,9.2613,6.5187,15.78,8.6481,51.3525,90.0387,150.0393,0,15.6,14.369,29.969,0,0,1.9507,1.5,0.3932,0.503,0,0.8962,0.3895,0,0.063,0,0,0.0125,0.623,0.6355,0.0329,0.1233,0.0317,0,,0,0.1879,0,0,0,0,0.0016,0,0,0.0016,0.1895,0,0.021,0.0185,0,0.0395,0,0,0.0003,0,0,0,0.0002,0.0005,0,0,0,0,0.0242,0.0242,0,0.025,0.0261,0.0511,0,0.0354,0.0197,0.0551,0,0.0191,0,0.0191,0,0.1895,0,0,0.1895
50,温州市,永嘉县,瓯江温溪以下,永安溪,5,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,温州市,永嘉县,瓯江温溪以下,温黄平原,5,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,温州市,永嘉县,瓯江温溪以下,楠溪江,5,2272.3,31.0114,25.4005,56.4119,13.494,190.9001,230.8388,435.2329,4,82.67,79.7661,166.4361,0,1,30,28.22,13.0561,4.6564,0,17.7125,7.5,0,6.231,0,0.803,0.9924,13.844,14.8364,0.5846,0.4822,0.11,0,,0,1.1768,0.0098,0,0,0.0098,0.0095,0,0,0.0095,1.1961,0,0.5194,0.0947,0,0.6141,0.008,0,0.0286,0,0.0249,0.0028,0.005,0.0613,0,0,0.0037,0,0.21,0.2137,0,0.027,0.044,0.071,0,0.1301,0.097,0.2271,0.0018,0.0089,0,0.0089,0,1.1961,0.0098,0,1.1961
53,温州市,永嘉县,瓯江温溪以下,瓯江下游干流,5,395,21.4413,10.2448,31.6861,5.1792,66.06,57.9824,129.2216,0,11.33,4.2468,15.5768,0,0,6.8413,6.4199,3.5787,0.4508,0,4.0295,1.42,0,0,0,0,0.6074,13.0296,13.637,0.1282,0.128,0.119,0,,0,0.3752,0.0011,0,0,0.0011,0,0,0,0,0.3763,0,0.1393,0.0089,0,0.1482,0.0001,0,0,0,0,0.0016,0.0049,0.0065,0,0,0,0,0.021,0.021,0,0.0024,0.0503,0.0527,0,0.096,0.041,0.137,0.001,0.0109,0,0.0109,0,0.3763,0.0011,0,0.3763
54,温州市,平阳县,瓯江温溪以下,飞云江,5,209.7,16.538,9.2627,25.8007,7.0288,105.202,71.7526,183.9834,0,38.2199,31.7017,69.9216,0,0,8.2167,7.5797,3.7026,1.6101,0,5.3127,3,0.04,0.141,0,0,0.1402,16.5641,16.7043,0.1505,0.2186,0.0913,0,,0,0.4604,0.0015,0,0,0.0015,0,0,0,0,0.4619,0,0.1407,0.0278,0,0.1685,0,0.0002,0.0006,0,0,0.0004,0.0052,0.0064,0,0,0,0,0.0861,0.0861,0,0.0165,0.0563,0.0728,0,0.0742,0.035,0.1092,0.0015,0.0189,0,0.0189,0,0.4619,0.0015,0,0.4619
