序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
78,湖州市,吴兴区,湖西及湖区,西苕溪及长兴平原,1,173.2,16.9595,5.3533,22.3128,3.23,119.98,164.51,287.72,1.81,69.18,55.53,126.52,0,2.7,1.93,1.93,1.57,0.36,0,1.93,0.87,0.78,0,0,0.57,0.0023,8.623,8.6253,0.134,0.0131,0.2035,0,,0,0.3506,0,0,0,0,0,0,0,0,0.3506,0,0.0765,0.0063,0,0.0828,0,0.0036,0,0,0.0489,0,0.0026,0.0551,0,0,0.0205,0.0236,0.0086,0.0527,0,0.0075,0.0408,0.0483,0,0.08,0.023,0.103,0,0.0063,0.0024,0.0087,0,0.3506,0,0,0.3506
79,湖州市,吴兴区,湖西及湖区,东苕溪,1,360,11.3029,2.5591,13.862,7.04,57.53,78.85,143.42,0.12,19.01,15.29,34.42,0,0,4.2,4.2,3.5,0.7,0,4.2,1.91,0.36,0,0,1.17,0.0011,4.3515,4.3526,0.0642,0.0287,0.4016,0,,0,0.4945,0,0,0,0,0,0,0,0,0.4945,0,0.166,0.0133,0,0.1793,0,0.0017,0,0,0.0978,0,0.0022,0.1017,0,0,0.0034,0.0512,0.0184,0.073,0,0.0149,0.0454,0.0603,0,0.0525,0.0109,0.0634,0,0.0124,0.0044,0.0168,0,0.4945,0,0,0.4945
80,湖州市,吴兴区,湖西及湖区,太湖区,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,湖州市,吴兴区,杭嘉湖平原,杭嘉湖平原,1,327.8,55.1076,13.7176,68.8252,17.51,377.14,414.42,809.07,1.35,160.53,143.27,305.15,0,6.4,11.17,11.17,8.35,2.82,0,11.17,5.28,0.28,0.64,0,3.51,0,6.4035,6.4035,0.5967,0,1.0854,0,,0,1.6821,0,0,0,0,0.0304,0,0,0.0304,1.7125,0.0318,0.4209,0.0568,0,0.4777,0,0.0013,0.0058,0,0.3132,0,0.0027,0.323,0,0,0.0144,0.1883,0.0718,0.2745,0,0.0486,0.1717,0.2203,0,0.265,0.0592,0.3242,0,0.0704,0.0224,0.0928,0,1.7125,0,0.0318,1.7443
82,湖州市,南浔区,杭嘉湖平原,杭嘉湖平原,1,702,31.68,23.32,55,30.8648,330.8481,223.3138,585.0267,5.24,192.76,108.25,306.25,0,35.05,23.48,23.48,21.36,2.12,0,23.48,12.54,0.28,0.55,0,6.18,0,46.496,46.496,0,0,2.4529,0,,0,2.4529,0,0,0,0,0.0292,0,0,0.0292,2.4821,0,0.8577,0.0396,0,0.8973,0,0.0014,0.0103,0,0.6113,0,0.0264,0.6494,0,0,0.0529,0.2101,0.12,0.383,0,0.0279,0.129,0.1569,0,0.1562,0.104,0.2602,0,0.1153,0.02,0.1353,0,2.4821,0,0,2.4821
83,湖州市,德清县,湖西及湖区,东苕溪,1,536.5,12.2633,6.9207,19.184,8.88,130.58,115.03,254.49,2.72,105.95,15.42,124.09,0,17.73,8.82,8.49,8.13,0.36,0,8.49,1.59,0.4,1.62,0,2.07,0,7.583,7.583,0.5541,0.0421,0.1882,0,,0,0.7844,0,0,0,0,0.0067,0,0,0.0067,0.7911,0,0.2966,0.0033,0,0.2999,0,0.0015,0.014,0,0.1457,0,0.0023,0.1635,0,0,0.0394,0.0654,0.0293,0.1341,0,0.0071,0.0713,0.0784,0,0.0638,0.0316,0.0954,0,0.019,0.0008,0.0198,0,0.7911,0,0,0.7911
84,湖州市,德清县,杭嘉湖平原,杭嘉湖平原,1,401.5,23.1062,13.4098,36.516,18.48,255.93,151.76,426.17,4.1,175.13,49.04,228.27,0,12.3425,17.39,16.75,15.57,1.18,0,16.75,4.52,0.15,0.61,0,4.25,0.1723,17.0234,17.1957,0.2634,0,1.4712,0,,0,1.7346,0,0,0,0,0.014,0,0,0.014,1.7486,0,0.7824,0.0148,0,0.7972,0,0.0006,0.0053,0,0.3068,0.0005,0.0058,0.319,0,0,0.041,0.1672,0.0922,0.3004,0,0.0106,0.1062,0.1168,0,0.1222,0.0607,0.1829,0,0.0311,0.0012,0.0323,0,1.7486,0,0,1.7486
85,湖州市,长兴县,湖西及湖区,西苕溪及长兴平原,1,1428,44.3982,23.8018,68.2,40.7274,436.752,416.5036,893.983,24.5441,275.4106,98.1255,398.0802,0,362.83,35.84,35.84,29.985,5.0711,0,35.0561,18.72,1.88,4.29,0,3.87,0.0827,35.6225,35.7052,0.7564,0.1411,2.0355,0,,0,2.933,0.0008,0,0,0.0008,0.231,0,0,0.231,3.1648,0,1.2422,0.0503,0,1.2925,0,0.0094,0.0515,0,0.3204,0.0002,0.0126,0.3941,0,0,0.417,0.2275,0.1503,0.7948,0.0008,0.019,0.2275,0.2465,0,0.2485,0.1202,0.3687,0,0.038,0.0302,0.0682,0,3.1648,0.0008,0,3.1648
86,湖州市,长兴县,湖西及湖区,太湖区,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,湖州市,安吉县,湖西及湖区,西苕溪及长兴平原,1,1815.4,35.1115,22.5634,57.6749,31.3459,263.2293,304.5457,599.1209,1.1794,223.4582,15.8604,240.498,0,17,23.1315,23.1315,18.3553,4.7762,0,23.1315,7.8,0.5014,1.1186,0,2.51,0.0337,11.4674,11.5011,1.1264,0.2647,0.5238,0,,0,1.9149,0,0,0,0,0.0305,0,0,0.0305,1.9454,0,0.8433,0.0464,0,0.8897,0,0.0023,0.0079,0,0.1878,0.0001,0.004,0.2021,0,0,0.0085,0.2753,0.0308,0.3146,0,0.0139,0.185,0.1989,0,0.1805,0.1081,0.2886,0,0.0379,0.0136,0.0515,0,1.9454,0,0,1.9454
88,湖州市,安吉县,湖西及湖区,东苕溪,1,70.6,2.0285,0.2966,2.3251,0.8982,7.0218,8.0764,15.9964,0,0.6757,0.3563,1.032,0,0,0.9985,0.9985,0.6184,0.38,0,0.9984,0.43,0.0186,0.0414,0,0.55,0,0.4767,0.4767,0,0,0.0878,0,,0,0.0878,0,0,0,0,0,0,0,0,0.0878,0,0.0343,0.0019,0,0.0362,0,0.0001,0.0002,0,0.0411,0,0.0002,0.0416,0,0,0.0034,0.0005,0.0008,0.0013,0,0.0002,0.0008,0.001,0,0.0047,0.0005,0.0052,0,0.0018,0.0007,0.0025,0,0.0878,0,0,0.0878
,湖州,湖州东部供水区,湖州市区,,,1565,115.05000000000001,44.95,160,58.644800000000004,885.4981,881.0938,1825.2367,8.52,441.48,322.34000000000003,772.3399999999999,0,44.15,40.78,40.78,34.78,6,0,40.78,20.6,1.7000000000000002,1.19,0,11.43,0.0034000000000000002,65.874,65.8774,0.7948999999999999,0.041800000000000004,4.1434,0,,0,4.9801,0,0,0,0,0.0596,0,0,0.0596,5.0397,0.0318,1.5211000000000001,0.11599999999999999,0,1.6371,0,0.008,0.0161,0,1.0712,0,0.0339,1.1292,0,0,0.0946,0.4732,0.2188,0.7832,0,0.09889999999999999,0.3869,0.4858,0,0.5537000000000001,0.1971,0.7507999999999999,0,0.20440000000000003,0.0492,0.2536,0,5.0397,0,0.0318,5.0715
,湖州,,德清县,,,938,35.3695,20.3305,55.7,27.36,386.51,266.78999999999996,680.6600000000001,6.82,281.08,64.46,352.36,0,30.072499999999998,26.21,25.240000000000002,23.700000000000003,1.54,0,25.240000000000002,6.109999999999999,0.55,2.23,0,6.32,0.1723,24.6064,24.7787,0.8175000000000001,0.0421,1.6594,0,,0,2.519,0,0,0,0,0.0207,0,0,0.0207,2.5397,0,1.079,0.0181,0,1.0971,0,0.0021,0.0193,0,0.4525,0.0005,0.0081,0.48250000000000004,0,0,0.0804,0.23259999999999997,0.1215,0.4345,0,0.0177,0.1775,0.19519999999999998,0,0.186,0.0923,0.2783,0,0.0501,0.002,0.05210000000000001,0,2.5397,0,0,2.5397
,湖州,湖州西部供水区,安吉县,,,1886,37.14,22.860000000000003,60,32.2441,270.2511,312.6221,615.1173,1.1794,224.1339,16.2167,241.53,0,17,24.13,24.13,18.9737,5.1562,0,24.1299,8.23,0.5199999999999999,1.1600000000000001,0,3.0599999999999996,0.0337,11.944099999999999,11.977799999999998,1.1264,0.2647,0.6116,0,,0,2.0027,0,0,0,0,0.0305,0,0,0.0305,2.0332,0,0.8776,0.048299999999999996,0,0.9259000000000001,0,0.0024,0.008100000000000001,0,0.2289,0.0001,0.0042,0.2437,0,0,0.0119,0.2758,0.0316,0.3159,0,0.0141,0.1858,0.1999,0,0.1852,0.1086,0.2938,0,0.039700000000000006,0.014299999999999998,0.054,0,2.0332,0,0,2.0332
,湖州,,长兴县,,,1431,44.3982,23.8018,68.2,40.7274,436.752,416.5036,893.983,24.5441,275.4106,98.1255,398.0802,0,362.83,35.84,35.84,29.985,5.0711,0,35.0561,18.72,1.88,4.29,0,3.87,0.0827,35.6225,35.7052,0.7564,0.1411,2.0355,0,,0,2.933,0.0008,0,0,0.0008,0.231,0,0,0.231,3.1648,0,1.2422,0.0503,0,1.2925,0,0.0094,0.0515,0,0.3204,0.0002,0.0126,0.3941,0,0,0.4204,0.2275,0.1503,0.7948,0.0008,0.019,0.2275,0.2465,0,0.2485,0.1202,0.3687,0,0.038,0.0302,0.0682,0,3.1648,0.0008,0,3.1648
