序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
78,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,16.9595,5.3533,22.3128,3.23,119.98,164.51,287.72,1.81,69.18,55.53,126.52,0,2.7,1.93,1.93,1.57,0.36,0,1.93,0.87,0.78,0,0,0.57,0.0023,8.623,8.6253
79,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,11.3029,2.5591,13.862,7.04,57.53,78.85,143.42,0.12,19.01,15.29,34.42,0,0,4.2,4.2,3.5,0.7,0,4.2,1.91,0.36,0,0,1.17,0.0011,4.3515,4.3526
80,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,55.1076,13.7176,68.8252,17.51,377.14,414.42,809.07,1.35,160.53,143.27,305.15,0,6.4,11.17,11.17,8.35,2.82,0,11.17,5.28,0.28,0.64,0,3.51,0,6.4035,6.4035
82,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,31.68,23.32,55,30.8648,330.8481,223.3138,585.0267,5.24,192.76,108.25,306.25,0,35.05,23.48,23.48,21.36,2.12,0,23.48,12.54,0.28,0.55,0,6.18,0,46.496,46.496
83,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,12.2633,6.9207,19.184,8.88,130.58,115.03,254.49,2.72,105.95,15.42,124.09,0,17.73,8.82,8.49,8.13,0.36,0,8.49,1.59,0.4,1.62,0,2.07,0,7.583,7.583
84,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,23.1062,13.4098,36.516,18.48,255.93,151.76,426.17,4.1,175.13,49.04,228.27,0,12.3425,17.39,16.75,15.57,1.18,0,16.75,4.52,0.15,0.61,0,4.25,0.1723,17.0234,17.1957
85,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,44.3982,23.8018,68.2,40.7274,436.752,416.5036,893.983,24.5441,275.4106,98.1255,398.0802,0,362.83,35.84,35.84,29.985,5.0711,0,35.0561,18.72,1.88,4.29,0,3.87,0.0827,35.6225,35.7052
86,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,35.1115,22.5634,57.6749,31.3459,263.2293,304.5457,599.1209,1.1794,223.4582,15.8604,240.498,0,17,23.1315,23.1315,18.3553,4.7762,0,23.1315,7.8,0.5014,1.1186,0,2.51,0.0337,11.4674,11.5011
88,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,2.0285,0.2966,2.3251,0.8982,7.0218,8.0764,15.9964,0,0.6757,0.3563,1.032,0,0,0.9985,0.9985,0.6184,0.38,0,0.9984,0.43,0.0186,0.0414,0,0.55,0,0.4767,0.4767
