序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
89,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,92.73,14.47,107.2,13.051,510.7624,711.6669,1235.4803,5.6926,394.1792,2.0705,401.9423,0,7.2,32.27,14.2,11.1,1.04,1.21,13.35,4.36,3.5,7.7,,0.7,0,7.9389,7.9389
90,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,2.61,3.29,5.9,4.1509,57.3229,33.1951,94.6689,,21.6334,0.3245,21.9579,,,14.68,14.68,14.68,0,0,14.68,5.01,0,,,1.2,0.7,6.5,7.2
91,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.54,0.24,0.78,0.3868,1.7435,3.3169,5.4472,,1.3525,1.4747,2.8272,,,0.33,0.25,0.16,0,0.09,0.25,0.14,0,,,,0,0.4,0.4
92,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,81.16,14.58,95.74,32.3952,994.8449,954.15,1981.3901,31.6707,595.9878,237.6009,865.2594,0,106.5,18.78,10.16,9.3,0,0.86,10.16,5.63,0,2.4,,1.08,0.0081,14.8611,14.8692
93,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,12.46,3.52,15.98,8.9825,21.3931,13.0767,43.4523,,6.7385,3.4281,10.1666,,,7.97,3.44,2.31,0,1.13,3.44,2.03,1.1,10.2,,0.01,0,2.9,2.9
94,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,10.99,4.61,15.6,7.1905,97.5033,140.1716,244.8654,3.8692,195.8128,6.5245,206.2065,0,4.5,11.85,4.51,3.77,0.41,0.33,4.51,3.34,0.14,0.12,,0.2,0,3.5,3.5
95,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,6.49,9.81,16.3,19.3659,163.3217,53.7848,236.4724,,50.2144,9.6049,59.8193,,,14.04,7.22,5.87,0.95,0.4,7.22,5.62,0.16,0.35,,0.5,0,11.8389,11.8389
96,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,38.57,9.83,48.4,27.9673,418.0696,390.3471,836.384,10.979,287.2144,6.9839,305.1773,0,17.6,24.74,15.63,14.46,0.55,0.62,15.63,11.13,0.18,0.61,,0.2,0.0395,4.2,4.2395
97,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,26.82,14.38,41.2,25.0076,301.3048,280.3605,606.6729,1.7205,180.1994,84.017,265.9369,0,4.2,42.44,20.09,16.52,1.31,2.26,20.09,4.38,1.11,1.3,,0.19,0.069,13.1778,13.2468
98,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,0,,,,0,,,,0,,,,,0,0,0,0,,,,,0,,0,0
99,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,0,,,,0,,,,0,,,,,0,0,0,0,,,,,0,,0,0
100,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,0,,,,0,,,,0,,,,,0,0,0,0,,,,,0,,0,0
101,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,1.51,0.71,2.22,1.3352,3.0595,4.3103,8.705,,,,0,,,1.59,0.96,0.75,0,0.21,0.96,0.58,,,,0,,0,0
102,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,78.74,41.94,120.68,54.5735,822.9537,869.0548,1746.582,1.4139,355.3143,328.5282,685.2564,0,8.4,75.82,47.66,34.62,0,4.82,39.44,20.81,1.3,22.1,,2.8,0.342,40.6333,40.9753
103,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,41.77,27.73,69.5,44.8818,337.0621,368.4207,750.3646,3.7743,150.0967,139.7359,293.6069,0,11.95,67.29,35.73,30.91,,0.28,31.19,12.29,2.58,9.6,,1.4,0.1393,80.8444,80.9837
104,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,,,0,,,,0,,,,0,,,,,,,,0,,,,,,0,0,0
