序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
132,衢州市,市本级,富春江坝址以上,衢江下游,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,衢州市,柯城区,富春江坝址以上,衢江上游,3,271.1,4.3,10.2,14.5,3.12,84.39,150.77,238.28,0.9774,74.1211,0,75.0985,0,23,6.874,5.1665,3.9054,0.7912,0,4.6966,0.93,0.6,3.2174,0,0.0171,0.0752,2.52,2.5952,0.7235,0.1756,0.0328,0,,0,0.9319,0,0,0,0,0,0,0,0,0.9319,0,0.2024,0.0063,0,0.2087,0,0.0025,0.01,0,0.3725,0.0002,0.0009,0.3861,0,0,0.0015,0.2391,0,0.2406,0,0.0021,0.0208,0.0229,0,0.0156,0.0349,0.0505,0,0.0231,0,0.0231,0,0.9319,0,0,0.9319
134,衢州市,柯城区,富春江坝址以上,衢江下游,3,335.9,38.7,1.6,40.3,5.37,194.06,232.97,432.4,2.434,165.1746,0,167.6086,34.5,0,7.306,5.1135,3.8022,0.8462,0,4.6484,1.67,0.6,3.4066,0,0.0039,0.0263,3.3356,3.3619,1.0433,0.2533,0.0473,0,,0,1.3439,0,0,0,0,0.1107,0,0,0.1107,1.4546,0,0.207,0.0069,0,0.2139,0,0.0025,0.0105,0,0.0004,0.0001,0.0013,0.0148,0,0.3624,0,0.4407,0,0.8031,0,0.0187,0.1884,0.2071,0,0.1537,0.0061,0.1598,0,0.0559,0,0.0559,0,1.4546,0,0,1.4546
135,衢州市,衢江区,富春江坝址以上,衢江上游,3,135.3,0.3,4.8,5.1,4.39,16.76,18.44,39.59,0,14.8776,0,14.8776,0,0,8.71,4.8655,4.1203,0.2823,0,4.4026,2.36,0.18,3.3706,0,0.0575,0.2274,2.4325,2.6599,0.1598,0.0882,0.0183,0,,0,0.2663,0.0001,0,0,0.0001,0,0,0,0,0.2664,0,0.1888,0.0019,0,0.1907,0,0.0005,0.0139,0,0.0053,0.0006,0.0008,0.0211,0,0,0.0021,0.0341,0,0.0341,0.0001,0.0005,0.0005,0.001,0,0.0013,0.0152,0.0165,0,0.0026,0.0004,0.003,0,0.2664,0.0001,0,0.2664
136,衢州市,衢江区,富春江坝址以上,衢江下游,3,1611.2,18.1,14.3,32.4,16.07,139.47,132.5,288.04,0,123.6687,0,123.6687,0,0,36.89,28.6645,22.5718,3.3656,0,25.9374,10.76,1.12,5.3354,0,0.33,0.3314,25.8569,26.1883,0.9854,0.5545,0.0896,0,,0,1.6295,0.0001,0,0,0.0001,0.0387,0,0,0.0387,1.6683,0,0.9039,0.0239,0,0.9278,0,0.003,0.0148,0,0.0319,0.0007,0.0095,0.0599,0,0,0.0021,0.3901,0,0.3901,0.0001,0.0064,0.13,0.1364,0,0.0718,0.0462,0.118,0,0.0315,0.0046,0.0361,0,1.6683,0.0001,0,1.6683
137,衢州市,衢江区,富春江坝址以上,新安江,3,1.5,0,0.1,0.1,0.09,0,0,0.09,0,0.1578,0,0.1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0007,0.0002,0,,0,0.0009,0.0001,0,0,0,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0.0004,0,0.0004,0,0,0.0002,0.0002,0,0,0.0003,0.0003,0,0,0,0,0,0.0009,0,0,0.0009
138,衢州市,常山县,信江,信江,3,71.3,1.1,1.1,2.2,2.09,3.74,16.79,22.62,0,2.8296,0,2.8296,0,0,6.72,6.02,5.1114,0.3944,0,5.5058,0.95,0,1.1825,0,0.027,0,1.0503,1.0503,0.1808,0.0261,0.0309,0,,0,0.2378,0.0001,0,0,0,0,0,0,0,0.2378,0,0.1948,0.0023,0,0.1971,0,0,0.0033,0,0.0025,0,0.0004,0.0062,0,0,0.0021,0.0149,0,0.0149,0,0,0.0086,0.0086,0,0.0055,0.0043,0.0098,0,0.0011,0.0001,0.0012,0,0.2378,0,0,0.2378
139,衢州市,常山县,富春江坝址以上,衢江上游,3,1025.7,12.9,11.6,24.5,7.28,90.49,93.55,191.32,1.9486,66.6775,0,68.6261,0,49.1,17.48,12,8.8973,2.6669,0,11.5642,5.25,0,8.95,0,0.153,0.2888,15.4922,15.781,0.4833,0.2171,0.0464,0,,0,0.7468,0.0001,0,0,0,0.0433,0,0,0.0433,0.7901,0,0.384,0.0214,0,0.4054,0,0,0.0246,0,0.0137,0.0007,0.0056,0.0446,0,0,0.0505,0.1126,0,0.1631,0,0.0096,0.0346,0.0442,0,0.0686,0.0474,0.116,0,0.0159,0.0009,0.0168,0,0.7901,0,0,0.7901
140,衢州市,开化县,饶河,饶河,3,272,0.1,1.7,1.8,4.01,2.19,2.97,9.17,0,0.1209,0,0.1209,0,0,3.0016,1.0998,0.8365,0.2625,0,1.099,0.31,0,0.1545,0,0.0147,0,0.4507,0.4507,0.0611,0,0,0,,0,0.0611,0.0001,0,0,0,0,0,0,0,0.0611,0,0.0462,0.005,0,0.0512,0,0,0.0005,0,0.0013,0,0.0002,0.002,0,0,0.0021,0.0005,0,0.0005,0,0,0.0003,0.0003,0,0.0004,0.0056,0.006,0,0.0011,0,0.0011,0,0.0611,0,0,0.0611
141,衢州市,开化县,富春江坝址以上,衢江上游,3,1934.4,13,9.5,22.5,10.8,67.08,100.97,178.85,0.2078,44.6603,0,44.8681,0,0.6,30.7199,17.3209,13.2074,4.1009,0,17.3083,5.89,0,1.29,0,0.1302,0.0767,9.4651,9.5418,0.6521,0.2746,0.1754,0,,0,1.1021,0.0001,0,0,0.0025,0.0142,0,0,0.0142,1.1188,0,0.7919,0.0279,0,0.8198,0,0,0.0044,0,0.0126,0.0002,0.0034,0.0206,0,0,0.0009,0.0521,0,0.053,0.0024,0.0088,0.0844,0.0932,0.0001,0.0746,0.0398,0.1144,0,0.0168,0.001,0.0178,0,1.1188,0.0025,0,1.1188
