序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
132,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330800,衢州市,衢州市,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330802,柯城区,衢州市,271.1,4.3,10.2,14.5,3.12,84.39,150.77,238.28,0.9774,74.1211,,75.0985,0,23,6.874,5.1665,3.9054,0.7912,0,4.6966,0.93,0.6,3.2174,0,0.0171,0.0752,2.52,2.5952
134,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330802,柯城区,衢州市,335.9,38.7,1.6,40.3,5.37,194.06,232.97,432.4,2.434,165.1746,,167.6086,34.5,0,7.306,5.1135,3.8022,0.8462,0,4.6484,1.67,0.6,3.4066,0,0.0039,0.0263,3.3356,3.3619
135,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330803,衢江区,衢州市,135.3,0.3,4.8,5.1,4.39,16.76,18.44,39.59,,14.8776,,14.8776,0,0,8.71,4.8655,4.1203,0.2823,0,4.4026,2.36,0.18,3.3706,0,0.0575,0.2274,2.4325,2.6599
136,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330803,衢江区,衢州市,1611.2,18.1,14.3,32.4,16.07,139.47,132.5,288.04,,123.6687,,123.6687,0,0,36.89,28.6645,22.5718,3.3656,0,25.9374,10.76,1.12,5.3354,0,0.33,0.3314,25.8569,26.1883
137,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330803,衢江区,衢州市,1.5,0,0.1,0.1,0.09,0,0,0.09,,0.1578,,0.1578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,长江,鄱阳湖水系,信江,信江,F090600,330822,常山县,衢州市,71.3,1.1,1.1,2.2,2.09,3.74,16.79,22.62,,2.8296,,2.8296,0,0,6.72,6.02,5.1114,0.3944,0,5.5058,0.95,0,1.1825,0,0.027,0,1.0503,1.0503
139,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330822,常山县,衢州市,1025.7,12.9,11.6,24.5,7.28,90.49,93.55,191.32,1.9486,66.6775,,68.6261,0,49.1,17.48,12,8.8973,2.6669,0,11.5642,5.25,0,8.95,0,0.153,0.2888,15.4922,15.781
140,长江,鄱阳湖水系,饶河,饶河,F090700,330824,开化县,衢州市,272,0.1,1.7,1.8,4.01,2.19,2.97,9.17,,0.1209,,0.1209,0,0,3.0016,1.0998,0.8365,0.2625,0,1.099,0.31,0,0.1545,0,0.0147,0,0.4507,0.4507
141,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330824,开化县,衢州市,1934.4,13,9.5,22.5,10.8,67.08,100.97,178.85,0.2078,44.6603,,44.8681,0,0.6,30.7199,17.3209,13.2074,4.1009,0,17.3083,5.89,0,1.29,0,0.1302,0.0767,9.4651,9.5418
142,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330824,开化县,衢州市,24.6,0,0.1,0.1,0.2,0,0,0.2,,0,,0,0,0,0.0985,0.0793,0.0271,0.0521,0,0.0792,0.020000000000000462,0,0,0,0,0,0,0
143,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330825,龙游县,衢州市,1141,20.1,16.6,36.7,12.73,135.67,170.54,318.94,6.5563,102.4104,,108.9667,0,45.3,47,32.5919,28.0746,3.1608,0,31.2354,12.54,0.1,5.1165,0,0.8956,0.5077,106.364,106.8717
144,东南诸河,钱塘江,富春江坝址以上,新安江,G010150,330825,龙游县,衢州市,2,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0
145,长江,鄱阳湖水系,信江,信江,F090600,330881,江山市,衢州市,214.2,0.7,1,1.7,0.25,2.99,8.87,12.11,,0.0624,,0.0624,0,0,1.8908,0.6543,0.4759,0.1784,0,0.6543,1.51,0.4,0.62,0,0.0946,0,5.9985,5.9985
146,东南诸河,钱塘江,富春江坝址以上,衢江上游,G010110,330881,江山市,衢州市,1756.9,28.8,16.6,45.4,20.31,169.82,196.36,386.49,2.2554,126.7823,,129.0377,0,26.1,44.5792,35.5567,31.5919,3.9648,0,35.5567,13.49,1.8206,4.2593,0,1.2854,0.2537,74.197,74.4507
147,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330881,江山市,衢州市,47.9,0.9,1.5,2.4,4.49,2.32,0.36,7.17,,5.332,,5.332,0,0,5.67,0.459,0.3508,0.1081,0,0.4589,0.92,0.1794,0.5492,0,0,0.0728,13.3775,13.4503
