序号,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计
105,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,0.4549,0.0589,0.0082,,,,0.522,0.0023,0,,0.0023,0,0.0006,0,0.0006,0.5249,0,0.5249,0,,,,,,
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,1.5427,0.2477,0.0196,,,,1.81,0.0033,0,,0.0033,0.0047,,,0.0047,1.818,0,1.818,0,,,,,,
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,0.5765,0.117,0.262,,,,0.9555,0.0049,0,,0.0049,,,,,0.9604,0,0.9604,0,,,,,,
108,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,1.0744,0.0067,0.002,,,,1.0831,0.0013,0,,0.0013,,,,,1.0844,0,1.0844,0,,,,,,
109,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,0.0841,0.1219,0.0946,,,,0.3006,,0,,0,,,,,0.3006,0,0.3006,0,,,,,,
110,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,0.0846,0.0176,0.0075,,,,0.1097,,0,,0,,,,,0.1097,0,0.1097,0,,,,,,
111,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,0.77,0.0691,0.0377,,,,0.8768,,0,,0,,,,,0.8768,0,0.8768,0,,,,,,
112,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,0.2252,,,,,,0.2252,,0,,0,0.0013,,,0.0013,0.2265,0,0.2265,0,,,,,,0
113,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,0.0874,,,,,,0.0874,,0,,0,,,,,0.0874,0,0.0874,0,,,,,,
114,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,0.0481,,,,,,0.0481,,0,,0,,,,,0.0481,0,0.0481,0,,,,,,
115,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330727,磐安县,金华市,140.2,0.0309,,,,,,0.0309,,0,,0,,,,,0.0309,0,0.0309,0,,,,,,
116,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330727,磐安县,金华市,204.9,0.0762,,,,,,0.0762,,0,,0,,,,,0.0762,0,0.0762,0,,,,,,
117,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330781,兰溪市,金华市,330.1,0.4028,0.1898,0.1596,0,0,0,0.7522,0,0,0,0,0,0,0,0,0.7522,0,0.7522,0,0,0,0,0,0,0
118,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330781,兰溪市,金华市,126.1,0.1324,0.0241,0.3997,0,0,0,0.5562,0.0023,0,0,0.0023,0,0,0,0,0.5585,0,0.5585,0,0,0,0,0,0,0
119,东南诸河,钱塘江,富春江坝址以上,兰江及富春江上游段,G010160,330781,兰溪市,金华市,851.3,0.7135,0.1003,0.2996,0,0,0,1.1134,0.0063,0,0,0.0063,0,0,0,0,1.1197,0,1.1197,0,0,0,0,0,0,0
120,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330781,兰溪市,金华市,4.5,0.0037,0.0015,0.0105,0,0,0,0.0157,0,0,0,0,0,0,0,0,0.0157,0,0.0157,0,0,0,0,0,0,0
121,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330782,义乌市,金华市,349.1,0.3862,0.8,0.1079,0,0,0,1.2941,0,0,,0,0.0839,0.0033,0,0.0872,1.3813,0.3735,1.7548,0,,,,,0.3735,0.3735
122,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330782,义乌市,金华市,491.7,0.884,0,0.0335,0,0,0,0.9175,0,0,,0,0.0718,0.0012,0,0.073,0.9905,0,0.9905,0,,,,,,0
123,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330782,义乌市,金华市,264.2,0.5528,0,0.0261,0,0,0,0.5789,0,0,,0,0.0616,0,0,0.0616,0.6405,0,0.6405,0,,,,,,0
124,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330783,东阳市,金华市,1528.8,2.4163,0.1332,0.019,,,,2.5685,,0,,0,,,,,2.5685,0,2.5685,0,,,,,,
125,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330783,东阳市,金华市,30,0.0256,0,0.0092,,,,0.0348,,0,,0,,,,,0.0348,0,0.0348,0,,,,,,
126,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330783,东阳市,金华市,18.6,0.0237,0,0,,,,0.0237,,0,,0,,,,,0.0237,0,0.0237,0,,,,,,
127,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330783,东阳市,金华市,166.5,0.093,0.0349,0.002,,,,0.1299,,0,,0,,,,,0.1299,0,0.1299,0,,,,,,
128,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330783,东阳市,金华市,3.1,,,,,,,,,0,,0,,,,,0,0,0,0,,,,,,
129,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330784,永康市,金华市,92.6,0.0787,0.0045,0.0059,,,,0.0891,0.0001,0,,0.0001,,,,,0.0892,0,0.0892,0,,,,,,
130,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330784,永康市,金华市,934.9,1.5047,0.0303,0.0724,,,,1.6074,0.001,0,,0.001,0.0095,0.0115,,0.021,1.6294,0,1.6294,0,,,,,,
131,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330784,永康市,金华市,19.5,0.014,0.0013,0.0015,,,,0.0168,,0,,0,,,,,0.0168,0,0.0168,0,,,,,,
