序号,市,县（市、区）,水资源分区,nan,水资源利用分区,面积（km2）,人口（万人）,nan,nan,国内地区生产总值  （亿元）,nan,nan,nan,工业增加值（亿元）,nan,nan,nan,火(核)电装机(万kW),nan,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）,nan,nan,nan,粮食产量（万吨）,林牧渔面积（万亩）,nan,nan,nan,牲畜(万头),nan,nan,地表水源供水量,nan,nan,nan,nan,nan,nan,地下水源供水量,nan,nan,nan,其他水源供水量,nan,nan,nan,总供水量,环境配水量,农田灌溉用水量,nan,nan,nan,nan,林牧渔畜用水量,nan,nan,nan,nan,nan,nan,nan,工业用水量,nan,nan,nan,nan,nan,城镇公共用水量,nan,nan,nan,居民生活用水量,nan,nan,nan,生态与环境用水量,nan,nan,nan,总用水量,nan,环境配水量,总计
105,金华市,婺城区,富春江坝址以上,衢江下游,3,332.6,4.8,5.02,9.82,5.68,54.89,45.95,106.52,0.56,17.23,2.63,20.42,0,3,10.3,10.3,8.53,0.97,0,9.5,2.36,1.72,1.35,0,0.52,0.52,10.55,11.07,0.4549,0.0589,0.0082,0,,0,0.522,0.0023,0,0,0.0023,0,0,0,0.0006,0.5249,0,0.3185,0.0051,0,0.3236,0,0.0083,0.0088,0,0.0284,0.001,0.0043,0.0508,0,0,0.0101,0.0214,0.0147,0.0462,0,0.0016,0.0229,0.0245,0.0012,0.0253,0.0234,0.0487,0,0.0311,0,0.0311,0,0.5249,0.0023,0,0.5249
106,金华市,婺城区,富春江坝址以上,金华江下游,3,1059.4,73.24,14.74,87.98,11.68,205.22,481.4,698.3,2.06,158.63,23.79,184.48,0,25.625,17.94,17.94,15.17,1.38,0,16.55,4.1,4.31,3.34,0,1.41,1.05,21.19,22.24,1.5427,0.2477,0.0196,0,,0,1.81,0,0,0,0.0033,0,0,0,0,1.818,0,0.5976,0.0077,0,0.6053,0,0.0267,0.0282,0,0.0903,0.0033,0.0134,0.1619,0.0032,0,0.0203,0.1794,0.0451,0.2448,0.0001,0.0145,0.2125,0.227,0,0.4072,0.0726,0.4798,0,0.0992,0,0.0992,0,1.818,0.0033,0,1.818
107,金华市,金东区,富春江坝址以上,金华江下游,3,658,32.6,19.4,52,13.87,139.5,167.51,320.88,0,74.88,30.8,105.68,0,5.5,9.45,9.45,7.18,0.89,0,8.07,2.2,0.19,2.22,0,0.94,0.7,23.86,24.56,0.5765,0.117,0.262,0,,0,0.9555,0,0,0,0.0049,0,0,0,0,0.9604,0,0.2851,0.0073,0,0.2924,0,0.0012,0.0167,0,0.0608,0.0019,0.0138,0.0944,0.0049,0,0.0034,0.0899,0.0252,0.1185,0,0.0044,0.118,0.1224,0,0.1585,0.0849,0.2434,0,0.0893,0,0.0893,0,0.9604,0.0049,0,0.9604
108,金华市,武义县,富春江坝址以上,金华江下游,3,929.4,27.86,12.85,40.71,13.54,140.24,121.16,274.94,0.81,126.01,14.3,141.12,0,2.4,15.48,15.48,12.05,1.85,0,13.9,4.3,0.62,2.4184,0,0.5682,0.1572,20.12,20.2772,1.0744,0.0067,0.002,0,,0,1.0831,0,0,0,0.0013,0,0,0,0,1.0844,0,0.5342,0.0182,0,0.5524,0,0.004,0.0183,0,0.0285,0.0004,0.0069,0.0581,0,0,0.0059,0.1718,0.0017,0.1794,0.0001,0.0035,0.0576,0.0611,0.0012,0.144,0.0583,0.2023,0,0.0225,0.0086,0.0311,0,1.0844,0.0013,0,1.0844
109,金华市,武义县,瓯江温溪以上,大溪,3,638.6,2.3,3.89,6.19,2.89,16.16,46.17,65.22,0,0.06,2.02,2.08,0,0,5.99,5.99,4.57,0.81,0,5.38,1.67,0.42,1.6516,0,0.0798,0.1436,12.06,12.2036,0.0841,0.1219,0.0946,0,,0,0.3006,0,0,0,0,0,0,0,0,0.3006,0,0.2206,0.009,0,0.2296,0,0.0031,0.0106,0,0.0039,0.0003,0.0042,0.0221,0,0,0.0015,0.0015,0.0001,0.0016,0,0.0004,0.0102,0.0106,0,0.0112,0.0165,0.0277,0,0.0037,0.0053,0.009,0,0.3006,0,0,0.3006
110,金华市,浦江县,富春江坝址以下,富春江下游段,3,400.6,2.48,1.38,3.86,1.01,10.3,21.16,32.47,0,5.68,3.37,9.05,0,0,1.49,1.49,0.95,0.35,0,1.3,0.27,0.25,2.58,0,0.047,0.112,4.38,4.492,0.0846,0.0176,0.0075,0,,0,0.1097,0,0,0,0,0,0,0,0,0.1097,0,0.0253,0.0031,0,0.0284,0,0.0006,0.0194,0,0.0064,0.0002,0.0012,0.0278,0,0,0.0015,0.0135,0.0054,0.0189,0,0.0005,0.0038,0.0043,0,0.0136,0.0069,0.0205,0,0.0042,0.0056,0.0098,0,0.1097,0,0,0.1097
111,金华市,浦江县,富春江坝址以下,浦阳江,3,517.4,26.91,15.73,42.64,9.9,115.94,133.88,259.72,0.81,57.89,40.58,99.28,0,6.3,11.42,11.42,8.5,1.85,0,10.35,2.18,0.18,3.79,0,0.1,0,6.52,6.52,0.77,0.0691,0.0377,0,,0,0.8768,0,0,0,0,0,0,0,0,0.8768,0,0.2675,0.0201,0,0.2876,0,0.0018,0.0164,0,0.0098,0,0.003,0.031,0,0,0.0281,0.1548,0.0745,0.2574,0,0.0047,0.0421,0.0468,0,0.1494,0.0757,0.2251,0,0.0225,0.0064,0.0289,0,0.8768,0,0,0.8768
112,金华市,磐安县,富春江坝址以上,金华江上游,3,418.5,6.64,1.68,8.32,6.82,20.56,49.19,76.57,0.11,9.42,5.43,14.96,0,0.6,7.11,7.11,3.05,3.28,0,6.33,1.21,0.05,0.52,0,0.05,0.0047,1.2697,1.2744,0.2252,0,0,0,,0,0.2252,0,0,0,0,0,0,0,0,0.2265,0,0.0891,0.0343,0,0.1234,0,0.0002,0.0029,0,0.0022,0,0.0007,0.006,0,0,0.0015,0.0051,0.0067,0.0133,0,0.0019,0.0323,0.0342,0,0.0376,0.0092,0.0468,0,0.0028,0,0.0028,0,0.2265,0,0,0.2265
113,金华市,磐安县,富春江坝址以下,曹娥江百官以上,3,207.4,1.94,2.25,4.19,1.75,21.82,6.52,30.09,0,9.98,5.77,15.75,0,0,1.83,1.83,0.79,0.85,0,1.64,0.32,0.03,0.3,0,0.03,0.0047,0.7383,0.743,0.0874,0,0,0,,0,0.0874,0,0,0,0,0,0,0,0,0.0874,0,0.0234,0.0087,0,0.0321,0,0.0001,0.0017,0,0.0013,0,0.0004,0.0035,0,0,0.0015,0.0054,0.0081,0.0135,0,0.0006,0.0128,0.0134,0,0.0111,0.0122,0.0233,0,0.0016,0,0.0016,0,0.0874,0,0,0.0874
114,金华市,磐安县,瓯江温溪以上,大溪,3,224,1.06,2.03,3.09,1.11,4.13,5.32,10.56,0,1.89,1.09,2.98,0,0,1.15,1.15,0.49,0.53,0,1.02,0.2,0.02,0.23,0,0.02,0.0021,0.6148,0.6169,0.0481,0,0,0,,0,0.0481,0,0,0,0,0,0,0,0,0.0481,0,0.0142,0.0053,0,0.0195,0,0.0001,0.0013,0,0.0011,0,0.0003,0.0028,0,0,0.0015,0.0011,0.0015,0.0026,0,0.0003,0.0049,0.0052,0,0.0061,0.0106,0.0167,0,0.0013,0,0.0013,0,0.0481,0,0,0.0481
