序号,所属流域_z,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,水浇地,菜田,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
105,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,330702,婺城区,金华市,332.6,4.8,5.02,9.82,5.68,54.89,45.95,106.52,0.56,17.23,2.63,20.42,0,3,10.3,10.3,8.53,0.97,0,9.5,2.36,1.72,1.35,0,0.52,0.52,10.55,11.07
106,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330702,婺城区,金华市,1059.4,73.24,14.74,87.98,11.68,205.22,481.4,698.3,2.06,158.63,23.79,184.48,0,25.625,17.94,17.94,15.17,1.38,0,16.55,4.1,4.31,3.34,0,1.41,1.05,21.19,22.24
107,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330703,金东区,金华市,658,32.6,19.4,52,13.87,139.5,167.51,320.88,0,74.88,30.8,105.68,0,5.5,9.45,9.45,7.18,0.89,0,8.07,2.2,0.19,2.22,0,0.94,0.7,23.86,24.56
108,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,330723,武义县,金华市,929.4,27.86,12.85,40.71,13.54,140.24,121.16,274.94,0.81,126.01,14.3,141.12,0,2.4,15.48,15.48,12.05,1.85,0,13.9,4.3,0.62,2.4184,0,0.5682,0.1572,20.12,20.2772
109,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330723,武义县,金华市,638.6,2.3,3.89,6.19,2.89,16.16,46.17,65.22,0,0.06,2.02,2.08,0,0,5.99,5.99,4.57,0.81,0,5.38,1.67,0.42,1.6516,0,0.0798,0.1436,12.06,12.2036
110,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330726,浦江县,金华市,400.6,2.48,1.38,3.86,1.01,10.3,21.16,32.47,,5.68,3.37,9.05,,0,1.49,1.49,0.95,0.35,0,1.3,0.27,0.25,2.58,0,0.047,0.112,4.38,4.492
111,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330726,浦江县,金华市,517.4,26.91,15.73,42.64,9.9,115.94,133.88,259.72,0.81,57.89,40.58,99.28,0,6.3,11.42,11.42,8.5,1.85,0,10.35,2.18,0.18,3.79,0,0.1,0,6.52,6.52
112,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330727,磐安县,金华市,418.5,6.64,1.68,8.32,6.82,20.56,49.19,76.57,0.11,9.42,5.43,14.96,0,0.6,7.11,7.11,3.05,3.28,0,6.33,1.21,0.05,0.52,0,0.05,0.0047,1.2697,1.2744
113,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330727,磐安县,金华市,207.4,1.94,2.25,4.19,1.75,21.82,6.52,30.09,,9.98,5.77,15.75,,,1.83,1.83,0.79,0.85,0,1.64,0.32,0.03,0.3,0,0.03,0.0047,0.7383,0.743
114,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,330727,磐安县,金华市,224,1.06,2.03,3.09,1.11,4.13,5.32,10.56,,1.89,1.09,2.98,,,1.15,1.15,0.49,0.53,0,1.02,0.2,0.02,0.23,0,0.02,0.0021,0.6148,0.6169
