水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.8324,0.6624,0.0888,0,0,0,1.5836,0.0001,0,0,0.0001,0.0265,0,0,0.0265,1.6102,0,1.6102,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0534,0.0091,0.0041,0,0,0,0.0666,0,0,0,0,0,0,0,0,0.0666,0,0.0666,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.1503,0.2507,0.0089,0,0,0,0.4099,0,0,0,0,0,0,0,0,0.4099,0,0.4099,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.1846,0.2969,0.0037,0,0,0,0.4852,0,0,0,0,0.032,0,0,0.032,0.5172,0,0.5172,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.0861,0.0278,0.0003,0,0,0,0.1142,0,0,0,0,0,0,0,0,0.1142,0,0.1142,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1487,0.1239,0.042,0,0,0,0.3146,0,0,0,0,0,0,0,0,0.3146,0,0.3146,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.344,0.1843,0.1124,0,0,0,0.6407,0,0,0,0,0.0115,0,0,0.0115,0.6522,0,0.6522,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0394,0.016,0.0051,0,0,0,0.0605,0,0,0,0,0,0,0,0,0.0605,0,0.0605,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.01,0.0063,0.0031,0,0,0,0.0194,0,0,0,0,0,0,0,0,0.0194,0,0.0194,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.1962,0.1997,0.0069,0,0,0,0.4028,0.0003,0,0,0.0003,0,0,0,0,0.4031,0,0.4031,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0007,0.0002,0,0,0,0,0.0009,0,0,0,0,0,0,0,0,0.0009,0,0.0009,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,0.2485,0.0922,0.0298,0,0,0,0.3705,0,0,0,0,0.0162,0,0,0.0162,0.3867,0,0.3867,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331124,松阳县,丽水市,1406,0.286,0.311,0.037,0,0,0,0.634,0.0005,0,0,0.0005,0.0096,0,0,0.0096,0.6441,0,0.6441,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331125,云和县,丽水市,819.7,0.364,0.0301,0.0005,0,0,0,0.3946,0,0,0,0,0.0151,0,0,0.0151,0.4097,0,0.4097,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331125,云和县,丽水市,164.3,0.0471,0.0041,,0,0,0,0.0512,0,0,0,0,0,0,0,0,0.0512,0,0.0512,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331126,庆元县,丽水市,64,0.0095,0.0481,0,0,0,0,0.0576,0,0,0,0,0,0,0,0,0.0576,0,0.0576,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331126,庆元县,丽水市,546.7,0.0465,0.0863,0,0,0,0,0.1328,0,0,0,0,0,0,0,0,0.1328,0,0.1328,0,,,,,,0,,,,,,
 ,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,331126,庆元县,丽水市,247.3,0.0221,0.0493,0,0,0,0,0.0714,0,0,0,0,0,0,0,0,0.0714,0,0.0714,0,,,,,,0,,,,,,
