水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,0.5947,0.028,0,0.6227,0,0,0.0229,0,0.0167,0.0004,0.0167,0.0567,0,0,0.0072,0.2117,0,0.2189,0.0001,0.058,0.2339,0.2919,0,0.2847,0.073,0.3577,0,0.0477,0.0146,0.0623,0,1.6102,0.0001,,1.6102,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.0306,0.0012,0,0.0318,0,0,0.0008,0,0.0009,0.0001,0.0006,0.0024,0,0,0.0231,0.0034,0,0.0265,0,0,0,0,0,0.0001,0.0045,0.0046,0,0,0.0013,0.0013,0,0.0666,0,,0.0666,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,0.2202,0.0258,0,0.246,0,0,0.0029,0,0.0006,0.0004,0.0055,0.0094,0,0,0.002,0.0646,0,0.0666,0,0.005,0.02,0.025,0,0.0252,0.0377,0.0629,0,0,0,0,0,0.4099,0,,0.4099,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,0.2596,0.0254,0,0.285,0,0,0.0024,0,0.001,0.0003,0.0045,0.0082,0,,,0.0662,0,0.0662,0,0.0078,0.0464,0.0542,0,0.055,0.0363,0.0913,0,0.0123,0,0.0123,0,0.5172,0,,0.5172,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,0.0255,0.0024,0,0.0279,0,0,0.0015,0,0,0.0001,0.0002,0.0018,0,,,0.0348,0,0.0348,0,0.0033,0.021,0.0243,0,0.0254,0,0.0254,0,0,0,0,0,0.1142,0,,0.1142,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,0.1554,0.0163,0,0.1717,0,0.0002,0.0017,0,0.005,0.0001,0.0024,0.0094,0,,,0.0371,0,0.0371,0,0.0055,0.0226,0.0281,0,0.04,0.0214,0.0614,0,0.0063,0.0006,0.0069,0,0.3146,0,,0.3146,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,0.3689,0.0381,0,0.407,0,0.0003,0.0017,0,0.0088,0.0001,0.0031,0.014,0,0,0.003,0.0734,0,0.0764,0,0.0107,0.0265,0.0372,0,0.0775,0.0299,0.1074,0,0.0093,0.0009,0.0102,0,0.6522,0,,0.6522,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0.0456,0,0,0.0456,0,0,0,0,0,0.0001,0.0013,0.0014,0,,,0.0013,0,0.0013,0,0,0,0,0,0,0.0112,0.0112,0,0,0.001,0.001,0,0.0605,0,,0.0605,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331122,缙云县,丽水市,82.5,0.015,0,0,0.015,0,0,0,0,0,0,0.0003,0.0003,0,,,0.0001,0,0.0001,0,0,0,0,0,0,0.0031,0.0031,0,0,0.0009,0.0009,0,0.0194,0,,0.0194,0,0
 ,东南诸河,钱塘江,富春江坝址以上,衢江下游,G010120,331123,遂昌县,丽水市,1822,0.3239,0.0042,0,0.3281,0,0.0001,0.0007,0,0.0091,0.0004,0.0016,0.0119,0,,,0.0059,0.0104,0.0163,0,0.0027,0.0119,0.0146,0.0003,0.0079,0.0177,0.0256,0,0.0031,0.0035,0.0066,0,0.4031,0.0003,,0.4031,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331123,遂昌县,丽水市,27.5,0.0007,0.0001,0,0.0008,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0.0001,0.0001,0,0,0,0,0,0.0009,0,,0.0009,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331123,遂昌县,丽水市,689.5,0.1415,0.0003,0,0.1418,0,0.0003,0.0014,0,0.01,0.0001,0.0009,0.0127,0,,,0.0831,0.0237,0.1068,0,0.0066,0.0406,0.0472,0,0.0475,0.0145,0.062,0,0.0141,0.0021,0.0162,0,0.3867,0,,0.3867,0,0
