水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331102,莲都区,丽水市,1374.8,45.57,11.36,56.93,21.685946191794425,181.92750367075323,389.31165641869745,592.9251062812451,0.8054,145.8278,0,146.6332,0,2.5,18.89,17.58,14.54,2.07,0,16.61,4.09,0,4.12,0,0.42,0.1192,37.9836,38.1028
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331102,莲都区,丽水市,127.2,0.02,0.92,0.94,1.1229302303589508,2.797550122008255,0.011943907237861252,3.932424259605067,1.1966,2.0243,0,3.2209,0,7,1.04,0.98,0.85,0.08,0,0.93,0.23,0,0.2,0,0.02,0.0255,1.4164,1.4419000000000002
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331121,青田县,丽水市,1138.1,7.41,11.62,19.03,4.952666721553426,42.308570501815005,80.73777027683136,127.99900750019978,0.3696,33.4234,0,33.793,0,1.2,11.3,10.55,4.52,1.29,0,5.81,2.87,0,0.54,0,0.01,0.1187,12.6232,12.741900000000001
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,331121,青田县,丽水市,1314.6,15.66,10.71,26.37,5.972958578354135,54.98986938668407,90.4952602362662,151.4580882013044,0,38.205,0,38.205,0,0,13.02,11.51,4.98,1.42,0,6.4,2.54,0,0.44,0,0.02,0.0889,10.2665,10.355400000000001
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331121,青田县,丽水市,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,331121,青田县,丽水市,22.6,6.35,0,6.35,1.1690844192508092,10.210793991001978,29.157540667946073,40.53741907819886,0,17.9582,0,17.9582,0,0,1.85,1.07,0.609,0.179,0,0.788,0.12,0,0.28,0,0,0.0296,0.46,0.48960000000000004
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,331121,青田县,丽水市,8.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江下游,G010140,331122,缙云县,丽水市,298.7,8.646,5.1082,13.7542,3.494,46.513,28.573,78.58,0,39.34,0,39.34,0,0,7.9634,6.4866,3.26,1.094,0,4.354,1.19,0.07,0.278,0,0.12,0.0391,5.7892,5.8283000000000005
 ,东南诸河,浙南诸河,瓯江温溪以上,大溪,G030110,331122,缙云县,丽水市,981.9,16.7199,7.0394,23.7593,8.483999999999998,88.60300000000001,143.708,240.795,0.11,75.973,0,76.083,0,1.2,15.2574,14.3769,7.23,2.42,0,9.65,3.01,0.08,0.307,0,0.2,0.0391,7.916999999999999,7.956099999999999
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331122,缙云县,丽水市,130.9,0,2.6294,2.6294,1.29,8.611,7.695,17.596,0,1.382,0,1.382,0,0,1.8703,1.315,0.83,0,0,0.83,0.51,0,0,0,0,0.0391,2.7974,2.8365
