水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.2448,0,0.092,0,0,0,0.3368,0.0003,0,0,0.0003,0,0,0,0,0.3371,0.0269,0.364,6.5799,0,0,0,0,0.0269,0.0269,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.871,0,0.3021,0,0,0,1.1731,0.0011,0,0,0.0011,0.0194,0.007,0,0.0264,1.2006,0.3414,1.542,0,0,0,0,0,0.3414,0.3414,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,1.0727,0.0001,0.256,0,0,0,1.3288,0.0022,0,0,0.0022,0.035,0,0,0.035,1.366,0.3185,1.6845,0,0,0,0,0,0.3185,0.3185,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0174,0,0,0,0,0,0.0174,0,0,0,0,0,0,0,0,0.0174,0,0.0174,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.7169,0,0.5701,0,0,0,1.287,0.0063,0,0,0.0063,0.0191,0.002,0,0.0211,1.3144,0.3526,1.667,0,0,0,0,0,0.3526,0.3526,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.5144,0,0.3249,0,0,0,0.8393,0.0005,0,0,0.0005,0.0264,0.0128,0.0246,0.0638,0.9036,0.1371,1.0407,50.0309,0,0,0,0,0.1371,0.1371,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0067,0.0043,0.0029,0,0,0,0.0139,0.0001,0,0,0.0001,0,0,0,0,0.014,0,0.014,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.03,0.0097,0.0061,0,0,0,0.0458,0.0001,0,0,0.0001,0,0,0,0,0.0459,0,0.0459,0,0,0,0,0,0,0,,,,,,
