水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,0.1154,0.0099,0,0.1253,0,0.0066,0.0106,0,0.0017,0.0003,0.0007,0.0199,0,0,0.073,0.0124,0.0072,0.0926,0,0.0048,0.0085,0.0133,0,0.0556,0.0243,0.0799,0.0003,0.0036,0.0025,0.0061,0,0.3371,0.0003,0.0269,0.364,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,0.2366,0.0202,0,0.2568,0,0.0012,0.0037,0,0.0131,0.0001,0.0003,0.0184,0,0,0.0129,0.2665,0.0701,0.3495,0,0.0387,0.1332,0.1719,0,0.2713,0.0566,0.3279,0.0011,0.0427,0.0334,0.0761,0,1.2006,0.0011,0.3414,1.542,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,0.4505,0.0558,0,0.5063,0,0.002,0.0296,0,0.0194,0.0005,0.0035,0.055,0,0,0.0085,0.1201,0.0517,0.1803,0,0.0182,0.1246,0.1428,0,0.2702,0.1088,0.379,0.0022,0.0657,0.0369,0.1026,0,1.366,0.0022,0.3185,1.6845,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0.0093,0.0033,0,0.0126,0,0.0003,0,0,0,0,0,0.0003,0,,,0,0,0,0,0,0,0,0,0,0.0039,0.0039,0,0.0006,0,0.0006,0,0.0174,0,,0.0174,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,0.5178,0.013,0,0.5308,0,0.0076,0.0058,0,0.0723,0.0001,0.0012,0.087,0,0,0.0248,0.0577,0.046,0.1285,0,0.0192,0.1094,0.1286,0,0.2685,0.0975,0.366,0.0063,0.0542,0.0193,0.0735,0,1.3144,0.0063,0.3526,1.667,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,0.3341,0.1088,0,0.4429,0,0.0005,0.0024,0,0.0055,0.0008,0.0069,0.0161,0,0,0.0476,0.0662,0.0522,0.166,0,0.011,0.0726,0.0836,0,0.0955,0.0683,0.1638,0.0005,0.0243,0.0069,0.0312,0,0.9036,0.0005,0.1371,1.0407,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0.0083,0.0019,0,0.0102,0,0.0001,0.0001,0,0,0.0002,0.0003,0.0007,0,,,0,0.0002,0.0002,0,0,0,0,0,0,0.0029,0.0029,0.0001,0,0,0,0,0.014,0.0001,,0.014,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.0261,0.0062,0,0.0323,0,0.0001,0.0001,0,0,0.0004,0.0008,0.0014,0,,,0.0012,0.0018,0.003,0,0,0.0008,0.0008,0,0.001,0.0074,0.0084,0.0001,0,0,0,0,0.0459,0.0001,,0.0459,0,0
