水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331002,椒江区,台州市,100.9,11.29,4.95,16.24,4.59,65.75,98.83,169.17,14.64,21.97,21.33,57.94,0,136,4.05,3.89,2.9757,0.3478,0,3.3235,0.78,0.5694,1.1264,0,0.0139,0.128,1.9969,2.1249
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331002,椒江区,台州市,174.1,60.38,12.58,72.96,15.09,251.73,444.65,711.47,1.12,217.33,8.45,226.9,0,2.7,7.32,7.27,5.9866,0.6998,0,6.6864,2.41,0.1118,0.3868,0,0.1341,0.02,1.0096,1.0296
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331003,黄岩区,台州市,4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331003,黄岩区,台州市,933.5,47.49,21.68,69.17,26.74,301.59,345.01,673.34,4.36,145.24,117.47,267.07,0,35,13,12.8237,9.285,1.655,0,10.94,3.66,0.28,3.685,0,0.15,0.1425,9.4095,9.552
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,331003,黄岩区,台州市,50.2,0,1.03,1.03,0.69,0,0,0.69,0,0,0,0,0,0,0.54,0.5306,0.3124,0.1376,0,0.45,0.4,0.02,0,0,0,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331004,路桥区,台州市,273,44.28,19.02,63.3,19.43,324.1,447.07,790.6,0.79,147.46,115.68,263.93,0,3.9,13.5,13.27,12.5506,0.3346,0,12.8852,3.59,0.55,0.46,0,0.402,0.0404,3.3106,3.351
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331022,三门县,台州市,1069.6,22.88,15.92,38.8,50.2,181.77,154.29,386.26,68.08,78.58,10.15,156.81,0,0.463,16.05,15.7995,9.0059,2.9341,0,11.94,5.09,0.03,0.21,0,0.055,0.2456,18.6498,18.8954
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331022,三门县,台州市,2.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,331023,天台县,台州市,114.3,0,0.49,0.49,0.61,0.07,0.01,0.69,0,0,0.12,0.12,0,0,1.28,0.7453,0.3578,0.1124,0,0.4702,0.42,0.0195,0.0195,0,0,0.0336,1.0882,1.1218
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331023,天台县,台州市,224.7,0.21,1.66,1.87,1.61,6.37,2.55,10.53,0,0.69,0.86,1.55,0,0,3.25,1.7306,0.8449,0.2655,0,1.1104,0.71,0.0195,0.0195,0,0,0.1093,1.7002,1.8095
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331023,天台县,台州市,1087,27.26,17.18,44.44,15.04,134.59,230.82,380.45,0.39,86.3,39.29,125.98,0,2.25,23.39,21.9641,15.7621,3.7873,0,19.5494,6.33,0.126,1.206,0,0.315,0.743,26.673,27.416
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331024,仙居县,台州市,1955.3,24.76,18.64,43.4,20.11,139.42,189.51,349.04,0.91,70.73,46.38,118.02,0,0.75,26.35,25.9476,21.1168,2.2832,0,23.4,8.26,0.87,1.35,0,0.3,0.2926,21.5572,21.8498
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331024,仙居县,台州市,36.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,331081,温岭市,台州市,638.2,98.93,39.86,138.79,110.84,553.86,721.97,1386.67,0.4,252.12,209.13,461.65,0,54.82,35.74,35.4275,27.5304,4.2157,0,31.7461,11.2,0.09,7.56,0,0.6762,0.2074,23.916,24.1234
 ,东南诸河,浙南诸河,瓯江温溪以下,玉环岛,G030250,331081,温岭市,台州市,197.8,0.73,6.28,7.01,6.54,15.74,8.68,30.96,0,5.08,3.47,8.55,0,0,2.78,2.7591,1.2955,0.1984,0,1.4939,0.67,0,1.23,0,0.0903,0.0172,2.9895,3.0067
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,331082,临海市,台州市,113.7,4.58,3.72,8.3,4.96,30.84,37.38,73.18,0,20.46,5,25.46,0,0,3.42,3.3523,2.3838,0.4794,0,2.8632,0.91,0.0186,0.1245,0,0.019,0.0434,2.6691,2.7125
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,331082,临海市,台州市,397.1,6,4.58,10.58,6.13,37.81,45.92,89.86,0,25.15,6.15,31.3,0,0,4.67,4.5006,3.2038,0.6444,0,3.8482,1.12,0.0186,0.1601,0,0.0127,0.0652,5.4643,5.5295
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,331082,临海市,台州市,247,8.09,6.27,14.36,8.42,51.85,62.85,123.12,0,34.42,8.43,42.85,0,0,6.3,6.135,4.4941,0.9038,0,5.3979,1.53,0.0372,0.2134,0,0.0127,0.0618,7.4904,7.5522
 ,东南诸河,浙南诸河,瓯江温溪以下,灵江及椒江左岸,G030230,331082,临海市,台州市,1381.2,42.27,34.13,76.4,45.83,282.31,344.55,672.69,0.4,187,45.87,233.27,0,6.2,25.88,23.9065,17.5982,3.5355,0,21.1337,8.18,0.0632,0.8563,0,0.4235,0.46,39.9021,40.3621
