水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330402,南湖区,嘉兴市,439,,,1.6578,0.2709,钱塘江,,1.9287,,0,,0,0.1332,,,0.1332,2.0619,0,2.0619,0,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330411,秀洲区,嘉兴市,548,,,2.2101,0.2751,钱塘江,,2.4852,,0,,0,0.1133,0.0001,,0.1134,2.5986,0,2.5986,0,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330421,嘉善县,嘉兴市,507,,,2.3066,0.2638,钱塘江,,2.5704,,0,,0,,,,0,2.5704,0,2.5704,0,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330424,海盐县,嘉兴市,530.8,,,1.9577,0.2244,钱塘江,,2.1821,,0,,0,0.0007,,,0.0007,2.1828,0,2.1828,73.2454,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330424,海盐县,嘉兴市,54.2,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330481,海宁市,嘉兴市,730.4,,,2.9352,0.3029,钱塘江,,3.2381,,0,,0,0.0254,,,0.0254,3.2635,0,3.2635,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330481,海宁市,嘉兴市,132.6,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330482,平湖市,嘉兴市,554,,,2.8299,0.3486,钱塘江,,3.1785,,0,,0,0.1107,,,0.1107,3.2892,0,3.2892,29.2704,,,,,,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330483,桐乡市,嘉兴市,727,,,2.903,0.2441,钱塘江,,3.1471,,0,,0,,,,0,3.1471,0,3.1471,0,,,,,,0,,,,,,
,,,,,,,,嘉兴市,4223,0,0,16.8003,1.9298,0,0,18.7301,0,0,0,0,0.38330000000000003,0.0001,0,0.3834,19.113500000000002,0,19.113500000000002,102.5158,0,0,0,0,0,0,,,,,,
,长江,太湖水系,杭嘉湖平原,,,,,嘉兴市,4036.2,0,0,16.8003,1.9298,0,0,18.7301,0,0,0,0,0.38330000000000003,0.0001,0,0.3834,19.113500000000002,0,19.113500000000002,102.5158,0,0,0,0,0,0,,,,,,
,东南诸河,钱塘江,富春江坝址以下,,,,,嘉兴市,186.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
,,,,,,,南湖区,嘉兴市,439,0,0,1.6578,0.2709,0,0,1.9287,0,0,0,0,0.1332,0,0,0.1332,2.0619,0,2.0619,0,0,0,0,0,0,0,,,,,,
,,,,,,,秀洲区,嘉兴市,548,0,0,2.2101,0.2751,0,0,2.4852,0,0,0,0,0.1133,0.0001,0,0.1134,2.5986,0,2.5986,0,0,0,0,0,0,0,,,,,,
,,,,,,,嘉善县,嘉兴市,507,0,0,2.3066,0.2638,0,0,2.5704,0,0,0,0,0,0,0,0,2.5704,0,2.5704,0,0,0,0,0,0,0,,,,,,
,,,,,,,海盐县,嘉兴市,585,0,0,1.9577,0.2244,0,0,2.1821,0,0,0,0,0.0007,0,0,0.0007,2.1828,0,2.1828,73.2454,0,0,0,0,0,0,,,,,,
,,,,,,,海宁市,嘉兴市,863,0,0,2.9352,0.3029,0,0,3.2381,0,0,0,0,0.0254,0,0,0.0254,3.2635,0,3.2635,0,0,0,0,0,0,0,,,,,,
,,,,,,,平湖市,嘉兴市,554,0,0,2.8299,0.3486,0,0,3.1785,0,0,0,0,0.1107,0,0,0.1107,3.2892,0,3.2892,29.2704,0,0,0,0,0,0,,,,,,
,,,,,,,桐乡市,嘉兴市,727,0,0,2.903,0.2441,0,0,3.1471,0,0,0,0,0,0,0,0,3.1471,0,3.1471,0,0,0,0,0,0,0,,,,,,
