水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330402,南湖区,嘉兴市,439,0.7865,0.0135,,0.8,,,0.0243,,0.0268,,0.0026,0.0537,,0,0.031,0.2778,,0.3088,,0.0269,0.2338,0.2607,,0.3984,0.0445,0.4429,,0.1958,,0.1958,,2.0619,0,,2.0619,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330411,秀洲区,嘉兴市,548,1.107,0.0189,,1.1259,,,0.005,,0.093,0.0004,0.0019,0.1003,,0,0.0959,0.5618,,0.6577,,0.0234,0.2031,0.2265,,0.3069,0.124,0.4309,,0.0573,,0.0573,,2.5986,0,,2.5986,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330421,嘉善县,嘉兴市,507,1.2911,0,,1.2911,,,0.0052,,0.1405,,0.0015,0.1472,,0,0.0402,0.4076,,0.4478,,0.0408,0.1781,0.2189,,0.3154,0.0983,0.4137,,0.0435,0.0082,0.0517,,2.5704,0,0,2.5704,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330424,海盐县,嘉兴市,530.8,1.1091,0.0219,,1.131,,0.0006,0.033,,0.0662,,0.0124,0.1122,,0,0.1166,0.4408,,0.5574,,0.0215,0.0954,0.1169,,0.1646,0.0708,0.2354,,0.0299,,0.0299,,2.1828,0,,2.1828,0,0
 ,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330424,海盐县,嘉兴市,54.2,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330481,海宁市,嘉兴市,730.4,1.1514,0.0304,,1.1818,,,0.0585,,0.1108,,0.0101,0.1794,,0,0.0994,0.9403,,1.0397,,0.0224,0.2295,0.2519,,0.4042,0.146,0.5502,,0.0605,,0.0605,,3.2635,0,,3.2635,0,0
 ,东南诸河,钱塘江,富春江坝址以下,钱塘江河口水域,G010250,330481,海宁市,嘉兴市,132.6,,,,0,,,,,,,,0,,,,,,0,,,,0,,,,0,,,,0,,0,0,,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330482,平湖市,嘉兴市,554,1.2582,0.0221,,1.2803,,,0.0017,,0.0512,,0.0025,0.0554,,0,0.1396,1.2295,,1.3691,,0.0158,0.1296,0.1454,,0.289,0.1051,0.3941,,0.0449,,0.0449,,3.2892,0,,3.2892,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330483,桐乡市,嘉兴市,727,1.2741,0.0339,,1.308,,0.0055,0.054,,0.1156,,0.0099,0.185,,0,0.0942,0.6101,,0.7043,,0.0336,0.2508,0.2844,,0.4159,0.1713,0.5872,,0.0782,,0.0782,,3.1471,0,,3.1471,0,0
,,,,,,,,嘉兴市,4223,7.9773999999999985,0.1407,0,8.1181,0,0.0060999999999999995,0.1817,0,0.6041000000000001,0.0004,0.0409,0.8331999999999999,0,0,0.6169,4.4679,0,5.0847999999999995,0,0.1844,1.3203,1.5047,0,2.2944,0.76,3.0544000000000002,0,0.5101,0.0082,0.5183,0,19.113500000000002,0,0,19.113500000000002,0,0
,长江,太湖水系,杭嘉湖平原,,,,,嘉兴市,4036.2,7.9773999999999985,0.1407,0,8.1181,0,0.0060999999999999995,0.1817,0,0.6041000000000001,0.0004,0.0409,0.8331999999999999,0,0,0.6169,4.4679,0,5.0847999999999995,0,0.1844,1.3203,1.5047,0,2.2944,0.76,3.0544000000000002,0,0.5101,0.0082,0.5183,0,19.113500000000002,0,0,19.113500000000002,0,0
,东南诸河,钱塘江,富春江坝址以下,,,,,嘉兴市,186.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,南湖区,嘉兴市,439,0.7865,0.0135,0,0.8,0,0,0.0243,0,0.0268,0,0.0026,0.0537,0,0,0.031,0.2778,0,0.3088,0,0.0269,0.2338,0.2607,0,0.3984,0.0445,0.4429,0,0.1958,0,0.1958,0,2.0619,0,0,2.0619,0,0
