水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0012,0.0082,0,0,,0,0.0094,0,0,0,0,0,0,0,0,0.0094,0,0.0094,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,0.8083,0.2194,0.2732,0.489,钱塘江,0,1.7899,0.004,0,0,0.004,0.0005,0,0,0.0005,1.7944,0.55,2.3444,0,,,0.55,,,0.55,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.3569,0.0388,0.1623,0.299,钱塘江,0,0.857,0,0,0,0,0,0,0,0,0.857,0.42,1.277,0,,,0.1312,,0.2888,0.42,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,1.2833,0.03,1.0224,0,,0,2.3357,0,0,0,0,0.1802,0,0,0.1802,2.5159,0.2278,2.7437,32.3184,,0.1869,,,0.0409,0.2278,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.5837,0.0035,0.3192,0,,0,0.9064,0,0,0,0,0.0052,0,0,0.0052,0.9116,0.0574,0.969,0,,,,,0.0574,0.0574,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,1.2228,0,0.6995,0.2389,钱塘江,0,2.1612,0.0001,0,0,0.0001,0.3123,0,0,0.3123,2.4736,0.3398,2.8134,0,,,0.3398,,,0.3398,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,1.4892,0.1045,0.6407,0.2389,钱塘江,0,2.4733,0.0022,0,0,0.0022,0.0007,0.0004,0,0.0011,2.4766,1.8363,4.3129,0,,,1.0324,,0.8039,1.8363,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.2716,0.0125,0.1291,0,,0,0.4132,0,0,0,0,0,0,0,0,0.4132,0.0439,0.4571,0,,,,,0.0439,0.0439,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,0.7651,0.11,0.454,0,,0,1.3291,0.0001,0,0,0.0001,0,0,0,0,1.3292,0.4733,1.8025,0,0.425,,,,0.0483,0.4733,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.1766,0.03,0.19,0,,0,0.3966,0.0002,0,0,0.0002,0,0,0,0,0.3968,0.0396,0.4364,0,,,,,0.0396,0.0396,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,1.1924,0.2014,0.2492,0,,0,1.643,0,0,0,0,0,0.0001,0.0006,0.0007,1.6437,0.151,1.7947,13.6639,,,,,0.151,0.151,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330226,宁海县,宁波市,2.8,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330226,宁海县,宁波市,1840.2,1.6821,0.0344,0.073,0,,0,1.7895,0.0014,0,0,0.0014,0.0001,0,0,0.0001,1.791,0.2672,2.0582,16.5863,0.097,,,,0.1702,0.2672,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330281,余姚市,宁波市,106.7,0.0232,0,0.0053,0,,0,0.0285,0,0,0,0,0,0,0,0,0.0285,0,0.0285,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330281,余姚市,宁波市,1236.7,1.5159,0.15,0.622,0.82,钱塘江,0,3.1079,0.0016,0,0,0.0016,0.0305,0.0009,0,0.0314,3.1409,0.4661,3.607,0,0.076,,,0.3901,,0.4661,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330281,余姚市,宁波市,157.6,0.0586,0,0.0188,0,,0,0.0774,0,0,0,0,0,0,0,0,0.0774,0,0.0774,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330282,慈溪市,宁波市,1361,1.3109,0.182,0.8476,0.8684,钱塘江,0,3.2089,0,0,0,0,0.0799,0,0,0.0799,3.2888,2.2425,5.5313,0,,,,1.748,0.4945,2.2425,,,,,,
,,,,,,,,宁波市,9816,12.7418,1.1247,5.706300000000001,2.9541999999999997,0,0,22.527,0.009600000000000001,0,0,0.009600000000000001,0.6093999999999999,0.0014,0.0006,0.6113999999999999,23.148000000000003,7.1149000000000004,30.262899999999995,62.568599999999996,0.598,0.1869,2.0534,2.1381,2.1385,7.1149000000000004,,,,,,
,东南诸河,钱塘江,富春江坝址以下,,,,,宁波市,106.7,0.0232,0,0.0053,0,0,0,0.0285,0,0,0,0,0,0,0,0,0.0285,0,0.0285,0,0,0,0,0,0,0,,,,,,
,东南诸河,浙东诸河,浙东沿海诸河,,,,,宁波市,9709.3,12.7186,1.1247,5.7010000000000005,2.9541999999999997,0,0,22.4985,0.009600000000000001,0,0,0.009600000000000001,0.6093999999999999,0.0014,0.0006,0.6113999999999999,23.119500000000002,7.1149000000000004,30.234399999999994,62.568599999999996,0.598,0.1869,2.0534,2.1381,2.1385,7.1149000000000004,,,,,,
,,,,,,,海曙区,宁波市,594.7,0.8095,0.22760000000000002,0.2732,0.489,0,0,1.7993000000000001,0.004,0,0,0.004,0.0005,0,0,0.0005,1.8038,0.55,2.3537999999999997,0,0,0,0.55,0,0,0.55,,,,,,
,,,,,,,江北区,宁波市,207.6,0.3569,0.0388,0.1623,0.299,0,0,0.857,0,0,0,0,0,0,0,0,0.857,0.42,1.277,0,0,0,0.1312,0,0.2888,0.42,,,,,,
