水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330203,海曙区,宁波市,47,0.0079,0.0002,,0.0081,0,0.0001,0,0,0,0,0,0.0001,0,,,0,0,0,0,0,0,0,0,0,0.0012,0.0012,0,0,0,0,0,0.0094,0,,0.0094,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330203,海曙区,宁波市,547.7,0.5649,0.0167,,0.5816,0,0.0069,0.0047,0,0.0173,0.0002,0.0016,0.0307,0,0,0,0.1709,0.0909,0.2618,0.004,0.03,0.2722,0.3022,0,0.4806,0.0546,0.5352,0,0.0802,0.0027,0.0829,0,1.7944,0.004,0.55,2.3444,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330205,江北区,宁波市,207.6,0.1801,0.0011,,0.1812,0,0.0041,0.0062,0,0.0014,0.0016,0.0009,0.0142,0,,,0.0941,0.0145,0.1086,0,0.0412,0.1887,0.2299,0,0.224,0.0337,0.2577,0,0.0419,0.0235,0.0654,0,0.857,0,0.42,1.277,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330206,北仑区,宁波市,399.9,0.1439,0.0116,,0.1555,0,0.0012,0.0042,0,0.0013,0.0001,0.0011,0.0079,0,0,0.344,1.0375,0.1405,1.522,0,0.0197,0.2914,0.3111,0,0.3735,0.0612,0.4347,0,0.066,0.0187,0.0847,0,2.5159,0,0.2278,2.7437,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330206,北仑区,宁波市,199.1,0.0947,0.0081,,0.1028,0,0.0018,0.0063,0,0.0009,0.0001,0.0008,0.0099,0,0,0.0588,0.3326,0.0962,0.4876,0,0.013,0.0907,0.1037,0,0.1056,0.0439,0.1495,0,0.0275,0.0306,0.0581,0,0.9116,0,0.0574,0.969,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330211,镇海区,宁波市,245.7,0.1179,0.041,,0.1589,0,0.0004,0.0035,0,0.0024,0.0004,0.002,0.0087,0,0,0.1046,1.4726,0.1458,1.723,0.0001,0.0244,0.2151,0.2395,0,0.2393,0.0187,0.258,0,0.0524,0.0331,0.0855,0,2.4736,0.0001,0.3398,2.8134,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330212,鄞州区,宁波市,560.3,0.5243,0.0019,,0.5262,0,0.0027,0.0052,0,0.0168,0.0002,0.0008,0.0257,0,0,0.0216,0.2332,0.124,0.3788,0.0002,0.058,0.5329,0.5909,0,0.7354,0.1007,0.8361,0.002,0.1127,0.0062,0.1189,0,2.4766,0.0022,1.8363,4.3129,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330212,鄞州区,宁波市,253.7,0.1234,0.0019,,0.1253,0,0.0014,0.0045,0,0.0148,0.0002,0.0005,0.0214,0,,,0.0296,0.0311,0.0607,0,0.0045,0.0269,0.0314,0,0.1219,0.0385,0.1604,0,0.0122,0.0018,0.014,0,0.4132,0,0.0439,0.4571,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330213,奉化区,宁波市,999.6,0.5731,0.0126,,0.5857,0,0.0463,0.0176,0,0.0072,0.0003,0.006,0.0774,0,,,0.1368,0.0734,0.2102,0.0001,0.028,0.1144,0.1424,0,0.1908,0.1014,0.2922,0,0.0113,0.01,0.0213,0,1.3292,0.0001,0.4733,1.8025,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330213,奉化区,宁波市,268.4,0.1387,0.0123,,0.151,0,0.0198,0.0094,0,0,0.0001,0.004,0.0333,0,,,0.0257,0.0356,0.0613,0.0002,0.007,0.0438,0.0508,0,0.0579,0.0355,0.0934,0,0.005,0.002,0.007,0,0.3968,0.0002,0.0396,0.4364,0,0
 ,东南诸河,浙东诸河,浙东沿海诸河,象山港及三门湾,G020130,330225,象山县,宁波市,1382,0.6068,0.016,,0.6228,0,0.0092,0.0175,0,0.1176,0.0005,0.0107,0.1555,0,0,0.0465,0.1712,0.0473,0.265,0,0.0232,0.1875,0.2107,0,0.2325,0.124,0.3565,0,0.029,0.0042,0.0332,0,1.6437,0,0.151,1.7947,0,0
