水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330102,上城区,杭州市,123.3,0,0,0,1.6472,钱塘江,0,1.6472,0,0,0,0,0,0.0083,0,0.0083,1.6555,7.1495,8.805,0,0,0,0,7.1495,0,7.1495,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330105,拱墅区,杭州市,119,0,0,0.1211,1.3082,钱塘江,0,1.4293,0,0,0,0,0,0.0035,0,0.0035,1.4328,0,1.4328,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330106,西湖区,杭州市,115.9,0,0,0.0031,1.2321,钱塘江,0,1.2352,0,0,0,0,0.0058,0.0023,0,0.0081,1.2433,0,1.2433,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330106,西湖区,杭州市,147.1,0,0.1705,0.3577,0,0,0,0.5282,0,0,0,0,0.0102,0.0009,0,0.0111,0.5393,2.511,3.0503,0,0,0,0,2.511,0,2.511,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330108,滨江区,杭州市,73,0,0.0108,0.7823,0,0,0,0.7931,0,0,0,0,0,0.0044,0,0.0044,0.7975,1.6734,2.4709,0,0,0,1.6734,0,0,1.6734,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330109,萧山区,杭州市,9,0,0,0.0218,0,0,0,0.0218,0,0,0,0,0,0,0,0,0.0218,0,0.0218,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330109,萧山区,杭州市,363.4,0,0.4484,1.3745,0,0,0,1.8229,0,0,0,0,0.0156,0,0,0.0156,1.8385,0.0824,1.9209,0,0,0,0.0824,0,0,0.0824,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330109,萧山区,杭州市,363.6,0,1.0462,2.0911,0,0,0,3.1373,0,0,0,0,0.0234,0,0,0.0234,3.1607,6.8541,10.0148,0,0,0,6.8541,0,0,6.8541,,,,,,
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330110,余杭区,杭州市,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330110,余杭区,杭州市,555.3,0.1912,0.201,0.8444,0.3724,钱塘江,0,1.609,0,0,0,0,0,0,0,0,1.609,0,1.609,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330110,余杭区,杭州市,367.2,0,0.6065,0.4219,0.5925,钱塘江,0,1.6209,0,0,0,0,0.061,0.0011,0,0.0621,1.683,0,1.683,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330111,富阳区,杭州市,1760.1,0.0265,0.9525,1.7749,0,0,0,2.7539,0.0006,0,0,0.0006,0.0511,0,0,0.0511,2.8056,0.9294,3.735,0,0,0,0.9294,0,0,0.9294,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330111,富阳区,杭州市,47.9,0.0003,0,0.0333,0,0,0,0.0336,0,0,0,0,0,0,0,0,0.0336,0,0.0336,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330112,临安区,杭州市,845,0.3547,0.3654,0.0357,0.2511,钱塘江,0,1.0069,0.0004,0,0,0.0004,0.0312,0.0009,0,0.0321,1.0394,0,1.0394,0,0,0,0,0,0,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330112,临安区,杭州市,2279,0.5805,0.3397,0.0294,0,0,0,0.9496,0.0001,0,0,0.0001,0,0,0,0,0.9497,0,0.9497,0,0,0,0,0,0,0,,,,,,
