水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,1.2787,0.3029,0.2339,,,0,1.8155,0,0,,0,0.0105,,,0.0105,1.826,0.9767,2.8027,0,0.3226,,0.6541,,,0.9767,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,1.0647,0.1989,0.1661,,,0,1.4297,0,0,,0,0.0101,,,0.0101,1.4398,0.5209,1.9607,0.02,0.2665,,0.2544,,,0.5209,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,1.3454,0.1053,0.2136,,,0,1.6643,0,0,,0,0.0104,,,0.0104,1.6747,1.1952,2.8699,0,0.3075,,0.8877,,,1.1952,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0376,0.1404,0.0361,,,0,0.2141,0,0,,0,0.0053,,,0.0053,0.2194,0,0.2194,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,0,0,0,,,0,0,0,0,,0,0,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5936,0.4897,0.1117,,,0,1.195,0.0098,0,,0.0098,0.0112,,,0.0112,1.216,0,1.216,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1304,0.1303,0.1211,,,0,0.3818,0.0011,0,,0.0011,0,,,0,0.3829,0,0.3829,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.1449,0.2091,0.0873,,,0,0.4413,0.0021,0,,0.0021,0.011,,,0.011,0.4544,0,0.4544,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.5837,0.4395,0.3816,,,0,1.4048,0.0015,0,,0.0015,0,,,0,1.4063,0,1.4063,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.3,0.9133,0.2521,0.0253,,,0,1.1907,0.0013,0,,0.0013,0.0105,,,0.0105,1.2025,0,1.2025,0,,,,,,0,,,,,,
