水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,0.1573,0.0186,,0.1759,0,0.0001,0.007,0,0.009,0.0001,0.0016,0.0178,0,0,0.0022,,0.2011,0.2033,0,0.1287,0.2651,0.3938,0,0.5969,0.0478,0.6447,0,0.3905,,0.3905,0,1.826,0,0.9767,2.8027,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,0.1342,0.0092,,0.1434,0,0,0.0067,0,0.0008,0,0.0032,0.0107,0,0,0.0138,,0.3517,0.3655,0,0.0506,0.2157,0.2663,0,0.4118,0.0002,0.412,0,0.2419,,0.2419,0,1.4398,0,0.5209,1.9607,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,0.2414,0.0418,,0.2832,0,0.0002,0.0134,0,0.0243,0.0004,0.0009,0.0392,0,,,,0.2597,0.2597,0,0.0606,0.2383,0.2989,0,0.4623,0.0684,0.5307,0,0.263,,0.263,0,1.6747,0,1.1952,2.8699,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,0.0085,0.0075,,0.016,0,0,0.0004,0,0,0,0.0002,0.0006,0,,,,0.0327,0.0327,0,0.0309,0.0338,0.0647,0,0.0499,0.0279,0.0778,0,0.0276,,0.0276,0,0.2194,0,,0.2194,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,0.5249,0.0957,,0.6206,0.008,0.001,0.0262,0,0.0279,0.0022,0.0039,0.0612,0,0,0.0036,,0.2121,0.2157,0,0.025,0.0349,0.0599,0,0.1526,0.097,0.2496,0.0018,0.009,,0.009,0,1.216,0.0098,,1.216,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,0.1408,0.009,,0.1498,0.0001,0,0,0,0,0.0012,0.0038,0.005,0,,,,0.0212,0.0212,0,0.0022,0.0399,0.0421,0,0.1127,0.041,0.1537,0.001,0.0111,,0.0111,0,0.3829,0.0011,,0.3829,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,0.1448,0.0286,,0.1734,0,0.0002,0.0017,0,0,0.0004,0.0049,0.0072,0,,,,0.0805,0.0805,0,0.0141,0.0431,0.0572,0,0.0818,0.037,0.1188,0.0021,0.0173,,0.0173,0,0.4544,0.0021,,0.4544,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,0.5898,0.0646,,0.6544,0,0.001,0.0284,0,0.0719,0.002,0.0063,0.1096,0,0,0.0069,,0.2374,0.2443,0.0001,0.0192,0.0646,0.0838,0,0.208,0.0851,0.2931,0.0014,0.0211,,0.0211,0,1.4063,0.0015,,1.4063,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.3,0.5126,0.0763,,0.5889,0,0.0107,0.011,0,0.0056,0.0016,0.005,0.0339,0,,,,0.0835,0.0835,0,0.0036,0.0734,0.077,0,0.3105,0.0866,0.3971,0.0013,0.0221,,0.0221,0,1.2025,0.0013,,1.2025,0,0
 ,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,0.0543,0.0057,,0.06,0,0.0029,0.0038,0,0.0027,0.0002,0.0015,0.0111,0,,,,0.008,0.008,0,0.001,0.0094,0.0104,0,0.0239,0.0319,0.0558,0.0003,0.0046,,0.0046,0,0.1499,0.0003,,0.1499,0,0
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,0.0077,0,,0.0077,0,0,0.0011,0,0,0,0,0.0011,0,,,,0.0031,0.0031,0,0,0,0,0,0,0.0006,0.0006,0,0,,0,0,0.0125,0,,0.0125,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,0.3148,0.0201,,0.3349,0,0,0.0059,0,0.0049,0.0003,0.0006,0.0117,0,0,0.0007,,0.0196,0.0203,0,0.0152,0.0725,0.0877,0,0.1179,0.0426,0.1605,0.001,0.0207,,0.0207,0,0.6358,0.001,,0.6358,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,0,0,,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,0.1329,0.0039,,0.1368,0,0.0015,0.0073,0,0.0035,0.0004,0.0024,0.0151,0,,,,0.011,0.011,0.0008,0.0182,0.0047,0.0229,0.0001,0.0285,0.0228,0.0513,0,0.0075,,0.0075,0,0.2446,0.0009,,0.2446,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330329,泰顺县,温州市,36.6,0.0051,0.0001,,0.0052,0,0,0,0,0,0,0.0004,0.0004,0,,,,0,0,0,0.0018,0.0006,0.0024,0,0.0037,0.0065,0.0102,0,0,,0,0,0.0182,0,,0.0182,0,0
