水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330302,鹿城区,温州市,289.9,112.927,9.753,122.68,2.33,255.15,1250.3,1507.78,0.95,62.06,145.17,208.18,0,3.6,4.09,3.64,2.8403,0.5797,,3.42,1.5229,0.012,1.344,,0.15,0.1057,4.0534,4.1591
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330303,龙湾区,温州市,332.8,76.1451,0.0449,76.19,3.09,491.69,511.03,1005.81,11.09,205.03,241.8,457.92,0,36.2,4.76,4.13,2.9929,0.2771,,3.27,1.1249,0,1.557,,0.015,0.0035,8.2151,8.2186
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330304,瓯海区,温州市,461.4,87.7077,13.9823,101.69,7.96,285.82,682.49,976.27,0,125.81,116.18,241.99,,,8.57,7.86,6.0804,1.3096,,7.39,1.63,0.024,2.676,,0.441,0.1853,2.1261,2.3114
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330304,瓯海区,温州市,1.9,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330305,洞头区,温州市,231,9.9204,6.2496,16.17,9.49,67.98,119.97,197.44,,25.69,11.15,36.84,,,1.99,1.5,0.3932,0.503,,0.8962,0.3895,0,0.066,,0,0.0158,0.4611,0.4769
 ,东南诸河,浙南诸河,瓯江温溪以下,永安溪,G030210,330324,永嘉县,温州市,6.9,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,温黄平原,G030240,330324,永嘉县,温州市,2.8,,,0,,,,0,,,,0,,,0,0,0,0,,0,0,0,0,,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,楠溪江,G030260,330324,永嘉县,温州市,2272.3,32.2122,24.3396,56.5518,14.46,176.16,282.68,473.3,4.77,83.61,95.6,183.98,0,1,30,28.22,13.0561,4.6564,,17.7125,8,0.249,6.231,,0.8985,0.9046,9.8251,10.7297
 ,东南诸河,浙南诸河,瓯江温溪以下,瓯江下游干流,G030270,330324,永嘉县,温州市,395,22.2714,9.8168,32.0882,5.45,59.87,67.73,133.05,,14.9,3.75,18.65,,,6.95,6.4199,3.5787,0.4508,,4.0295,1.9161,0,0,,,0.5537,9.2472,9.8009
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330326,平阳县,温州市,209.7,17.0515,8.9191,25.9706,7.72,100.16,86.09,193.97,,30.43,26.55,56.98,,,8.34,7.5797,3.7026,1.6101,,5.3127,3,0.04,0.4095,,,0.1412,15.2457,15.3869
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330326,平阳县,温州市,832.3,41.5188,20.2506,61.7694,18.4,222.04,343.05,583.49,4.43,72.37,87.48,164.28,0,1.2,21.3,20.8803,14.7592,3.5181,,18.2773,7.485,0.23,5.6195,,1.356,0.7911,19.3329,20.124
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330327,苍南县,温州市,956.3,57.7306,17.1238,74.8544,31.23,181.86,268.99,482.08,,49.37,67.72,117.09,0,0,22.75,22.3142,15.2064,4.2597,,19.4661,7.8,2.03,2.04,,0.125,0.6096,17.8134,18.423
 ,东南诸河,闽东诸河,闽东诸河,闽东诸河,G040100,330327,苍南县,温州市,112.7,4.1797,6.0659,10.2456,3.66,23.39,34.11,61.16,,4.88,7.07,11.95,,,2.47,2.0858,1.65,0.35,,2,0.7551,0.58,0.708,,0.06,0.098,7.3218,7.4198
 ,东南诸河,浙南诸河,瓯江温溪以上,小溪及瓯江青田段,G030120,330328,文成县,温州市,104.9,,0.2,0.2,,,,0,,,,0,,,2.67,1.7826,0.21,0,,0.21,0.4853,0,0.3,,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330328,文成县,温州市,1170.4,14.7525,14.3475,29.1,11.46,35.03,119.26,165.75,,3.97,11.69,15.66,0,1.2,19,17.5174,8.1596,1.0304,,9.19,4.3,0,1.5645,,0.162,0.1505,1.8161,1.9666
 ,东南诸河,浙南诸河,瓯江温溪以下,鳌江,G030290,330328,文成县,温州市,20.7,,,0,,,,0,,,,0,,,0,,0,0,,0,,0,0,,,0,0,0
 ,东南诸河,浙南诸河,瓯江温溪以下,飞云江,G030280,330329,泰顺县,温州市,863.3,6.0113,5.0858,11.0971,4.95,25.98,43.32,74.25,,2.16,6.38,8.54,,,10.63,10.0979,4.0369,0.2655,,4.3024,2.6,0.3815,1.7386,,0.117,0.1759,9.2841,9.46
