水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.2175,0.0129,0.1365,0,0,0,0.3669,0,0,0,0,0,0,0,0,0.3669,0,0.3669,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.1334,0.0344,0.3229,0,0,0,0.4907,0,0,0,0,0,0,0,0,0.4907,0,0.4907,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,1.0215,0,0.7686,0,0,0,1.7901,0,0,0,0,0.0307,0,0,0.0307,1.8208,0.035,1.8558,0,0,0,0.035,0,0,0.035,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,0,0,2.4876,,,,2.4876,0,0,0,0,0.0277,,,0.0277,2.5153,0,2.5153,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.5697,0.0433,0.1934,0,0,0,0.8064,0,0,0,0,0.0085,0,0,0.0085,0.8149,0,0.8149,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.2706,0,1.5113,0,0,0,1.7819,0,0,0,0,0.0178,0,0,0.0178,1.7997,0,1.7997,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,0.7786,0.1452,2.0953,0,0,0,3.0191,0.0006,0,0,0.0006,0.2533,0,0,0.2533,3.273,0,3.273,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,1.1788,0.277,0.5485,0,0,0,2.0043,0,0,0,0,0.031,0,0,0.031,2.0353,0,2.0353,0,0,0,0,0,0,0,,,,,,
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0,0,0.0894,0,0,0,0.0894,0,0,0,0,0,0,0,0,0.0894,0,0.0894,0,0,0,0,0,0,0,,,,,,
,,,,,,,,湖州市,5820,4.1701,0.5128,8.1535,0,0,0,12.8364,0.0006,0,0,0.0006,0.369,0,0,0.369,13.205999999999998,0.035,13.240999999999998,0,0,0,0.035,0,0,0.035,,,,,,
,长江,太湖水系,湖西及湖区,,,,,湖州市,4388.700000000001,2.878,0.5128,3.3859999999999997,0,0,0,6.776800000000001,0.0006,0,0,0.0006,0.29280000000000006,0,0,0.29280000000000006,7.070200000000001,0,7.070200000000001,0,0,0,0,0,0,0,,,,,,
,长江,太湖水系,杭嘉湖平原,,,,,湖州市,1431.3,1.2921,0,4.7675,0,0,0,6.0596000000000005,0,0,0,0,0.0762,0,0,0.0762,6.1358,0.035,6.1708,0,0,0,0.035,0,0,0.035,,,,,,
,,,,,,,吴兴区,湖州市,863,1.3724,0.0473,1.228,0,0,0,2.6477,0,0,0,0,0.0307,0,0,0.0307,2.6784,0.035,2.7134,0,0,0,0.035,0,0,0.035,,,,,,
,,,,,,,南浔区,湖州市,702,0,0,2.4876,0,0,0,2.4876,0,0,0,0,0.0277,0,0,0.0277,2.5153,0,2.5153,0,0,0,0,0,0,0,,,,,,
,,,,,,,德清县,湖州市,938,0.8403,0.0433,1.7047,0,0,0,2.5883000000000003,0,0,0,0,0.0263,0,0,0.0263,2.6146000000000003,0,2.6146000000000003,0,0,0,0,0,0,0,,,,,,
,,,,,,,长兴县,湖州市,1431,0.7786,0.1452,2.0953,0,0,0,3.0191,0.0006,0,0,0.0006,0.2533,0,0,0.2533,3.273,0,3.273,0,0,0,0,0,0,0,,,,,,
,,,,,,,安吉县,湖州市,1886,1.1788,0.277,0.6379,0,0,0,2.0937,0,0,0,0,0.031,0,0,0.031,2.1247,0,2.1247,0,0,0,0,0,0,0,,,,,,
