水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,农田灌溉用水量_水田,旱地,水浇地,小计,其中地下水,林牧渔畜用水量_林地灌溉,园地灌溉,草场灌溉,鱼塘补水,大牲畜用水量,小牲畜用水量,小计,其中地下水,工业用水量_火（核）电_直流式,循环式,国有及规模以上,规模以下,小计,其  中       地下水,城镇公共用水量_建筑业,服务业,小计,其中地下水,居民生活用水量_城镇居民,农村居民,小计,其  中地下水,生态与环境用水量_城镇环境,农村生态,小计,其  中地下水,总用水量_合计,其中地下水,环境配水量,总计,地表水用-供 检查,地下水用-供 检查
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,0.0762,0.0063,0,0.0825,0,0.0035,0,0,0.0439,0,0.0024,0.0498,0,0,0.0169,0.0173,0.0086,0.0428,0,0.007,0.0552,0.0622,0,0.0944,0.0271,0.1215,0,0.0059,0.0022,0.0081,0,0.3669,0,,0.3669,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,0.1655,0.0133,0,0.1788,0,0.0016,0,0,0.0877,0,0.002,0.0913,0,0,0.0038,0.0377,0.0126,0.0541,0,0.014,0.0614,0.0754,0,0.062,0.0129,0.0749,0,0.0118,0.0044,0.0162,0,0.4907,0,,0.4907,0,0
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,0.4195,0.0566,0,0.4761,0,0.0012,0.0058,0,0.2809,0,0.0025,0.2904,0,0,0.0095,0.2096,0.0864,0.3055,0,0.0456,0.2323,0.2779,0,0.3127,0.0698,0.3825,0,0.0672,0.0212,0.0884,0,1.8208,0,0.035,1.8558,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,0.8778,0.0405,0,0.9183,0,0.0014,0.0103,0,0.6149,0,0.0246,0.6512,,0,0.0553,0.2133,0.1219,0.3905,0,0.0254,0.1276,0.153,0,0.1644,0.1096,0.274,0,0.1093,0.019,0.1283,0,2.5153,0,,2.5153,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,0.3011,0.0034,0,0.3045,0,0.0016,0.0138,0,0.139,0,0.0022,0.1566,0,0,0.0378,0.0668,0.0299,0.1345,0,0.0053,0.08,0.0853,0,0.0734,0.0395,0.1129,0,0.0203,0.0008,0.0211,0,0.8149,0,,0.8149,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,0.7946,0.015,0,0.8096,0,0.0006,0.0052,0,0.2926,0.0005,0.0056,0.3045,0,0,0.0426,0.1709,0.0942,0.3077,0,0.0078,0.1191,0.1269,0,0.1406,0.076,0.2166,0,0.0331,0.0013,0.0344,0,1.7997,0,,1.7997,0,0
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,1.2645,0.0512,0,1.3157,0,0.0098,0.0541,0,0.3228,0.0001,0.0105,0.3973,0,0,0.3955,0.2772,0.1831,0.8558,0.0006,0.0135,0.2271,0.2406,0,0.2664,0.1289,0.3953,0,0.0381,0.0302,0.0683,0,3.273,0.0006,,3.273,0,0
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,0.8446,0.0465,0,0.8911,,0.002,0.0077,0,0.1863,0,0.0037,0.1997,0,0,0.0097,0.2805,0.0314,0.3216,0,0.037,0.1786,0.2156,0,0.2119,0.1268,0.3387,0,0.0505,0.0181,0.0686,0,2.0353,0,,2.0353,0,0
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330523,安吉县,湖州市,70.6,0.0343,0.0019,0,0.0362,,0.0001,0.0002,0,0.0407,0,0.0002,0.0412,0,,,0.0005,0.0008,0.0013,0,0.0005,0.0008,0.0013,0,0.0055,0.0006,0.0061,0,0.0024,0.0009,0.0033,0,0.0894,0,,0.0894,0,0
,,,,,,,,湖州市,5820,4.7781,0.23470000000000002,0,5.0127999999999995,0,0.021800000000000003,0.0971,0,2.0088,0.0006000000000000001,0.053700000000000005,2.182,0,0,0.5711,1.2738,0.5689,2.4138,0.0006,0.1561,1.0820999999999998,1.2382000000000002,0,1.3313,0.5912000000000001,1.9224999999999999,0,0.33859999999999996,0.0981,0.43670000000000003,0,13.205999999999998,0.0006,0.035,13.240999999999998,0,0
