水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330502,吴兴区,湖州市,173.2,17.6,4.9,22.5,3.65,115.9,167.3,286.85,1.38,65.99,57.13,124.5,0,2.7,2.01,2.01,1.57,0.36,0,1.93,0.91,0.78,0,0,0.5112,0.0019,8.0321,8.034
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330502,吴兴区,湖州市,360,11.7,2.3,14,7.96,55.58,83.4,146.94,0.55,18.14,15.17,33.86,0,0,4.38,4.38,3.5,0.7,0,4.2,2,0.36,0,0,1.0494,0.0009,4.0532,4.0541
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330502,吴兴区,湖州市,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330502,吴兴区,湖州市,327.8,57.1,12.4,69.5,19.8,364.33,470.46,854.59,0.99,153.15,139.92,294.06,0,3.3,11.65,11.65,8.35,2.82,0,11.17,5.54,0.28,0.64,0,3.1481,0,5.9647,5.9647
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330503,南浔区,湖州市,702,32.4,22.8,55.2,36.61,315.77,246.75,599.13,7.24,189.26,98.5,295,0,35.05,25.39,25.39,21.36,2.12,0,23.48,13.27,0.28,0.55,0,6.18,0,43.212,43.212
 ,长江,太湖水系,湖西及湖区,东苕溪,F120120,330521,德清县,湖州市,536.5,12.5,6.8,19.3,10.18,127.73,132.24,270.15,4.33,110.08,10.33,124.74,0,17.73,8.7,8.49,8.13,0.36,0,8.49,1.61,0.4,1.62,0,2.07,0,7.1717,7.1717
 ,长江,太湖水系,杭嘉湖平原,杭嘉湖平原,F120310,330521,德清县,湖州市,401.5,23.6,13.2,36.8,21.18,250.34,180.87,452.39,4.24,181.95,43.27,229.46,0,12.34,17.14,16.75,15.57,1.18,0,16.75,4.57,0.15,0.61,0,4.25,0.1881,16.1001,16.2882
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330522,长兴县,湖州市,1428,45.5,23.3,68.8,43.78,434.51,449.46,927.75,25.32,330.88,54.53,410.73,0,445.5,36.53,35.84,29.9883,5.0717,0,35.06,18.93,1.88,4.29,0,3.87,0.0489,29.2667,29.3156
 ,长江,太湖水系,湖西及湖区,太湖区,F120130,330522,长兴县,湖州市,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 ,长江,太湖水系,湖西及湖区,西苕溪及长兴平原,F120110,330523,安吉县,湖州市,1815.4,35.8,22.2,58,32.8923,305.5233,319.5842,657.9998,1.42,226.39,60.32,288.13,0,21.8,23.7354,23.1315,18.3554,4.7762,0,23.1316,7.8,0.5014,1.1186,0,2.51,0.0218,10.1915,10.2133
