水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,地表水源供水量_蓄 水,引水,提水,跨流域调水_调入量,调出流域,非工程供水,小计,地下水源供水量_潜水,承压水,微咸水,小计,其他水源供水量_污水处理回用,雨  水 利  用,海 水淡 化,小计,总供水量,环境配水量,总计,海水 利用量,环境配水供水量明细表_蓄 水,引水,提水,调水,污水回用,小计,col_35,col_36,col_37,col_38,zjszyreport,12.0
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,1.0963,0.5188,0.3721,,,,1.9872,0.0008,0,,0.0008,0.2148,,,0.2148,2.2028,2.13,4.3328,0,,2.13,,,,2.13,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,0.0869,0.5389,0.2926,,,,0.9184,0.0004,0,,0.0004,,,,0,0.9188,0,0.9188,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.0103,0.0022,0.0059,,,,0.0184,0.0005,0,,0.0005,,,,0,0.0189,0,0.0189,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,1.3191,0.9014,1.5451,,,,3.7656,0.001,0,,0.001,0.5659,,,0.5659,4.3325,0,4.3325,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,0.1535,0.0979,0.1294,,,,0.3808,,0,,0,,,,0,0.3808,0,0.3808,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,0.1834,0.1702,0.1777,,,,0.5313,0.0004,0,,0.0004,0.0161,,,0.0161,0.5478,0,0.5478,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,0.2296,0.0398,0.1899,,,,0.4593,0.004,0,,0.004,0.0475,,,0.0475,0.5108,0,0.5108,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,0.6556,0.4861,0.2411,,,,1.3828,0.0022,0,,0.0022,0.0953,,,0.0953,1.4803,0,1.4803,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,0.7785,0.3382,0.2997,,,,1.4164,0.0001,0,,0.0001,0.0582,,,0.0582,1.4747,0,1.4747,0,,,,,,0,,,,,,
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,,,,,,,0,,0,,0,,,,0,0,0,0,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,0.0091,0.0263,0.0073,,,,0.0427,,0,,0,,,,0,0.0427,0,0.0427,0,,,,,,0,,,,,,
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,1.1704,1.758,0.4954,,,,3.4238,0.0075,0,,0.0075,0.1759,,,0.1759,3.6072,0,3.6072,0,,,,,,0,,,,,,
