水系,所属流域_一级,二级,三级,四级,四级编码,行政区_县区代码,县区名称,市,面积,人口（万人）_城镇,农村,合计,国内地区生产总值  （亿元）_一产,二产,三产,合计,工业增加值（亿元）_火核电工业,国有及规模以上一般工业,规模以下工业,合计,火(核)电装机(万kW)_直流式,循环式,总耕地面积      （万亩）,有效灌溉面积   （万亩）,农田实灌面积（万亩）_水田,旱地,水浇地,总计,粮食产量（万吨）,林牧渔面积（万亩）_林地灌溉,园地灌溉,草场灌溉,人工鱼塘,牲畜(万头)_大牲畜,小牲畜,合计
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330602,越城区,绍兴市,493,93.47,14.26,107.73,20.2774,501.3342,790.9532,1312.5648,5.4745,379.0793,1.9913,386.5451,0,7.5152,14.4,14.2,11.1,1.21,1.04,13.35,4.36,3.4,7.1,,0.98,,7.5111,7.5111
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330602,越城区,绍兴市,150,2.63,3.24,5.87,6.4493,57.1626,37.3926,101.0045,,20.8046,0.3121,21.1167,,,14.89,14.68,14.68,0,,14.68,5.01,,,,1.75,0.62,6.1489,6.7689
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330603,柯桥区,绍兴市,19.7,0.55,0.23,0.78,0.3982,1.9094,3.7483,6.0559,,1.3215,1.4408,2.7623,,,0.33,0.25,0.16,0.09,,0.25,0.14,,,,,,0.4361,0.4361
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330603,柯桥区,绍兴市,758.3,82.31,14.15,96.46,33.4269,1072.8689,1092.6185,2198.9143,30.9434,582.3015,232.1446,845.3895,0,106.5,10.3,10.16,9.3,0.86,,10.16,5.63,,2.4,,1.87,0.01,16.2325,16.2425
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330603,柯桥区,绍兴市,288,12.64,3.42,16.06,9.2685,23.0709,14.9744,47.3138,,6.5837,3.3494,9.9331,,,3.96,3.44,2.31,1.13,,3.44,2.03,0.9,10.2,,0.01,,3.1615,3.1615
 ,东南诸河,钱塘江,富春江坝址以下,萧绍平原,G010230,330604,上虞区,绍兴市,135.9,11.41,4.32,15.73,7.1699,109.0713,136.1585,252.3997,3.9202,198.392,6.6104,208.9226,0,4.5,4.56,4.51,3.77,0.33,0.41,4.51,3.34,0.14,0.12,,0.21,,3.2332,3.2332
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330604,上虞区,绍兴市,533.4,6.74,9.18,15.92,19.3205,182.6884,52.2415,254.2504,,50.8759,9.7314,60.6073,,,7.57,7.22,5.87,0.4,0.95,7.22,5.62,0.16,0.35,,0.54,,10.9469,10.9469
 ,东南诸河,浙东诸河,浙东沿海诸河,姚江,G020110,330604,上虞区,绍兴市,586.7,40.05,9.2,49.25,27.9017,467.6444,379.1714,874.7175,11.1236,290.9975,7.0759,309.197,0,3.6,15.63,15.63,14.46,0.62,0.55,15.63,11.13,0.18,0.61,,0.24,0.03,3.8799,3.9099
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330624,新昌县,绍兴市,1207.6,27.8,13.7,41.5,23.8734,321.4613,314.7232,660.0579,1.8747,196.3474,91.5459,289.768,0,1.5,25.62,20.09,16.52,2.26,1.31,20.09,4.38,1.01,0.9,,0.27,0.05,13.31,13.36
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330624,新昌县,绍兴市,2,0,0,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
 ,东南诸河,浙南诸河,瓯江温溪以下,始丰溪,G030220,330624,新昌县,绍兴市,4.4,0,0,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
 ,东南诸河,钱塘江,富春江坝址以上,金华江上游,G010130,330681,诸暨市,绍兴市,11.5,0,0,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
 ,东南诸河,钱塘江,富春江坝址以下,富春江下游段,G010210,330681,诸暨市,绍兴市,114.4,1.56,0.68,2.24,1.3971,3.3385,4.0536,8.7892,,,,0,,,1.06,0.96,0.75,0.21,,0.96,0.58,,,,,,,0
 ,东南诸河,钱塘江,富春江坝址以下,浦阳江,G010220,330681,诸暨市,绍兴市,2185.1,81.34,40.22,121.56,57.4797,901.8813,892.9262,1852.2872,1.5,376.9618,348.5438,727.0056,0,8.4,48.03,47.66,34.62,4.82,,39.44,20.81,1.3,22.1,,3.6,0.32,37.53,37.85
 ,东南诸河,钱塘江,富春江坝址以下,曹娥江百官以上,G010240,330683,嵊州市,绍兴市,1779.2,43.8,26,69.8,46.3528,350.2533,403.6435,800.2496,3.7597,149.5154,139.1948,292.4699,0,11.95,39.2,35.73,30.91,0.28,,31.19,12.29,2.58,9.6,,1.4,0.11,75.23,75.34
 ,东南诸河,浙东诸河,浙东沿海诸河,奉化江及甬江干流,G020120,330683,嵊州市,绍兴市,9.8,0,0,0,,,,0,,,,0,,,,,,,,0,,,,,,,,0
,,,,,,,,绍兴市,8279,404.3,138.60000000000002,542.9,253.315307860112,3992.6845905449204,4122.604849510858,8368.604747915891,58.59609999999999,2253.1806572130104,841.9404000000001,3153.71715721301,0,143.96519999999998,185.55,174.52999999999997,144.45,12.209999999999999,4.26,160.92,75.32,9.669999999999998,53.38,0,10.87,1.1400000000000001,177.62009999999998,178.7601
,东南诸河,钱塘江,富春江坝址以下,,,,,绍兴市,7514.599999999999,361.62,126.16,487.78,218.9643203548016,3467.877578643502,3706.040854612477,7392.8827539885415,47.4725,1941.3785512206398,834.5524,2823.40345122064,0,140.3652,155.03000000000003,144.22,115.31,11.59,3.71,130.60999999999999,59.17999999999999,9.489999999999998,52.77,0,8.88,0.49,167.5913,168.0813
